target_date,city,decision_hour_local,bracket,current_native,running_native,bracket_upper,final_max_native,actual_peak_first_hour_local,actual_peak_last_hour_local,actual_peak_afternoon,future_max_above_running,final_max_above_current_upper,label_no_wins,no_ask,stake_profit_usd,peak_already_started_by_decision,final_did_not_cross_bracket_upper
2026-05-24,Busan,14,26,26.11111111111111,26.11111111111111,26.0,26.11111111111111,13,14,True,False,True,0.0,0.077,-5.0,True,False
2026-05-24,Dallas,12,82+,82.0,82.0,82.0,88.0,14,15,True,True,True,0.0,0.001,-5.0,False,False
2026-05-24,Guangzhou,13,34,33.888888888888886,33.888888888888886,34.0,33.888888888888886,13,16,True,False,False,0.0,0.51,-5.0,True,True
2026-05-24,Guangzhou,14,34,33.888888888888886,33.888888888888886,34.0,33.888888888888886,13,16,True,False,False,0.0,0.3,-5.0,True,True
2026-05-24,Istanbul,14,20,20.0,20.0,20.0,20.0,13,17,True,False,False,0.0,0.08,-5.0,True,True
2026-05-24,Lucknow,13,42,42.22222222222222,42.22222222222222,42.0,42.22222222222222,13,15,True,False,True,0.0,0.58,-5.0,True,False
2026-05-24,Lucknow,14,42,42.22222222222222,42.22222222222222,42.0,42.22222222222222,13,15,True,False,True,0.0,0.31,-5.0,True,False
2026-05-24,Manila,13,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,13,17,True,False,True,0.0,0.48,-5.0,True,False
2026-05-24,Manila,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,13,17,True,False,True,0.0,0.34,-5.0,True,False
2026-05-24,Miami,14,88-89,88.0,88.0,89.0,88.0,13,13,True,False,False,0.0,0.1,-5.0,True,True
2026-05-24,Munich,14,29+,28.88888888888889,28.88888888888889,29.0,30.0,15,17,True,True,True,0.0,0.001,-5.0,False,False
2026-05-24,NYC,14,56-57,56.0,56.0,57.0,57.0,15,17,True,True,False,0.0,0.61,-5.0,False,True
2026-05-24,SanFrancisco,11,64+,64.0,64.0,64.0,70.0,14,15,True,True,True,0.0,0.001,-5.0,False,False
2026-05-24,SaoPaulo,13,25+,25.0,25.0,25.0,25.0,13,16,True,False,False,0.0,0.001,-5.0,True,True
2026-05-24,Taipei,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,13,14,True,False,True,0.0,0.13,-5.0,True,False
2026-05-24,TelAviv,14,26,26.11111111111111,26.11111111111111,26.0,26.11111111111111,13,15,True,False,True,0.0,0.11,-5.0,True,False
2026-05-24,Tokyo,14,22,22.22222222222222,22.22222222222222,22.0,22.22222222222222,13,15,True,False,True,0.0,0.12,-5.0,True,False
2026-05-25,Atlanta,13,78-79,78.0,78.0,79.0,79.0,16,16,True,True,False,0.0,0.86,-5.0,False,True
2026-05-25,Atlanta,14,78-79,78.0,78.0,79.0,79.0,16,16,True,True,False,0.0,0.57,-5.0,False,True
2026-05-25,BuenosAires,14,16,16.11111111111111,16.11111111111111,16.0,16.11111111111111,14,17,True,False,True,0.0,0.53,-5.0,True,False
2026-05-25,Busan,14,28,27.77777777777778,27.77777777777778,28.0,27.77777777777778,14,14,True,False,False,0.0,0.14,-5.0,True,True
2026-05-25,Helsinki,14,18,17.77777777777778,17.77777777777778,18.0,17.77777777777778,13,13,True,False,False,0.0,0.15,-5.0,True,True
2026-05-25,Jeddah,14,36,36.111111111111114,36.111111111111114,36.0,36.111111111111114,14,14,True,False,True,0.0,0.13,-5.0,True,False
2026-05-25,Munich,14,29,28.88888888888889,28.88888888888889,29.0,28.88888888888889,13,19,True,False,False,0.0,0.76,-5.0,True,True
2026-05-25,Tokyo,13,25,25.0,25.0,25.0,25.0,13,16,True,False,False,0.0,0.63,-5.0,True,True
2026-05-25,Tokyo,14,25,25.0,25.0,25.0,25.0,13,16,True,False,False,0.0,0.15,-5.0,True,True
2026-05-25,Wellington,14,15,15.0,15.0,15.0,15.0,13,14,True,False,False,0.0,0.04,-5.0,True,True
2026-05-26,CapeTown,13,19,18.88888888888889,18.88888888888889,19.0,18.88888888888889,13,14,True,False,False,0.0,0.54,-5.0,True,True
2026-05-26,CapeTown,14,19,18.88888888888889,18.88888888888889,19.0,18.88888888888889,13,14,True,False,False,0.0,0.54,-5.0,True,True
