slice,rows,dates,cities,touch_rate,exact_rate,no_win_rate,avg_p_no_win,tail_miss_rate,model
d1_no_path_decline,1606,9.0,47.0,0.0361145703611457,0.0323785803237858,0.9676214196762142,0.8101767399692467,0.0012453300124533001,clock_only_hazard
d1_no_forecast_below_target,2486,9.0,47.0,0.09694288012872083,0.08849557522123894,0.911504424778761,0.7465780603322949,0.00040225261464199515,clock_only_hazard
d1_no_multi_model_spread_high,0,,,,,,,,clock_only_hazard
d1_no_chengdu_like_asia_hot,741,8.0,12.0,0.08502024291497975,0.07557354925775979,0.9244264507422402,0.753986364356271,0.0,clock_only_hazard
d1_no,3177,9.0,47.0,0.12244255587031791,0.10701920050361977,0.8929807994963802,0.5242430720805791,0.0,raw_physical_score_v1
d1_no_next_obs_le30,2408,9.0,47.0,0.13579734219269102,0.11835548172757475,0.8816445182724253,0.5120225103820598,0.0,raw_physical_score_v1
d1_no_cadence_approx60,1293,9.0,34.0,0.0897138437741686,0.08275328692962104,0.917246713070379,0.552219694508894,0.0,raw_physical_score_v1
d1_no_path_decline,1606,9.0,47.0,0.0361145703611457,0.0323785803237858,0.9676214196762142,0.6775778393524284,0.0,raw_physical_score_v1
d1_no_forecast_below_target,2486,9.0,47.0,0.09694288012872083,0.08849557522123894,0.911504424778761,0.6228037156074014,0.0,raw_physical_score_v1
d1_no_multi_model_spread_high,0,,,,,,,,raw_physical_score_v1
d1_no_chengdu_like_asia_hot,741,8.0,12.0,0.08502024291497975,0.07557354925775979,0.9244264507422402,0.5620783171390014,0.0,raw_physical_score_v1
d1_no,3048,8.0,47.0,0.12335958005249344,0.10728346456692914,0.8927165354330708,0.6556612657249798,0.008858267716535433,v1_original_retrained
d1_no_next_obs_le30,2342,8.0,47.0,0.1353543979504697,0.11742100768573868,0.8825789923142613,0.6457821745207288,0.00982066609735269,v1_original_retrained
d1_no_cadence_approx60,1207,8.0,34.0,0.09030654515327258,0.08285004142502071,0.9171499585749793,0.705375365039591,0.006628003314001657,v1_original_retrained
d1_no_path_decline,1546,8.0,47.0,0.037516170763260026,0.03363518758085381,0.9663648124191462,0.8564065855319611,0.014877102199223804,v1_original_retrained
d1_no_forecast_below_target,2386,8.0,47.0,0.09849119865884325,0.08968985750209556,0.9103101424979044,0.7011802508578201,0.011316010058675607,v1_original_retrained
d1_no_multi_model_spread_high,0,,,,,,,,v1_original_retrained
d1_no_chengdu_like_asia_hot,741,8.0,12.0,0.08502024291497975,0.07557354925775979,0.9244264507422402,0.6934268155158816,0.017543859649122806,v1_original_retrained
d1_no,3048,8.0,47.0,0.12335958005249344,0.10728346456692914,0.8927165354330708,0.6620808883672292,0.00853018372703412,old_v1_like
d1_no_next_obs_le30,2342,8.0,47.0,0.1353543979504697,0.11742100768573868,0.8825789923142613,0.6396455631147148,0.008539709649871904,old_v1_like
d1_no_cadence_approx60,1207,8.0,34.0,0.09030654515327258,0.08285004142502071,0.9171499585749793,0.7044926346470323,0.006628003314001657,old_v1_like
d1_no_path_decline,1546,8.0,47.0,0.037516170763260026,0.03363518758085381,0.9663648124191462,0.8634585473376017,0.014230271668822769,old_v1_like
d1_no_forecast_below_target,2386,8.0,47.0,0.09849119865884325,0.08968985750209556,0.9103101424979044,0.7093452157342002,0.010896898575020955,old_v1_like
d1_no_multi_model_spread_high,0,,,,,,,,old_v1_like
d1_no_chengdu_like_asia_hot,741,8.0,12.0,0.08502024291497975,0.07557354925775979,0.9244264507422402,0.6952007303954229,0.016194331983805668,old_v1_like
