period,sizing,fee_profile,exit_policy,rows,dates,cities,win_rate_final,avg_entry,avg_cost,avg_entry_fee,avg_exit_fee,total_cost,total_fees,tp_hit_rate,stop_hit_rate,roi,pnl,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,path_coverage
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,tp20_live_fixed20_plus_time_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0008894736842105262,16.645791535916548,0.7151700000000001,0.3684210526315789,0.05263157894736842,-0.34193557765251864,-5.69178834431703,-0.79686270614135,-0.04841004649479858,3,1,-3.1382231829703686,-0.79686270614135,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,tp20_live_fixed20_plus_time_stop_or_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0008894736842105262,16.645791535916548,0.7151700000000001,0.3684210526315789,0.05263157894736842,-0.34193557765251864,-5.69178834431703,-0.79686270614135,-0.04841004649479858,3,1,-3.1382231829703686,-0.79686270614135,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,tp20_maxbid_backtest_style,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.3684210526315789,0.0,0.4036444532214609,6.7189814229534575,-0.4200430260335541,3.7484338679909546,1,0,-1.6542231829703686,-0.4200430260335541,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_plus1c_weather_fee_stop_taker_fee,tp30_live_fixed30,19,3,17,0.15789473684210525,0.0996315789473684,0.8760942913640288,0.03675105263157895,0.0,16.645791535916548,0.6982700000000001,0.21052631578947367,0.0,-0.5576133880126157,-9.28191621449415,-0.6952940592120249,0.42738493025780194,2,2,-6.95206203330466,-0.6952940592120249,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,hold,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.0,0.0,-0.1718807585198951,-2.604044251985252,-0.6287878210275859,4.245812667876149,1,1,-6.775508527421598,-0.628787821027586,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,hold_plus_late_dust_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.0,0.0,-0.1718807585198951,-2.604044251985252,-0.6287878210275859,4.245812667876149,1,1,-6.775508527421598,-0.628787821027586,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,hold_plus_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.0,0.05263157894736842,-0.17308106543784363,-2.622229256270884,-0.6287878210275859,4.224829417204644,1,1,-6.775508527421598,-0.628787821027586,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,hold_plus_strict_dead_or_late_dust,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.0,0.15789473684210525,-0.08374023523613233,-1.2686892942778265,-0.5275067580568559,4.527358554994381,1,1,-5.684153569714172,-0.5275067580568559,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,hold_plus_strict_dead_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.0,0.15789473684210525,-0.08374023523613233,-1.2686892942778265,-0.5275067580568559,4.527358554994381,1,1,-5.684153569714172,-0.5275067580568559,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,hold_plus_time_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.0,0.15789473684210525,-0.3589784996748473,-5.438630284822565,-0.8111507439564586,0.1402043801442084,2,1,-5.227508527421598,-0.8111507439564587,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,hold_plus_time_stop_or_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.0,0.15789473684210525,-0.3589784996748473,-5.438630284822565,-0.8111507439564586,0.1402043801442084,2,1,-5.227508527421598,-0.8111507439564587,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,recover_stake_tp30_live_fixed30,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.21052631578947367,0.0,-0.3403049046963752,-5.15571980614928,-0.6878650019371156,3.5302335401625426,2,1,-7.4120951940882644,-0.6878650019371157,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,tp20_live_fixed20,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.3684210526315789,0.0,-0.2988319392561993,-4.527392131793732,-0.7719591239711584,0.04916253357522976,2,1,-2.7081429870442144,-0.7719591239711584,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,tp20_live_fixed20_plus_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.3684210526315789,0.0,-0.2988319392561993,-4.527392131793732,-0.7719591239711584,0.04916253357522976,2,1,-2.7081429870442144,-0.7719591239711584,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,tp20_live_fixed20_plus_time_stop,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.3684210526315789,0.05263157894736842,-0.2758620899845049,-4.179392131793733,-0.7719591239711584,0.04916253357522976,2,1,-2.7081429870442144,-0.7719591239711584,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,tp20_live_fixed20_plus_time_stop_or_late_salvage,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.3684210526315789,0.05263157894736842,-0.2758620899845049,-4.179392131793733,-0.7719591239711584,0.04916253357522976,2,1,-2.7081429870442144,-0.7719591239711584,0.8947368421052632
closed_forward_2026_06_27_30,pcal_scaled_8_shares,taker_entry_weather_fee,tp20_maxbid_backtest_style,19,3,17,0.15789473684210525,0.0996315789473684,0.7973839643891186,0.03376631578947368,0.0,15.150295323393253,0.6415599999999999,0.3684210526315789,0.0,0.5421991756684077,8.214477635476754,-0.3489432989376571,4.235321042540396,1,0,-1.2241429870442144,-0.3489432989376571,0.8947368421052632
