snapshot_file,snapshot_ts_utc,ts_beijing,ts_local,local_hour,local_minute,city,city_pool,target_date,unit,bracket,leg,outcome,running_value,running_native,latest_native,decline_native,metar_current_max_f,metar_latest_temp_f,metar_latest_ts_utc,metar_obs_count_today,forecast_max_native,forecast_gap_to_running_native,forecast_peak_time_local,forecast_peak_delta_hours_local,forecast_source,entry_price,best_bid,spread,top_size,depth_5c,bid_depth_5c,residual_points,condition_id,market_id,yes_best_ask,yes_best_bid,no_best_ask,no_best_bid,question,final_yes,settled,win,fee_per_share,cost_per_share,pnl_per_share,roi,period,price_band,residual_band,peak_delta_bucket,forecast_gap_bucket,path_state,hour,entry_policy
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1602.json,2026-06-30T08:02:37Z,2026-06-30 16:02:37,2026-06-30 11:02:37,16,2,Ankara,t1_trading,2026-06-30,C,30,d3_no,no,27,27.22222222222222,27.22222222222222,0.0,81.0,81.0,2026-06-30T07:50:00Z,22,30.3,3.3000000000000007,2026-06-30T17:00,-5.97,open_meteo_live_ecmwf,0.98,0.93,0.05,154.34,757.03,200.0,2.0000000000000018,0x405b647126e48230bdd5e610138c0663c73311aa76490478b5ae0219170df35e,2716921,0.07,0.02,0.98,0.93,Will the highest temperature in Ankara be 30°C on June 30?,0.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_gt2,at_high,16,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1602.json,2026-06-30T08:02:37Z,2026-06-30 16:02:37,2026-06-30 01:02:37,16,2,SanFrancisco,t2_research,2026-06-30,F,64-65,d3_no,no,58,58.0,58.0,0.0,58.0,58.0,2026-06-30T07:56:00Z,1,64.2,6.200000000000003,2026-06-30T14:00,-12.97,open_meteo_live_ecmwf,0.96,0.94,0.02,1134.99,1395.86,81.81,4.0000000000000036,0x9b92ebcf7c731df8dac85e5c91f3193b8e066bafdf741a2f1ac3215025b24bf5,2725324,0.06,0.04,0.96,0.94,Will the highest temperature in San Francisco be between 64-65°F on June 30?,0.0,True,1.0,0.00192,0.96192,0.03808,0.03958749168330007,forward_2026-06-29_2026-07-06,95_97,3_5,peak_gt1h_ahead,room_gt2,at_high,16,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1602.json,2026-06-30T08:02:37Z,2026-06-30 16:02:37,2026-06-30 10:02:37,16,2,Warsaw,t1_trading,2026-06-30,C,30,d3_no,no,27,27.22222222222222,23.88888888888889,3.333333333333332,81.0,75.0,2026-06-30T08:00:00Z,21,33.4,6.399999999999999,2026-06-30T16:00,-5.97,open_meteo_live_ecmwf,0.959,0.928,0.031,25.0,2200.07,130.03,4.100000000000003,0x2a876370f6ae28e70436223a926d27179d73b06866b271a3f34e3309978a20d0,2716987,0.072,0.041,0.959,0.928,Will the highest temperature in Warsaw be 30°C on June 30?,0.0,True,1.0,0.00197,0.96097,0.03903000000000001,0.04061521171316483,forward_2026-06-29_2026-07-06,95_97,3_5,peak_gt1h_ahead,room_gt2,decline,16,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1640.json,2026-06-30T08:40:31Z,2026-06-30 16:40:31,2026-06-30 10:40:31,16,40,CapeTown,t2_research,2026-06-30,C,13,d3_no,no,10,10.0,10.0,0.0,50.0,50.0,2026-06-30T08:00:00Z,13,14.8,4.800000000000001,2026-06-30T14:00,-3.33,open_meteo_live_ecmwf,0.98,0.93,0.05,5.0,192.94,188.69,2.0000000000000018,0xc86b65a8d0c87f50e31a01995011d22db3a2f04c120af4dd72878f12cb85c71b,2717053,0.07,0.02,0.98,0.93,Will the highest temperature in Cape Town be 13°C on June 30?,0.0,True,1.0,0.00098,0.98098,0.019020000000000037,0.019388774490815344,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_gt2,at_high,16,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1640.json,2026-06-30T08:40:31Z,2026-06-30 16:40:31,2026-06-30 10:40:31,16,40,Paris,t2_research,2026-06-30,C,26,d3_no,no,23,22.77777777777778,22.77777777777778,0.0,73.0,73.0,2026-06-30T08:30:00Z,22,29.1,6.100000000000001,2026-06-30T15:00,-4.33,open_meteo_live_gfs,0.976,0.961,0.015,22.48,1110.44,652.02,2.400000000000002,0x738212181a6cb26ef622d9e0d065a9d1d3535087d9649e576c9619353180f6f5,2716819,0.039,0.024,0.976,0.961,Will the highest temperature in Paris be 26°C on June 30?,0.0,True,1.0,0.00117,0.97717,0.022830000000000017,0.023363386104771962,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_gt2,at_high,16,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1640.json,2026-06-30T08:40:31Z,2026-06-30 16:40:31,2026-06-30 01:40:31,16,40,Seattle,t1_trading,2026-06-30,F,60-61,d3_no,no,55,55.0,55.0,0.0,55.0,55.0,2026-06-30T07:53:00Z,1,68.2,13.200000000000003,2026-06-30T16:00,-14.33,open_meteo_live_gfs,0.987,0.972,0.015,230.77,4644.19,177.56,1.3000000000000012,0xd39c229ab98b5184ea668516cf4cd15a487ca23e37e40ec8b581edb11fb241ef,2725210,0.028,0.013,0.987,0.972,Will the highest temperature in Seattle be between 60-61°F on June 30?,0.0,True,1.0,0.00064,0.98764,0.012360000000000038,0.01251468146288125,forward_2026-06-29_2026-07-06,97_99,1_3,peak_gt1h_ahead,room_gt2,at_high,16,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1719.json,2026-06-30T09:19:27Z,2026-06-30 17:19:27,2026-06-30 17:19:27,17,19,Manila,t1_trading,2026-06-30,C,29,current_yes,yes,29,28.88888888888889,28.88888888888889,0.0,84.0,84.0,2026-06-30T09:00:00Z,20,29.1,0.10000000000000142,2026-06-30T10:00,7.32,open_meteo_live_gfs,0.987,0.96,0.027,120.0,1048.72,25.4,1.3000000000000012,0x307c565850d655be4d1907b54e8c32c0d1e0a61309f93151520079024ea413a6,2715381,0.987,0.96,0.04,0.013,Will the highest temperature in Manila be 29°C on June 30?,1.0,True,1.0,0.00064,0.98764,0.012360000000000038,0.01251468146288125,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_gt1_5h,room_0_1,at_high,17,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1719.json,2026-06-30T09:19:27Z,2026-06-30 17:19:27,2026-06-30 17:19:27,17,19,Manila,t1_trading,2026-06-30,C,30,d1_no,no,29,28.88888888888889,28.88888888888889,0.0,84.0,84.0,2026-06-30T09:00:00Z,20,29.1,0.10000000000000142,2026-06-30T10:00,7.32,open_meteo_live_gfs,0.986,0.96,0.026,213.26,977.95,87.81,1.4000000000000012,0x5e8fafb82669efdf4cf0b6ba3562c10d32b929f013e816744ca02fb5f389091d,2715382,0.04,0.014,0.986,0.96,Will the highest temperature in Manila be 30°C on June 30?,0.0,True,1.0,0.00069,0.98669,0.013310000000000044,0.013489545855334547,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_gt1_5h,room_0_1,at_high,17,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1719.json,2026-06-30T09:19:27Z,2026-06-30 17:19:27,2026-06-30 11:19:27,17,19,Munich,t1_trading,2026-06-30,C,27,d3_no,no,24,23.88888888888889,22.77777777777778,1.1111111111111107,75.0,73.0,2026-06-30T09:20:00Z,23,26.9,2.8999999999999986,2026-06-30T16:00,-4.68,open_meteo_live_ecmwf,0.969,0.94,0.029,25.0,1670.6,768.18,3.1000000000000028,0x0ea0a8291ccc70db7331e510c6905537e491a00ee917a6ca0fe2e2d2d0ee148f,2716945,0.06,0.031,0.969,0.94,Will the highest temperature in Munich be 27°C on June 30?,0.0,True,1.0,0.0015,0.9704999999999999,0.02950000000000008,0.03039670273055135,forward_2026-06-29_2026-07-06,95_97,3_5,peak_gt1h_ahead,room_gt2,decline,17,late_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260630_1756.json,2026-06-30T09:56:13Z,2026-06-30 17:56:13,2026-06-30 14:56:13,17,56,Karachi,t1_trading,2026-06-30,C,34,current_yes,yes,34,33.888888888888886,33.888888888888886,0.0,93.0,93.0,2026-06-30T09:30:00Z,30,33.7,-0.29999999999999716,2026-06-30T14:00,0.93,open_meteo_live_ecmwf,0.979,0.943,0.036,10.28,939.68,15.78,2.100000000000002,0xd12089009c0ca10122e1e72ca0af5cfacdf6640dd3297f3d147ee2ff6d3c6b31,2717066,0.979,0.943,0.057,0.021,Will the highest temperature in Karachi be 34°C on June 30?,1.0,True,1.0,0.00103,0.98003,0.019970000000000043,0.020376927236921364,forward_2026-06-29_2026-07-06,97_99,1_3,post_peak_0_5_1_5h,capped_minus1_0,at_high,17,late_residual_combo
