city,target_date,snapshot_ts_utc,legs,leg_set,cost,pnl,wins,worst_leg_pnl,depth_5c_sum,roi,period
Istanbul,2026-07-01,2026-07-01T07:15:54Z,1,d3_no,0.96764,0.032360000000000055,1.0,0.032360000000000055,1850.89,0.03344218924393375,forward_2026-06-29_2026-07-04
Istanbul,2026-07-01,2026-07-01T08:37:18Z,1,d2_no,0.96764,0.032360000000000055,1.0,0.032360000000000055,1640.84,0.03344218924393375,forward_2026-06-29_2026-07-04
Istanbul,2026-07-04,2026-07-04T07:11:44Z,2,"d1_no,d2_no",1.95337,0.04663000000000006,2.0,0.011410000000000031,5353.4400000000005,0.023871565550817337,forward_2026-06-29_2026-07-04
Istanbul,2026-07-04,2026-07-04T07:45:27Z,1,current_yes,0.95238,0.047619999999999996,1.0,0.047619999999999996,3022.41,0.05000105000105,forward_2026-06-29_2026-07-04
Jeddah,2026-07-01,2026-07-01T07:15:54Z,1,d1_no,0.98954,0.010460000000000025,1.0,0.010460000000000025,4063.66,0.010570568142773434,forward_2026-06-29_2026-07-04
Jeddah,2026-07-04,2026-07-04T07:28:21Z,1,d2_no,0.95238,-0.95238,0.0,-0.95238,1087.85,-1.0,forward_2026-06-29_2026-07-04
Jeddah,2026-07-04,2026-07-04T09:59:52Z,2,"d1_no,d3_no",1.9143,0.0857,2.0,0.03808,1217.67,0.044768322624458026,forward_2026-06-29_2026-07-04
Jeddah,2026-07-04,2026-07-04T10:33:47Z,1,d2_no,0.96192,0.03808,1.0,0.03808,429.28,0.03958749168330007,forward_2026-06-29_2026-07-04
Karachi,2026-06-30,2026-06-30T07:26:03Z,1,d2_no,0.9704999999999999,0.02950000000000008,1.0,0.02950000000000008,1104.23,0.03039670273055135,forward_2026-06-29_2026-07-04
Karachi,2026-06-30,2026-06-30T09:56:13Z,2,"current_yes,d1_no",1.95149,0.04851000000000005,2.0,0.019970000000000043,1255.8899999999999,0.024857929069582757,forward_2026-06-29_2026-07-04
Karachi,2026-07-01,2026-07-01T07:15:54Z,1,d2_no,0.95238,0.047619999999999996,1.0,0.047619999999999996,2295.84,0.05000105000105,forward_2026-06-29_2026-07-04
Karachi,2026-07-01,2026-07-01T08:37:18Z,2,"current_yes,d1_no",1.94482,0.05518000000000001,2.0,0.026639999999999997,2097.9,0.02837280570952582,forward_2026-06-29_2026-07-04
Karachi,2026-07-04,2026-07-04T07:45:27Z,1,d3_no,0.98574,0.01426000000000005,1.0,0.01426000000000005,4439.33,0.014466289285207105,forward_2026-06-29_2026-07-04
Karachi,2026-07-04,2026-07-04T08:02:06Z,1,d2_no,0.9838399999999999,0.016160000000000063,1.0,0.016160000000000063,1588.45,0.01642543503008626,forward_2026-06-29_2026-07-04
Karachi,2026-07-04,2026-07-04T10:16:58Z,1,d1_no,0.96192,0.03808,1.0,0.03808,439.28,0.03958749168330007,forward_2026-06-29_2026-07-04
Karachi,2026-07-04,2026-07-04T10:33:47Z,1,current_yes,0.98098,0.019020000000000037,1.0,0.019020000000000037,411.44,0.019388774490815344,forward_2026-06-29_2026-07-04
