ask_floor,scope,price_mode,policy,rows,dates,cities,opposite_rows,same_bracket_proxy_rows,avg_first_ask,avg_reverse_ask,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_win_rate
0.0,verified_forward,gross,first_only_hold,226,12,36,26,8,0.4645176991150442,0.5425,104.981,11.018999999999998,0.10496185023956715,0.0085236627003289,0.19723649504283344,0.6666666666666666
0.0,verified_forward,gross,replace_with_first_opposite_hold,226,12,36,26,8,0.4645176991150442,0.5425,109.206,10.793999999999997,0.09884072303719572,-0.012433706524058253,0.21437607018198898,0.6666666666666666
0.0,verified_forward,gross,same_bracket_close_only_proxy,226,12,36,26,8,0.4645176991150442,0.5425,109.27800000000002,10.721999999999998,0.09811672980837859,0.006562802472403749,0.1915588715273618,0.6666666666666666
0.0,verified_forward,gross,same_bracket_close_plus_reverse_proxy,226,12,36,26,8,0.4645176991150442,0.5425,113.575,11.424999999999997,0.10059432093330396,0.009668364559756382,0.1943995855099734,0.75
0.0,verified_forward,taker,add_first_opposite_hold_both,226,12,36,26,8,0.4645176991150442,0.5425,121.3005397,9.699460299999995,0.07996221883256793,-0.01924455391865938,0.18238500378549416,0.6666666666666666
0.0,verified_forward,taker,first_only_hold,226,12,36,26,8,0.4645176991150442,0.5425,106.96364715,9.036352849999997,0.08448059776166669,-0.010479449889351995,0.17491256088317156,0.5833333333333334
0.0,verified_forward,taker,replace_with_first_opposite_hold,226,12,36,26,8,0.4645176991150442,0.5425,111.22271839999999,8.777281599999998,0.07891626572579796,-0.03021810603131388,0.1916768986790841,0.6666666666666666
0.0,verified_forward,taker,same_bracket_close_only_proxy,226,12,36,26,8,0.4645176991150442,0.5425,111.32711289999999,8.672887099999997,0.07790453622731106,-0.011683366143159256,0.16914802049078967,0.6666666666666666
0.0,verified_forward,taker,same_bracket_close_plus_reverse_proxy,226,12,36,26,8,0.4645176991150442,0.5425,115.69057864999999,9.309421349999997,0.08046827545191812,-0.008591095912416203,0.17217236935365945,0.75
0.2,dev_cv,gross,add_first_opposite_hold_both,474,19,36,86,41,0.6203797468354431,0.6196976744186046,347.354,18.645999999999994,0.05368010732566775,-0.002133008188277532,0.11203474557133172,0.6842105263157895
0.2,dev_cv,gross,first_only_hold,474,19,36,86,41,0.6203797468354431,0.6196976744186046,294.06,18.93999999999999,0.06440862409032166,0.004409730456825082,0.12994415521693672,0.6842105263157895
0.2,dev_cv,gross,replace_with_first_opposite_hold,474,19,36,86,41,0.6203797468354431,0.6196976744186046,296.48900000000003,10.510999999999992,0.03545156818634078,-0.01676777325701441,0.08965112001613498,0.6842105263157895
0.2,dev_cv,gross,same_bracket_close_only_proxy,474,19,36,86,41,0.6203797468354431,0.6196976744186046,318.85299999999995,5.146999999999993,0.01614223482294347,-0.03505441339258141,0.07220831909269872,0.631578947368421
0.2,dev_cv,gross,same_bracket_close_plus_reverse_proxy,474,19,36,86,41,0.6203797468354431,0.6196976744186046,343.64599999999996,3.353999999999992,0.009760043765968446,-0.03870158719027947,0.05908201764549064,0.5263157894736842
0.2,dev_cv,taker,add_first_opposite_hold_both,474,19,36,86,41,0.6203797468354431,0.6196976744186046,353.0409058,12.959094199999988,0.03670706138325342,-0.01858617717545225,0.09392630856474049,0.631578947368421
0.2,dev_cv,taker,first_only_hold,474,19,36,86,41,0.6203797468354431,0.6196976744186046,298.9067917,14.093208299999992,0.04714917389413067,-0.012428268574130041,0.11130787733848324,0.6842105263157895
0.2,dev_cv,taker,replace_with_first_opposite_hold,474,19,36,86,41,0.6203797468354431,0.6196976744186046,301.27682235,5.723177649999988,0.018996408702662317,-0.0326744289566778,0.07231161154556255,0.5789473684210527
0.2,dev_cv,taker,same_bracket_close_only_proxy,474,19,36,86,41,0.6203797468354431,0.6196976744186046,324.10010375,-0.10010375000000948,-0.00030886676320605617,-0.05066854142619673,0.05447536541658876,0.47368421052631576
