ask_floor,scope,city,target_date,first_hour,first_expression,first_side,first_ask,first_p_win,first_model_edge,first_win,first_cost_gross,first_pnl_gross,first_cost_taker,first_pnl_taker,has_opposite,reverse_hour,reverse_expression,reverse_side,reverse_ask,reverse_p_win,reverse_model_edge,reverse_win,same_bracket_proxy,transition,replace_cost_gross,replace_pnl_gross,replace_cost_taker,replace_pnl_taker,add_cost_gross,add_pnl_gross,add_cost_taker,add_pnl_taker,close_only_cost_gross,close_only_pnl_gross,close_only_cost_taker,close_only_pnl_taker,close_plus_reverse_cost_gross,close_plus_reverse_pnl_gross,close_plus_reverse_cost_taker,close_plus_reverse_pnl_taker
0.0,dev_cv,Tokyo,2026-06-16,10.0,d2_no,NO,0.84,0.8684444048846406,0.0284444048846406,1.0,0.84,0.16,0.8467199999999999,0.15328,False,,,,,,,,False,,0.84,0.16,0.8467199999999999,0.15328,0.84,0.16,0.8467199999999999,0.15328,0.84,0.16,0.8467199999999999,0.15328,0.84,0.16,0.8467199999999999,0.15328
0.0,dev_cv,Tokyo,2026-06-17,10.0,d1_no,NO,0.5,0.5362623350733109,0.0362623350733108,1.0,0.5,0.5,0.5125,0.4875,True,13.0,current_yes,YES,0.009,0.0473183495714157,0.0383183495714157,0.0,True,d1_no->current_yes,0.009,-0.009,0.00944595,-0.00944595,0.509,0.491,0.52194595,0.47805405,0.509,0.491,0.52194595,0.47805405,0.518,0.482,0.5313918999999999,0.4686081
0.0,dev_cv,Tokyo,2026-06-18,14.0,d1_no,NO,0.2,0.2213574133202169,0.0213574133202169,0.0,0.2,-0.2,0.20800000000000002,-0.20800000000000002,False,,,,,,,,False,,0.2,-0.2,0.20800000000000002,-0.20800000000000002,0.2,-0.2,0.20800000000000002,-0.20800000000000002,0.2,-0.2,0.20800000000000002,-0.20800000000000002,0.2,-0.2,0.20800000000000002,-0.20800000000000002
0.0,dev_cv,Tokyo,2026-06-19,13.0,current_yes,YES,0.009,0.0308226448999233,0.0218226448999233,0.0,0.009,-0.009,0.00944595,-0.00944595,False,,,,,,,,False,,0.009,-0.009,0.00944595,-0.00944595,0.009,-0.009,0.00944595,-0.00944595,0.009,-0.009,0.00944595,-0.00944595,0.009,-0.009,0.00944595,-0.00944595
0.0,dev_cv,Tokyo,2026-06-20,12.0,current_no,NO,0.11,0.1331702942635378,0.0231702942635378,0.0,0.11,-0.11,0.114895,-0.114895,False,,,,,,,,False,,0.11,-0.11,0.114895,-0.114895,0.11,-0.11,0.114895,-0.114895,0.11,-0.11,0.114895,-0.114895,0.11,-0.11,0.114895,-0.114895
0.0,dev_cv,Warsaw,2026-06-03,14.0,d1_no,NO,0.43,0.4697505885975052,0.0397505885975051,0.0,0.43,-0.43,0.442255,-0.442255,False,,,,,,,,False,,0.43,-0.43,0.442255,-0.442255,0.43,-0.43,0.442255,-0.442255,0.43,-0.43,0.442255,-0.442255,0.43,-0.43,0.442255,-0.442255
0.0,dev_cv,Warsaw,2026-06-04,16.0,d1_no,NO,0.29,0.3592457906793216,0.0692457906793216,0.0,0.29,-0.29,0.300295,-0.300295,True,17.0,current_yes,YES,0.24,0.3157345446081181,0.0757345446081181,1.0,True,d1_no->current_yes,0.24,0.76,0.24911999999999998,0.75088,0.53,0.47000000000000003,0.549415,0.450585,0.53,0.47,0.549415,0.45058499999999996,0.77,1.23,0.798535,1.201465
0.0,dev_cv,Warsaw,2026-06-05,12.0,d1_no,NO,0.59,0.6637235221139228,0.0737235221139228,1.0,0.59,0.41,0.6020949999999999,0.39790499999999995,False,,,,,,,,False,,0.59,0.41,0.6020949999999999,0.39790499999999995,0.59,0.41,0.6020949999999999,0.39790499999999995,0.59,0.41,0.6020949999999999,0.39790499999999995,0.59,0.41,0.6020949999999999,0.39790499999999995
0.0,dev_cv,Warsaw,2026-06-07,10.0,d1_no,NO,0.81,0.8621201059628327,0.0521201059628326,1.0,0.81,0.1899999999999999,0.8176950000000001,0.18230499999999988,True,12.0,current_yes,YES,0.8,0.8386528892004438,0.0386528892004437,1.0,True,d1_no->current_yes,0.8,0.1999999999999999,0.808,0.1919999999999999,1.61,0.3899999999999998,1.6256950000000001,0.3743049999999998,1.61,-0.6100000000000001,1.6256950000000001,-0.6256950000000001,2.41,-0.4100000000000002,2.433695,-0.4336950000000002
0.0,dev_cv,Warsaw,2026-06-08,12.0,d1_no,NO,0.61,0.6806108000471041,0.070610800047104,0.0,0.61,-0.61,0.621895,-0.621895,False,,,,,,,,False,,0.61,-0.61,0.621895,-0.621895,0.61,-0.61,0.621895,-0.621895,0.61,-0.61,0.621895,-0.621895,0.61,-0.61,0.621895,-0.621895
