label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,top5_removed_roi,avg_shares,slice_type,slice_value,expression
selected_yes,full,64,31,29,0.15625,0.1059765625,0.8849985734374999,0.0,56.63990869999999,23.3600913,0.41243165527913367,-0.22916309692696724,1.0731616177489969,21,21,-3.41718,-1.0,-0.23886300495595514,8.0,raw_dist_band,0.25..0.5,selected_yes
two_hotter_yes,full,61,31,28,0.18032786885245902,0.26064754098360654,2.147260359016393,0.0,130.98288189999997,-42.9828819,-0.32815648332440617,-0.6969634513510707,0.08365758120491087,24,22,-11.97869,-1.0,-0.5886679455225897,8.0,raw_dist_band,0.25..0.5,two_hotter_yes
higher_plus_yes,full,82,41,30,0.04878048780487805,0.0568780487804878,0.4645456512195123,0.0,38.09274340000001,-6.092743399999999,-0.1599449883675219,-0.5791679529717422,0.1686891666135778,38,37,-6.24134,-1.0,-1.0,8.0,raw_dist_band,0.5..1,higher_plus_yes
next_hotter_yes,full,103,43,32,0.1941747572815534,0.20029611650485435,1.651418641747573,0.0,170.0961201,-10.096120100000006,-0.05935538149879296,-0.3548206108017303,0.263311558090064,29,25,-7.856217,-1.0,-0.24861200321912147,8.0,raw_dist_band,0.5..1,next_hotter_yes
selected_plus_next_basket,full,103,43,32,0.3592233009708738,0.15881282791262136,1.2705026233009709,0.0,130.8617702,17.138229799999998,0.1309643738870957,-0.09365160153769422,0.36489862411038476,19,15,-4.51625585,-1.0,-0.002847938736298613,8.0,raw_dist_band,0.5..1,selected_plus_next_basket
selected_yes,full,111,47,34,0.15315315315315314,0.10709909909909908,0.8943050360360361,0.0,99.267859,36.732141,0.3700305554086746,-0.14567492258489753,0.9301952188316386,31,31,-5.4110230999999995,-1.0,0.0020012898699978267,8.0,raw_dist_band,0.5..1,selected_yes
two_hotter_yes,full,96,41,32,0.20833333333333334,0.2076614583333333,1.7117727322916665,0.0,164.3301823,-4.330182300000008,-0.026350498973431783,-0.335678387958153,0.30111045653185375,28,24,-8.978927,-1.0,-0.20985673331017893,8.0,raw_dist_band,0.5..1,two_hotter_yes
higher_plus_yes,full,81,37,24,0.0,0.019604938271604942,0.16302833580246914,0.0,13.2052952,-13.2052952,-1.0,-1.0,-1.0,37,37,-3.5446922,-1.0,-1.0,8.0,raw_dist_band,>1,higher_plus_yes
next_hotter_yes,full,97,42,24,0.09278350515463918,0.08839175257731959,0.7316400577319587,0.0,70.9690856,1.0309143999999997,0.014526246058889615,-0.5367220823216623,0.6090224607406715,34,34,-5.5663100000000005,-1.0,-0.5100623824248279,8.0,raw_dist_band,>1,next_hotter_yes
selected_plus_next_basket,full,97,42,24,0.2268041237113402,0.09725727261597937,0.778058180927835,0.0,75.47164355,12.528356449999997,0.1660008429748844,-0.1859217613062142,0.5416197430237905,25,23,-3.325775,-1.0,-0.07517127430187576,8.0,raw_dist_band,>1,selected_plus_next_basket
