strategy,target_date,rows,cities,wins,avg_entry_raw,avg_entry_stress,avg_fee_per_1,raw_pnl,exec_no_fee_pnl,exec_fee_pnl,cash_roi_exec_fee,win_rate,raw_roi,exec_no_fee_roi,exec_fee_roi,losing_day,le_minus50_day
rich_current_b4_current_bracket_no,2026-06-08,1,1,0,0.07,0.08,0.046000000000000006,-1.0,-1.0,-1.046,-1.0,0.0,-1.0,-1.0,-1.046,True,True
rich_current_b4_current_bracket_no,2026-06-09,1,1,0,0.08,0.09,0.045500000000000006,-1.0,-1.0,-1.0455,-1.0,0.0,-1.0,-1.0,-1.0455,True,True
rich_current_b4_current_bracket_no,2026-06-10,5,4,0,0.29500000000000004,0.305,0.03475,-5.0,-5.0,-5.17375,-1.0,0.0,-1.0,-1.0,-1.03475,True,True
rich_current_b4_current_bracket_no,2026-06-11,2,2,1,0.15500000000000003,0.16500000000000004,0.04175,5.142857142857142,4.666666666666666,4.583166666666665,2.197442046362909,0.5,2.571428571428571,2.333333333333333,2.2915833333333326,False,False
rich_current_b4_current_bracket_no,2026-06-12,2,2,0,0.3055,0.3155,0.034225000000000005,-2.0,-2.0,-2.06845,-1.0,0.0,-1.0,-1.0,-1.034225,True,True
rich_current_b4_current_bracket_no,2026-06-13,2,1,2,0.425,0.435,0.02825,2.786036036036036,2.6723952738990335,2.6158952738990333,1.2712612300873682,1.0,1.393018018018018,1.3361976369495168,1.3079476369495167,False,False
rich_current_b4_current_bracket_no,2026-06-14,1,1,0,0.01,0.02,0.049,-1.0,-1.0,-1.049,-1.0,0.0,-1.0,-1.0,-1.049,True,True
rich_current_b4_current_bracket_no,2026-06-15,3,1,2,0.3633333333333333,0.37333333333333335,0.03133333333333333,2.0031269543464663,1.880952380952381,1.786952380952381,0.5803450587905286,0.6666666666666666,0.6677089847821555,0.626984126984127,0.5956507936507937,False,False
rich_current_b4_current_bracket_no,2026-06-16,5,4,5,0.368,0.378,0.0311,13.054029304029305,12.171304318630233,12.015804318630234,2.3169096541931635,1.0,2.610805860805861,2.4342608637260463,2.403160863726047,False,False
rich_current_b4_current_bracket_no,2026-06-17,1,1,0,0.05,0.060000000000000005,0.047,-1.0,-1.0,-1.047,-1.0,0.0,-1.0,-1.0,-1.047,True,True
rich_current_b4_current_bracket_no,2026-06-19,2,2,0,0.07500000000000001,0.085,0.04575,-2.0,-2.0,-2.0915,-1.0,0.0,-1.0,-1.0,-1.04575,True,True
rich_current_b4_current_bracket_no,2026-06-20,2,1,2,0.49,0.5,0.025,2.1245791245791246,2.0404040404040407,1.9904040404040404,0.9704598078056575,1.0,1.0622895622895623,1.0202020202020203,0.9952020202020202,False,False
rich_current_b4_d1_yes,2026-05-20,3,3,3,0.19000000000000003,0.20000000000000004,0.04,16.813519813519815,15.417366946778712,15.297366946778713,4.892571751168153,1.0,5.6045066045066045,5.139122315592904,5.099122315592904,False,False
rich_current_b4_d1_yes,2026-05-21,2,2,0,0.295,0.305,0.03475,-2.0,-2.0,-2.0694999999999997,-1.0,0.0,-1.0,-1.0,-1.0347499999999998,True,True
rich_current_b4_d1_yes,2026-05-23,2,2,1,0.19,0.19999999999999998,0.04,0.8571428571428572,0.7777777777777777,0.6977777777777776,0.3458225667527992,0.5,0.4285714285714286,0.38888888888888884,0.3488888888888888,False,False
rich_current_b4_d1_yes,2026-05-24,2,2,1,0.17,0.18000000000000002,0.041,3.88235294117647,3.5555555555555545,3.473555555555554,1.668374426299498,0.5,1.941176470588235,1.7777777777777772,1.736777777777777,False,False
rich_current_b4_d1_yes,2026-05-25,1,1,0,0.14,0.15000000000000002,0.0425,-1.0,-1.0,-1.0425,-1.0,0.0,-1.0,-1.0,-1.0425,True,True
rich_current_b4_d1_yes,2026-05-26,1,1,1,0.32,0.33,0.033499999999999995,2.125,2.0303030303030303,1.9968030303030302,1.9320784037765166,1.0,2.125,2.0303030303030303,1.9968030303030302,False,False
rich_current_b4_d1_yes,2026-05-27,7,5,1,0.19685714285714287,0.20685714285714285,0.039657142857142856,-3.7741935483870965,-3.875,-4.1526,-0.568250898038132,0.14285714285714285,-0.5391705069124424,-0.5535714285714286,-0.5932285714285713,True,True
rich_current_b4_d1_yes,2026-05-28,2,1,1,0.14,0.15000000000000002,0.042499999999999996,1.7037037037037033,1.5714285714285712,1.4864285714285712,0.723662437948152,0.5,0.8518518518518516,0.7857142857142856,0.7432142857142856,False,False
rich_current_b4_d1_yes,2026-05-29,3,3,1,0.31,0.32,0.034,0.44827586206896575,0.3333333333333335,0.2313333333333334,0.07353730542136343,0.3333333333333333,0.1494252873563219,0.11111111111111116,0.07711111111111113,False,False
rich_current_b4_d1_yes,2026-05-30,2,2,0,0.275,0.28500000000000003,0.035750000000000004,-2.0,-2.0,-2.0715000000000003,-1.0,0.0,-1.0,-1.0,-1.0357500000000002,True,True
rich_current_b4_d1_yes,2026-05-31,1,1,0,0.34,0.35000000000000003,0.032499999999999994,-1.0,-1.0,-1.0325,-1.0,0.0,-1.0,-1.0,-1.0325,True,True
rich_current_b4_d1_yes,2026-06-01,2,2,0,0.0595,0.06949999999999999,0.04652500000000001,-2.0,-2.0,-2.09305,-1.0,0.0,-1.0,-1.0,-1.046525,True,True
rich_current_b4_d1_yes,2026-06-02,1,1,0,0.34,0.35000000000000003,0.032499999999999994,-1.0,-1.0,-1.0325,-1.0,0.0,-1.0,-1.0,-1.0325,True,True
rich_current_b4_d1_yes,2026-06-03,2,2,0,0.097,0.107,0.04465,-2.0,-2.0,-2.0892999999999997,-1.0,0.0,-1.0,-1.0,-1.0446499999999999,True,True
rich_current_b4_d1_yes,2026-06-05,5,3,0,0.10880000000000001,0.11880000000000002,0.04406,-5.0,-5.0,-5.2203,-1.0,0.0,-1.0,-1.0,-1.04406,True,True
rich_current_b4_d1_yes,2026-06-06,2,2,0,0.14,0.15000000000000002,0.0425,-2.0,-2.0,-2.085,-1.0,0.0,-1.0,-1.0,-1.0425,True,True
rich_current_b4_d1_yes,2026-06-07,5,3,2,0.254,0.264,0.0368,2.3333333333333335,2.0719602977667493,1.8879602977667496,0.3654302539566694,0.4,0.4666666666666667,0.41439205955334985,0.3775920595533499,False,False
rich_current_b4_d1_yes,2026-06-08,1,1,0,0.07,0.08,0.046000000000000006,-1.0,-1.0,-1.046,-1.0,0.0,-1.0,-1.0,-1.046,True,True
rich_current_b4_d1_yes,2026-06-09,1,1,0,0.067,0.077,0.046150000000000004,-1.0,-1.0,-1.04615,-1.0,0.0,-1.0,-1.0,-1.04615,True,True
rich_current_b4_d1_yes,2026-06-10,5,4,0,0.269,0.279,0.03605,-5.0,-5.0,-5.18025,-1.0,0.0,-1.0,-1.0,-1.03605,True,True
rich_current_b4_d1_yes,2026-06-11,2,2,1,0.15500000000000003,0.16500000000000004,0.04175,5.142857142857142,4.666666666666666,4.583166666666665,2.197442046362909,0.5,2.571428571428571,2.333333333333333,2.2915833333333326,False,False
rich_current_b4_d1_yes,2026-06-12,2,2,0,0.26,0.27,0.036500000000000005,-2.0,-2.0,-2.0730000000000004,-1.0,0.0,-1.0,-1.0,-1.0365000000000002,True,True
rich_current_b4_d1_yes,2026-06-13,2,1,2,0.36,0.37,0.0315,3.7142857142857144,3.551387846961741,3.488387846961741,1.689683267557193,1.0,1.8571428571428572,1.7756939234808704,1.7441939234808705,False,False
rich_current_b4_d1_yes,2026-06-14,1,1,0,0.009,0.019,0.04905,-1.0,-1.0,-1.04905,-1.0,0.0,-1.0,-1.0,-1.04905,True,True
rich_current_b4_d1_yes,2026-06-15,3,1,2,0.33,0.34,0.033,2.8292282430213467,2.658914728682171,2.5599147286821706,0.8272502839819978,0.6666666666666666,0.9430760810071156,0.8863049095607236,0.8533049095607236,False,False
rich_current_b4_d1_yes,2026-06-16,5,4,5,0.358,0.368,0.0316,16.551362683438153,15.142728093947605,14.984728093947606,2.882873663105138,1.0,3.3102725366876307,3.028545618789521,2.996945618789521,False,False
rich_current_b4_d1_yes,2026-06-17,1,1,0,0.041,0.051000000000000004,0.04745,-1.0,-1.0,-1.04745,-1.0,0.0,-1.0,-1.0,-1.04745,True,True
rich_current_b4_d1_yes,2026-06-19,2,2,0,0.0785,0.0885,0.045575000000000004,-2.0,-2.0,-2.09115,-1.0,0.0,-1.0,-1.0,-1.045575,True,True
rich_current_b4_d1_yes,2026-06-20,2,1,2,0.3,0.31,0.0345,4.857142857142858,4.6239316239316235,4.5549316239316235,2.200284401928231,1.0,2.428571428571429,2.3119658119658117,2.2774658119658118,False,False
