strategy,description,city,target_date,decision_hour_local,entry_raw,entry_stress,fee_usd_per_1_notional,win,raw_pnl_per_1,exec_no_fee_pnl_per_1,exec_fee_pnl_per_1,cash_roi_exec_fee,current_high_yes_ask,forecast_gap_native,temp_trend_1h_f,forecast_peak_delta_hours_local,current_yes_ask,forecast_steps,steps,leg_steps,leg,ask_size
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Atlanta,2026-06-07,14,0.3,0.31,0.034499999999999996,True,2.3333333333333335,2.2258064516129035,2.1913064516129035,2.118227599432483,0.67,4.900000000000006,1.0,-2.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,NYC,2026-06-08,14,0.07,0.08,0.046000000000000006,False,-1.0,-1.0,-1.046,-1.0,0.95,2.200000000000003,1.0,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Austin,2026-06-09,16,0.067,0.077,0.046150000000000004,False,-1.0,-1.0,-1.04615,-1.0,0.95,1.7999999999999972,1.0,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Beijing,2026-06-10,15,0.015,0.025,0.04875,False,-1.0,-1.0,-1.04875,-1.0,0.992,2.3888888888888893,1.7999999999999972,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Miami,2026-06-10,14,0.13,0.14,0.043000000000000003,False,-1.0,-1.0,-1.043,-1.0,0.87,1.2999999999999972,1.0,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Wuhan,2026-06-11,14,0.17,0.18000000000000002,0.041,False,-1.0,-1.0,-1.041,-1.0,0.86,1.8888888888888893,1.7999999999999972,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Beijing,2026-06-11,15,0.14,0.15000000000000002,0.0425,True,6.142857142857142,5.666666666666666,5.624166666666666,5.394884092725818,0.87,1.5000000000000036,1.7999999999999972,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Lucknow,2026-06-12,15,0.1,0.11,0.044500000000000005,False,-1.0,-1.0,-1.0445,-1.0,0.94,7.944444444444443,1.7999999999999972,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Dallas,2026-06-12,15,0.16,0.17,0.0415,False,-1.0,-1.0,-1.0415,-1.0,0.842,7.400000000000006,5.0,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Beijing,2026-06-13,14,0.15,0.16,0.042,True,5.666666666666667,5.25,5.208,4.998080614203455,0.86,5.111111111111114,1.7999999999999972,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Beijing,2026-06-13,15,0.109,0.119,0.044050000000000006,False,-1.0,-1.0,-1.04405,-1.0,0.93,4.555555555555557,1.8000000000000114,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,SaoPaulo,2026-06-13,11,0.3,0.31,0.034499999999999996,True,2.3333333333333335,2.2258064516129035,2.1913064516129035,2.118227599432483,0.69,1.6111111111111145,3.5999999999999943,-3.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Lucknow,2026-06-14,14,0.16,0.17,0.0415,False,-1.0,-1.0,-1.0415,-1.0,0.86,4.833333333333336,1.7999999999999972,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Helsinki,2026-06-14,17,0.009,0.019,0.04905,False,-1.0,-1.0,-1.04905,-1.0,0.998,1.3888888888888893,1.7999999999999972,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Austin,2026-06-15,11,0.29,0.3,0.034999999999999996,True,2.4482758620689657,2.3333333333333335,2.2983333333333333,2.2206119162640903,0.71,3.0999999999999943,2.0,-7.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Austin,2026-06-15,18,0.28,0.29000000000000004,0.0355,False,-1.0,-1.0,-1.0355,-1.0,0.94,1.0999999999999943,1.0,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Istanbul,2026-06-16,11,0.24,0.25,0.037500000000000006,True,3.166666666666667,3.0,2.9625,2.8554216867469875,0.779,2.722222222222225,1.8000000000000114,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Busan,2026-06-19,14,0.058,0.068,0.0466,False,-1.0,-1.0,-1.0466,-1.0,0.97,1.3888888888888893,1.7999999999999972,0.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Austin,2026-06-19,16,0.099,0.109,0.044550000000000006,False,-1.0,-1.0,-1.04455,-1.0,0.93,3.5,3.0,-1.0,,,,,,
false_fade_reheat_conflict_d1_yes,Narrow sibling trigger: warming + forecast runway + current still anchored; buy d1 YES.,Singapore,2026-06-30,20,0.011,0.020999999999999998,0.04895,False,-1.0,-1.0,-1.04895,-1.0,0.998,2.522222222222222,1.8000000000000114,-13.0,,,,,,
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Shanghai,2026-05-20,12,0.33,0.34,0.032999999999999995,True,2.0303030303030303,1.941176470588235,1.9081764705882351,1.8472182677524058,,2.2222222222222214,3.5999999999999943,-1.0,0.6,2.0,1.0,1.0,d1_yes,16.3
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Lucknow,2026-05-20,14,0.13,0.14,0.043000000000000003,True,6.692307692307692,6.142857142857142,6.099857142857142,5.848376934666484,,4.111111111111114,1.7999999999999972,-1.0,0.87,4.0,1.0,1.0,d1_yes,18.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Houston,2026-05-20,16,0.11,0.12,0.044000000000000004,True,8.090909090909092,7.333333333333334,7.289333333333334,6.982120051085569,,2.299999999999997,2.0,-1.0,0.87,1.0,1.0,1.0,d1_yes,15.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",CapeTown,2026-05-21,13,0.5,0.51,0.0245,False,-1.0,-1.0,-1.0245,-1.0,,4.888888888888889,1.7999999999999972,-1.0,0.69,5.0,0.0,1.0,d1_yes,5.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",LA,2026-05-21,12,0.09,0.09999999999999999,0.045000000000000005,False,-1.0,-1.0,-1.045,-1.0,,2.5,1.0,0.0,0.968,1.0,0.0,1.0,d1_yes,8.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Houston,2026-05-23,15,0.03,0.04,0.048,False,-1.0,-1.0,-1.048,-1.0,,8.700000000000003,1.0,-1.0,0.999,4.0,0.0,1.0,d1_yes,27.57
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Dallas,2026-05-23,15,0.35,0.36,0.032,True,1.8571428571428572,1.7777777777777777,1.7457777777777777,1.6916451335055984,,2.700000000000003,1.0,0.0,0.62,1.0,1.0,1.0,d1_yes,19.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Beijing,2026-05-24,14,0.17,0.18000000000000002,0.041,True,4.88235294117647,4.5555555555555545,4.514555555555554,4.336748852598996,,2.666666666666668,1.7999999999999972,0.0,0.86,3.0,1.0,1.0,d1_yes,40.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Ankara,2026-05-24,13,0.17,0.18000000000000002,0.041,False,-1.0,-1.0,-1.041,-1.0,,1.5555555555555536,1.7999999999999972,0.0,0.83,1.0,0.0,1.0,d1_yes,28.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Shanghai,2026-05-25,13,0.14,0.15000000000000002,0.0425,False,-1.0,-1.0,-1.0425,-1.0,,3.1666666666666643,1.8000000000000114,-1.0,0.85,1.0,0.0,1.0,d1_yes,35.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Singapore,2026-05-26,11,0.32,0.33,0.033499999999999995,True,2.125,2.0303030303030303,1.9968030303030302,1.9320784037765166,,1.166666666666668,3.6000000000000085,-4.0,0.704,1.0,1.0,1.0,d1_yes,15.5
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Istanbul,2026-05-27,14,0.24,0.25,0.037500000000000006,False,-1.0,-1.0,-1.0375,-1.0,,1.9444444444444429,1.7999999999999972,0.0,0.73,2.0,0.0,1.0,d1_yes,18.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Helsinki,2026-05-27,16,0.049,0.059000000000000004,0.04705,False,-1.0,-1.0,-1.04705,-1.0,,1.5555555555555554,1.7999999999999972,-1.0,0.97,1.0,0.0,1.0,d1_yes,8.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Helsinki,2026-05-27,17,0.008,0.018000000000000002,0.049100000000000005,False,-1.0,-1.0,-1.0491,-1.0,,1.5555555555555554,3.6000000000000014,0.0,0.995,1.0,0.0,1.0,d1_yes,79.99
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Houston,2026-05-27,10,0.28,0.29000000000000004,0.0355,False,-1.0,-1.0,-1.0355,-1.0,,2.4000000000000057,4.0,-7.0,0.68,1.0,0.0,1.0,d1_yes,32.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Houston,2026-05-27,11,0.11,0.12,0.044000000000000004,False,-1.0,-1.0,-1.044,-1.0,,2.4000000000000057,3.0,-6.0,0.8,1.0,0.0,1.0,d1_yes,8.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",NYC,2026-05-27,16,0.31,0.32,0.033999999999999996,True,2.2258064516129035,2.125,2.091,2.0222437137330758,,6.799999999999997,2.0,0.0,0.69,3.0,1.0,1.0,d1_yes,21.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Austin,2026-05-27,17,0.381,0.391,0.03045,False,-1.0,-1.0,-1.03045,-1.0,,8.5,3.0,0.0,0.62,5.0,0.0,1.0,d1_yes,8.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Beijing,2026-05-28,13,0.27,0.28,0.036,True,2.7037037037037033,2.571428571428571,2.535428571428571,2.447324875896304,,1.9444444444444429,1.7999999999999972,-3.0,0.74,2.0,1.0,1.0,d1_yes,41.16
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Beijing,2026-05-28,16,0.01,0.02,0.049,False,-1.0,-1.0,-1.049,-1.0,,0.8333333333333321,1.7999999999999972,0.0,0.998,1.0,0.0,1.0,d1_yes,400.68
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",BuenosAires,2026-05-29,14,0.23,0.24000000000000002,0.038000000000000006,False,-1.0,-1.0,-1.038,-1.0,,0.9444444444444446,1.7999999999999972,0.0,0.84,1.0,0.0,1.0,d1_yes,11.9
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",NYC,2026-05-29,15,0.29,0.3,0.034999999999999996,True,2.4482758620689657,2.3333333333333335,2.2983333333333333,2.2206119162640903,,1.9000000000000057,2.0,-1.0,0.66,1.0,1.0,1.0,d1_yes,32.77
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",LA,2026-05-29,13,0.41,0.42,0.029000000000000005,False,-1.0,-1.0,-1.029,-1.0,,1.2999999999999972,1.0,0.0,0.63,1.0,0.0,1.0,d1_yes,23.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Karachi,2026-05-30,14,0.16,0.17,0.0415,False,-1.0,-1.0,-1.0415,-1.0,,0.4444444444444428,1.7999999999999972,0.0,0.91,1.0,0.0,1.0,d1_yes,6.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",SanFrancisco,2026-05-30,14,0.39,0.4,0.03,False,-1.0,-1.0,-1.03,-1.0,,0.5,1.0,0.0,0.72,1.0,0.0,1.0,d1_yes,6.95
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Wuhan,2026-05-31,14,0.34,0.35000000000000003,0.032499999999999994,False,-1.0,-1.0,-1.0325,-1.0,,0.6111111111111107,3.5999999999999943,-2.0,0.63,1.0,0.0,1.0,d1_yes,5.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Busan,2026-06-01,14,0.059,0.06899999999999999,0.04655000000000001,False,-1.0,-1.0,-1.04655,-1.0,,0.7777777777777786,1.7999999999999972,0.0,0.95,1.0,0.0,1.0,d1_yes,6.24
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",NYC,2026-06-01,15,0.06,0.06999999999999999,0.04650000000000001,False,-1.0,-1.0,-1.0465,-1.0,,1.5999999999999943,1.0,0.0,0.95,1.0,0.0,1.0,d1_yes,11.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",TelAviv,2026-06-02,13,0.34,0.35000000000000003,0.032499999999999994,False,-1.0,-1.0,-1.0325,-1.0,,1.7777777777777786,1.8000000000000114,-2.0,0.72,2.0,0.0,1.0,d1_yes,13.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Wuhan,2026-06-03,13,0.151,0.161,0.04195,False,-1.0,-1.0,-1.04195,-1.0,,2.0555555555555536,1.7999999999999972,-2.0,0.89,2.0,0.0,1.0,d1_yes,5.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Houston,2026-06-03,13,0.043,0.053,0.04735,False,-1.0,-1.0,-1.04735,-1.0,,2.5,2.0,0.0,0.97,1.0,0.0,1.0,d1_yes,15.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Austin,2026-06-05,13,0.075,0.08499999999999999,0.045750000000000006,False,-1.0,-1.0,-1.04575,-1.0,,1.5999999999999943,3.0,-5.0,0.95,1.0,0.0,1.0,d1_yes,48.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",NYC,2026-06-05,15,0.17,0.18000000000000002,0.041,False,-1.0,-1.0,-1.041,-1.0,,3.5,1.0,-1.0,0.86,2.0,0.0,1.0,d1_yes,5.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Atlanta,2026-06-05,16,0.1,0.11,0.044500000000000005,False,-1.0,-1.0,-1.0445,-1.0,,3.0999999999999943,1.0,-1.0,0.92,1.0,0.0,1.0,d1_yes,272.88
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Atlanta,2026-06-05,17,0.07,0.08,0.046000000000000006,False,-1.0,-1.0,-1.046,-1.0,,2.0999999999999943,1.0,0.0,0.95,1.0,0.0,1.0,d1_yes,13.0
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Austin,2026-06-05,16,0.129,0.139,0.043050000000000005,False,-1.0,-1.0,-1.04305,-1.0,,1.5999999999999943,1.0,-2.0,0.947,1.0,0.0,1.0,d1_yes,19.2
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Lucknow,2026-06-06,14,0.23,0.24000000000000002,0.038000000000000006,False,-1.0,-1.0,-1.038,-1.0,,4.833333333333336,1.7999999999999972,-1.0,0.8,5.0,0.0,1.0,d1_yes,0.52
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Atlanta,2026-06-06,16,0.05,0.060000000000000005,0.047,False,-1.0,-1.0,-1.047,-1.0,,3.700000000000003,1.0,0.0,0.96,2.0,0.0,1.0,d1_yes,8.0
