rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,window,variant,weight_col,threshold,cap_mode,rank_auc_score_ratio
9,5,6,5,0.5555555555555556,0.45577777777777784,0.4334981155555556,3.9014830400000005,0.85561800199164,0.21930583658045066,-0.20077635365389587,0.7837991558709527,0,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,0.6,daily_cap_weight_1,0.5105042016806722
7,4,6,3,0.42857142857142855,0.35714285714285715,0.43203165714285724,3.0242216000000006,1.1019064047063443,0.36436033811356416,-0.44759815678570436,0.870749260436031,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,0.8,no_daily_cap,0.5105042016806722
7,4,6,3,0.42857142857142855,0.35714285714285715,0.43203165714285724,3.0242216000000006,1.1019064047063443,0.36436033811356416,-0.44759815678570436,0.870749260436031,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,0.8,daily_cap_weight_1,0.5105042016806722
5,4,5,3,0.6,0.31399999999999995,0.42400912000000013,2.1200456000000005,2.006082404706344,0.9462449320459634,-0.2863630465810305,2.3928145099983564,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.0,no_daily_cap,0.5105042016806722
5,4,5,3,0.6,0.31399999999999995,0.42400912000000013,2.1200456000000005,2.006082404706344,0.9462449320459634,-0.2863630465810305,2.3928145099983564,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.0,daily_cap_weight_1,0.5105042016806722
3,3,3,2,0.6666666666666666,0.27,0.4378666666666668,1.3136000000000003,1.7190267281105993,1.308637886807703,-1.0,3.761904761904762,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.2,no_daily_cap,0.5105042016806722
3,3,3,2,0.6666666666666666,0.27,0.4378666666666668,1.3136000000000003,1.7190267281105993,1.308637886807703,-1.0,3.761904761904762,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.2,daily_cap_weight_1,0.5105042016806722
2,2,2,1,0.5,0.3,0.5248000000000002,1.0496000000000003,0.7258838709677424,0.691581431943352,,,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.5,no_daily_cap,0.5105042016806722
2,2,2,1,0.5,0.3,0.5248000000000002,1.0496000000000003,0.7258838709677424,0.691581431943352,,,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,deployed_score,score_deployed_weight,1.5,daily_cap_weight_1,0.5105042016806722
4,3,3,1,0.25,0.355,0.46767060000000005,1.8706824000000002,-0.5390694967741932,-0.2881673002184621,-1.0,0.8880092205101469,2,historical_best_ask_diagnostic,forward_2026-06-21_plus,all_expr_city_source_bias,score_all_expr_city_bias_weight,1.0,no_daily_cap,0.5105042016806722
4,3,3,1,0.25,0.355,0.46767060000000005,1.8706824000000002,-0.5390694967741932,-0.2881673002184621,-1.0,0.8880092205101469,2,historical_best_ask_diagnostic,forward_2026-06-21_plus,all_expr_city_source_bias,score_all_expr_city_bias_weight,1.0,daily_cap_weight_1,0.5105042016806722
9,4,7,5,0.5555555555555556,0.43666666666666665,0.519077777777778,4.671700000000001,1.543466192763997,0.33038641024980125,0.0707989533137071,0.6820018841198664,0,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_price_mult,score_no_price_weight,1.0,no_daily_cap,0.48739495798319327
6,4,5,4,0.6666666666666666,0.365,0.46128333333333343,2.7677000000000005,2.4152081282478677,0.8726408672355628,-0.2414083012314709,1.44268934988337,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_price_mult,score_no_price_weight,1.0,daily_cap_weight_1,0.48739495798319327
6,4,6,3,0.5,0.3481666666666667,0.48816333333333345,2.9289800000000006,1.9143942915972154,0.6536044259766932,-0.6291771508399476,2.3798495966929467,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_peak_mult,score_no_peak_weight,1.0,no_daily_cap,0.4726890756302521
5,4,5,3,0.6,0.31399999999999995,0.47722640000000005,2.3861320000000004,2.4572422915972156,1.0298014911149993,-0.2863630465810305,2.3798495966929467,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_peak_mult,score_no_peak_weight,1.0,daily_cap_weight_1,0.4726890756302521
5,4,5,3,0.6,0.31399999999999995,0.42400912000000013,2.1200456000000005,2.006082404706344,0.9462449320459634,-0.2863630465810305,2.3928145099983564,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_freshness_mult,score_no_freshness_weight,1.0,no_daily_cap,0.5105042016806722
5,4,5,3,0.6,0.31399999999999995,0.42400912000000013,2.1200456000000005,2.006082404706344,0.9462449320459634,-0.2863630465810305,2.3928145099983564,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_freshness_mult,score_no_freshness_weight,1.0,daily_cap_weight_1,0.5105042016806722
5,4,5,3,0.6,0.31399999999999995,0.4489691200000001,2.2448456000000006,1.8812824047063441,0.8380453447249752,-0.4114499732477263,2.3928145099983564,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_momentum_mult,score_no_momentum_weight,1.0,no_daily_cap,0.5021008403361344
5,4,5,3,0.6,0.31399999999999995,0.4489691200000001,2.2448456000000006,1.8812824047063441,0.8380453447249752,-0.4114499732477263,2.3928145099983564,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_momentum_mult,score_no_momentum_weight,1.0,daily_cap_weight_1,0.5021008403361344
7,4,6,3,0.42857142857142855,0.35714285714285715,0.5205057142857143,3.6435400000000002,1.1513347916462402,0.31599345462002343,-0.503830429087445,0.9172892665102877,1,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_weather_mult,score_no_weather_weight,1.0,no_daily_cap,0.5336134453781513
6,4,5,2,0.3333333333333333,0.3383333333333333,0.5052833333333334,3.0317000000000003,0.46138755760368677,0.1521877354631681,-1.0,0.8782557656093327,2,historical_best_ask_diagnostic,forward_2026-06-21_plus,no_weather_mult,score_no_weather_weight,1.0,daily_cap_weight_1,0.5336134453781513
