evidence_layer,target_date,city,router_route,router_ask,router_payoff,score_deployed_weight,score_all_expr_city_bias_weight,score_no_price_weight,score_route_mult,score_price_mult,score_peak_mult,score_freshness_mult,score_momentum_mult,score_weather_mult,score_deployed_city_bias_mult,score_all_expr_city_bias_mult,city_source_bias_regime,score_recompute_abs_diff
frozen_live_like_route_price,2026-06-12,Atlanta,false_fade_reheat_current_no,0.44,0.0,0.234,0.2691,0.234,0.65,1.0,0.8,1.0,0.5,0.9,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-12,Austin,fresh_runway_current_no,0.19,1.0,0.8,0.9199999999999999,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-12,Busan,fresh_runway_current_no,0.27,0.0,0.4608000000000001,0.3456000000000001,0.4608000000000001,0.8,1.0,0.8,1.0,0.8,0.9,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-12,CapeTown,fresh_runway_current_no,0.55,1.0,0.39936000000000005,0.29952,0.5120000000000001,0.8,0.7799999999999999,0.8,1.0,0.8,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-12,Houston,fresh_runway_current_no,0.43,0.0,0.7200000000000001,0.4680000000000001,0.7200000000000001,0.8,1.0,1.0,1.0,1.0,0.9,1.0,0.65,cold_overforecast_clean,0.0
frozen_live_like_route_price,2026-06-12,Karachi,capped_d2_no,0.55,0.0,0.209898,0.209898,0.2691,0.45,0.7799999999999999,1.0,1.0,1.0,0.92,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-12,Manila,fresh_runway_current_no,0.33,0.0,0.5760000000000002,0.6624000000000001,0.5760000000000002,0.8,1.0,1.0,1.0,0.8,0.9,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-12,SanFrancisco,false_fade_reheat_current_no,0.562,0.0,0.11266319999999998,0.07323107999999999,0.14950000000000002,0.65,0.7535999999999998,0.5,1.0,0.5,0.92,1.0,0.65,cold_overforecast_clean,0.0
frozen_live_like_route_price,2026-06-12,TelAviv,fresh_runway_current_no,0.49,0.0,0.7296,0.5836800000000001,0.8,0.8,0.912,1.0,1.0,1.0,1.0,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-12,Warsaw,fresh_runway_current_no,0.52,1.0,0.43315200000000004,0.38983680000000004,0.5120000000000001,0.8,0.846,0.8,1.0,0.8,1.0,1.0,0.9,balanced_tight,0.0
frozen_live_like_route_price,2026-06-13,Helsinki,fresh_runway_current_no,0.431,0.0,0.4812800000000001,0.3850240000000001,0.4812800000000001,0.8,1.0,0.8,1.0,0.8,0.94,1.0,0.8,mild_or_mixed,0.0
frozen_live_like_route_price,2026-06-13,Karachi,capped_d2_no,0.6,0.0,0.16853850000000006,0.16853850000000006,0.25155000000000005,0.45,0.67,1.0,1.0,1.0,0.8600000000000001,0.65,0.65,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-13,Manila,fresh_runway_current_no,0.4,1.0,0.5760000000000002,0.6624000000000001,0.5760000000000002,0.8,1.0,0.8,1.0,1.0,0.9,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-13,Miami,false_fade_reheat_current_no,0.57,1.0,0.21528000000000005,0.19375200000000006,0.29250000000000004,0.65,0.7360000000000001,1.0,1.0,0.5,0.9,1.0,0.9,balanced_tight,0.0
frozen_live_like_route_price,2026-06-14,Busan,fresh_runway_current_no,0.43,1.0,0.7200000000000001,0.54,0.7200000000000001,0.8,1.0,1.0,1.0,1.0,0.9,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-14,Istanbul,fresh_runway_current_no,0.43,1.0,0.6400000000000001,0.4800000000000001,0.6400000000000001,0.8,1.0,1.0,1.0,0.8,1.0,1.0,0.75,cold_overforecast_noisy,0.0
frozen_live_like_route_price,2026-06-14,Jeddah,fresh_runway_current_no,0.3,1.0,0.32000000000000006,0.36800000000000005,0.32000000000000006,0.8,1.0,0.5,1.0,0.8,1.0,1.0,1.15,hot_underforecast_clean,0.0
frozen_live_like_route_price,2026-06-14,Lucknow,fresh_runway_current_no,0.15,0.0,0.6400000000000001,0.4160000000000001,0.6400000000000001,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.65,cold_overforecast_clean,0.0
