label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,book_state_v1,slice_type,raw_dist_band,adj_dist_band,price_band
0.25..0.5,recent_ge_2026_06_21,13,6,12,0.15384615384615385,0.11565384615384613,0.9653076538461538,0.0,12.548999499999999,3.4510005000000006,0.2750020429915549,-1.0,1.0275041069630066,4,4,-3.2054856,-1.0,,raw_dist_band,0.25..0.5,,
0.5..1,recent_ge_2026_06_21,21,7,15,0.14285714285714285,0.09557142857142857,0.7985550571428571,0.0,16.7696562,7.230343799999999,0.4311563525076918,-1.0,1.624584670311138,5,5,-2.21555,-1.0,,raw_dist_band,0.5..1,,
>1,recent_ge_2026_06_21,17,6,11,0.17647058823529413,0.095,0.793796305882353,0.0,13.4945372,10.5054628,0.7784974500644601,-0.5397721302512755,3.0087828423292593,3,3,-3.7371775,-1.0,,raw_dist_band,>1,,
-0.5..0,full,116,48,31,0.12931034482758622,0.1091594827586207,0.9114543198275863,0.0,105.72870110000001,14.271298899999996,0.13498036721837675,-0.36631848795971816,0.66402566439522,34,34,-5.369373100000001,-1.0,,adj_dist_band,,-0.5..0,
0..0.5,full,128,49,38,0.171875,0.11317578125000001,0.94488857421875,0.0,120.9457375,55.05426250000001,0.45519803870723435,-0.13273375463790124,1.1393954895341158,31,31,-6.3914416,-1.0,,adj_dist_band,,0..0.5,
0.5..1,full,53,33,24,0.1320754716981132,0.08417924528301889,0.7038676849056605,0.0,37.30498730000001,18.6950127,0.501139768515616,-0.42531207014270006,1.6597393994843068,26,26,-3.0133416,-1.0,,adj_dist_band,,0.5..1,
<-0.5,full,30,23,13,0.13333333333333333,0.08721666666666669,0.7291328366666666,0.0,21.8739851,10.126014900000001,0.46292501589022306,-0.6793424773392668,2.1676677168176064,19,19,-3.0802516000000004,-1.0,,adj_dist_band,,<-0.5,
>1,full,6,6,5,0.3333333333333333,0.07191666666666667,0.60193525,0.0,3.6116115,12.3883885,3.4301553475505324,-1.0,9.002935861675402,4,4,-0.87759,-1.0,,adj_dist_band,,>1,
-0.5..0,train_le_2026_06_20,100,40,31,0.13,0.10924499999999997,0.9121710010000001,0.0,91.21710010000001,12.782899899999995,0.1401371002365377,-0.40077234056475625,0.734365846859545,28,28,-5.369373100000001,-1.0,,adj_dist_band,,-0.5..0,
0..0.5,train_le_2026_06_20,101,41,38,0.16831683168316833,0.11407920792079208,0.952395102970297,0.0,96.1919054,39.808094600000004,0.41384037913027977,-0.25686851792549525,1.1826386420241963,27,27,-6.3914416,-1.0,,adj_dist_band,,0..0.5,
0.5..1,train_le_2026_06_20,46,27,23,0.13043478260869565,0.08620652173913045,0.7207205108695655,0.0,33.15314350000001,14.8468565,0.4478265085179628,-0.5252614276975254,1.7631887313230472,21,21,-3.0133416,-1.0,,adj_dist_band,,0.5..1,
<-0.5,train_le_2026_06_20,23,17,11,0.08695652173913043,0.09273913043478259,0.7750567826086956,0.0,17.826306,-1.8263059999999998,-0.10245005330885713,-1.0,1.5358403538122845,15,15,-3.0802516000000004,-1.0,,adj_dist_band,,<-0.5,
>1,train_le_2026_06_20,5,5,4,0.4,0.0743,0.6218103,0.0,3.1090515,12.8909485,4.14626406156347,-1.0,10.86723178424423,3,3,-0.87759,-1.0,,adj_dist_band,,>1,
