target_date,variant,weight_policy,trades,cities,wins,win_rate,weighted_cost_usd,weighted_profit_usd,weighted_roi,avg_weight,day_risk,regime_mix,loss_cities
2026-06-05,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,9,9,3,0.3333333333333333,26.720138694438774,-14.413992127999517,-0.539443013108292,0.5937808598764173,0.41184126984126984,"day_forecast_capped:5,day_marginal_runway:1,day_open_runway:3","CapeTown,Dallas,Helsinki,Munich,Taipei,Tokyo"
2026-06-06,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,11,11,5,0.45454545454545453,33.388835933928576,-3.4830589965586407,-0.10431807216792716,0.6070697442532468,0.3518181818181818,"day_forecast_capped:5,day_marginal_runway:2,day_open_runway:4","Ankara,LA,NYC,SanFrancisco,SaoPaulo,Tokyo"
2026-06-07,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,15,15,5,0.3333333333333333,47.04201180371174,-7.941681277676207,-0.16882103832663015,0.6272268240494898,0.3516,"day_forecast_capped:8,day_marginal_runway:4,day_open_runway:3","BuenosAires,Denver,Istanbul,LA,Manila,NYC,SaoPaulo,Singapore,Warsaw,Wellington"
2026-06-08,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,14,14,10,0.7142857142857143,40.21578894954082,18.222334943049447,0.4531139489993148,0.5745112707077259,0.43842857142857145,"day_forecast_capped:10,day_marginal_runway:3,day_open_runway:1","Chongqing,LA,Seattle,TelAviv"
2026-06-09,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,10,10,6,0.6,30.67066911096939,0.5776175264047727,0.0188328961560929,0.6134133822193878,0.37628571428571433,"day_forecast_capped:6,day_marginal_runway:4","CapeTown,Istanbul,Singapore,TelAviv"
2026-06-10,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,13,13,5,0.38461538461538464,38.57364946313775,-12.069537519303932,-0.31289591955352786,0.59344076097135,0.40703296703296704,"day_forecast_capped:7,day_marginal_runway:3,day_open_runway:3","Amsterdam,Beijing,Busan,Miami,NYC,Singapore,Taipei,Tokyo"
2026-06-11,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,13,13,3,0.23076923076923078,41.225705947066324,-22.367302917729592,-0.5425571837738604,0.6342416299548665,0.3373626373626374,"day_forecast_capped:5,day_marginal_runway:5,day_open_runway:3","Ankara,Atlanta,Austin,Istanbul,Manila,Miami,SanFrancisco,SaoPaulo,TelAviv,Wuhan"
2026-06-12,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,16,16,6,0.375,52.23881936402551,-8.66287853915685,-0.16583220380211308,0.6529852420503188,0.32953571428571427,"day_forecast_capped:6,day_marginal_runway:5,day_open_runway:5","Atlanta,Busan,Chengdu,Houston,Karachi,LA,Manila,SanFrancisco,TelAviv,Wellington"
2026-06-13,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,15,15,7,0.4666666666666667,43.96631704560459,-3.1200377627957425,-0.07096427384534952,0.5862175606080612,0.4137714285714286,"day_forecast_capped:9,day_marginal_runway:2,day_open_runway:4","Amsterdam,Ankara,Denver,Helsinki,LA,Miami,Singapore,Wuhan"
2026-06-14,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,18,18,9,0.5,55.38655071406888,14.91842524426616,0.2693510437449338,0.6154061190452097,0.3586190476190476,"day_forecast_capped:9,day_marginal_runway:3,day_open_runway:6","Chongqing,Dallas,Karachi,Lucknow,Munich,Seattle,Shanghai,Singapore,TelAviv"
2026-06-15,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,19,19,10,0.5263157894736842,55.00697561350255,3.9173153970474166,0.0712148841734508,0.5790207959316058,0.3695338345864662,"day_forecast_capped:11,day_marginal_runway:3,day_open_runway:5","BuenosAires,CapeTown,Houston,Istanbul,Karachi,LA,Lucknow,NYC,TelAviv"
2026-06-16,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,12,12,7,0.5833333333333334,34.16376471173469,4.810479130767698,0.1408064705794961,0.5693960785289115,0.47140476190476194,"day_forecast_capped:8,day_marginal_runway:1,day_open_runway:3","Atlanta,Helsinki,TelAviv,Tokyo,Wellington"
2026-06-17,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,14,14,6,0.42857142857142855,36.08521690552806,-10.290693792867852,-0.2851775512340449,0.5155030986504009,0.45765306122448984,"day_forecast_capped:10,day_open_runway:4","BuenosAires,CapeTown,Chongqing,Helsinki,Houston,Istanbul,Munich,Wuhan"
2026-06-18,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,4,4,1,0.25,12.04564626020408,-7.492217311668145,-0.621985499974429,0.6022823130102041,0.38,"day_forecast_capped:2,day_marginal_runway:1,day_open_runway:1","CapeTown,Karachi,Shanghai"
2026-06-19,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,14,14,11,0.7857142857142857,41.24626102524235,18.088506694514226,0.4385490040768597,0.589232300360605,0.4403673469387756,"day_forecast_capped:8,day_marginal_runway:2,day_open_runway:4","Busan,Miami,Singapore"
2026-06-20,routed_capped_d1_no_relaxed70_first_eligible,soft_moderate,7,7,4,0.5714285714285714,23.010985382295917,0.29162502223760445,0.012673295706057575,0.6574567252084548,0.3200816326530612,"day_forecast_capped:2,day_marginal_runway:4,day_open_runway:1","Jeddah,Karachi,Tokyo"
