profile,period,expression,rows,active_dates,cities,avg_cost,cost,pnl,roi,win_rate,current_hit_rate,d1_hit_rate,d2_hit_rate,skip_over_rate,excess_roi_vs_current_yes,ci95,reps
d2_tail_carry,holdout,current_yes,696,13,36,0.9316077586206898,648.3990000000001,1.6010000000000053,0.0024691586507690558,0.9339080459770115,0.9339080459770115,0.05028735632183908,0.01293103448275862,0.0028735632183908046,0.0,"[0.0, 0.0]",0
d2_tail_carry,holdout,d1_no,712,13,36,0.9279466292134831,660.698,2.302000000000004,0.0034841939887815675,0.9311797752808989,0.9129213483146067,0.06882022471910113,0.012640449438202247,0.0056179775280898875,0.0012618050068812494,"[-0.007543983126592997, 0.01023542364403146]",3000
d2_tail_carry,holdout,d2_no,712,13,36,0.9921601123595506,706.418,-3.417999999999998,-0.004838495055335507,0.9873595505617978,0.9129213483146067,0.06882022471910113,0.012640449438202247,0.0056179775280898875,-0.007720908147965078,"[-0.029084509290800236, 0.012840214553398132]",3000
d2_tail_carry,holdout,no_ladder,712,13,36,1.9201067415730337,1367.116,-1.115999999999994,-0.0008163169767598317,0.9199438202247191,0.9129213483146067,0.06882022471910113,0.012640449438202247,0.0056179775280898875,-0.0033363584847410496,"[-0.013995890257305398, 0.0064098692192982405]",3000
d2_tail_carry,new_2026_06_10_14,current_yes,231,4,35,0.9189437229437228,212.27599999999998,3.724000000000002,0.017543198477453892,0.935064935064935,0.935064935064935,0.05627705627705628,0.008658008658008658,0.0,0.0,"[0.0, 0.0]",0
d2_tail_carry,new_2026_06_10_14,d1_no,234,4,35,0.9221538461538461,215.784,2.216,0.010269528788047308,0.9316239316239316,0.9230769230769231,0.06837606837606838,0.008547008547008548,0.0,-0.006987995740610804,"[-0.021180192353376953, 0.012477443087914347]",3000
d2_tail_carry,new_2026_06_10_14,d2_no,234,4,35,0.9916709401709403,232.05100000000002,-0.05099999999999927,-0.00021977927265988626,0.9914529914529915,0.9230769230769231,0.06837606837606838,0.008547008547008548,0.0,-0.01782259637498471,"[-0.04382713713679366, 0.005415544975247814]",3000
d2_tail_carry,new_2026_06_10_14,no_ladder,234,4,35,1.9138247863247866,447.83500000000004,2.165000000000002,0.0048343698013777435,0.9230769230769231,0.9230769230769231,0.06837606837606838,0.008547008547008548,0.0,-0.012567783278718311,"[-0.019143893426364862, -0.006217152422326931]",3000
d2_tail_carry,all,current_yes,1255,26,36,0.9244796812749005,1160.2220000000002,1.7780000000000076,0.0015324653385300462,0.9258964143426295,0.9258964143426295,0.06135458167330677,0.011155378486055778,0.0015936254980079682,0.0,"[0.0, 0.0]",0
d2_tail_carry,all,d1_no,1276,26,36,0.9313158307210031,1188.359,-6.358999999999994,-0.005351076568612678,0.9263322884012539,0.9122257053291536,0.07366771159874608,0.0109717868338558,0.003134796238244514,-0.00669497938913163,"[-0.01660640576079432, 0.0023115833600692477]",3000
