city,target_date,states,complete_identity_states,complete_quoted_states,absolute_eligible_states,distinct_ladder_signatures,fixed_ladder_proven,all_states_complete_quoted,fixed_complete_ladder_proven,pre_cutoff
Dallas,2026-06-22,1,0,0,0,1,False,False,False,False
Dallas,2026-06-25,1,0,0,0,1,False,False,False,False
Dallas,2026-06-29,5,0,0,0,2,False,False,False,False
Dallas,2026-07-03,6,0,0,0,4,False,False,False,False
Dallas,2026-07-05,7,0,0,0,6,False,False,False,False
Denver,2026-06-22,1,0,0,0,1,False,False,False,False
Denver,2026-06-25,1,0,0,0,1,False,False,False,False
Denver,2026-06-29,6,0,0,0,3,False,False,False,False
Denver,2026-07-03,3,0,0,0,3,False,False,False,False
Denver,2026-07-05,5,0,0,0,4,False,False,False,False
Guangzhou,2026-06-21,1,0,0,0,1,False,False,False,False
Guangzhou,2026-06-30,4,0,0,0,4,False,False,False,False
Guangzhou,2026-07-01,7,2,2,2,4,False,False,False,False
Guangzhou,2026-07-05,7,0,0,0,1,True,False,False,False
Guangzhou,2026-07-06,5,0,0,0,3,False,False,False,False
Helsinki,2026-06-21,1,0,0,0,1,False,False,False,False
Helsinki,2026-06-30,9,0,0,0,6,False,False,False,False
Helsinki,2026-07-01,7,0,0,0,4,False,False,False,False
Helsinki,2026-07-05,9,0,0,0,5,False,False,False,False
Helsinki,2026-07-06,6,0,0,0,4,False,False,False,False
Houston,2026-06-22,1,0,0,0,1,False,False,False,False
Houston,2026-06-25,1,0,0,0,1,False,False,False,False
Houston,2026-06-29,2,0,0,0,1,True,False,False,False
Houston,2026-06-30,1,0,0,0,1,False,False,False,False
Houston,2026-07-01,1,0,0,0,1,False,False,False,False
Houston,2026-07-03,5,0,0,0,2,False,False,False,False
Houston,2026-07-05,6,0,0,0,2,False,False,False,False
Istanbul,2026-06-21,1,0,0,0,1,False,False,False,False
Istanbul,2026-06-30,9,0,0,0,3,False,False,False,False
Istanbul,2026-07-01,6,0,0,0,3,False,False,False,False
Istanbul,2026-07-05,10,0,0,0,4,False,False,False,False
Istanbul,2026-07-06,7,0,0,0,4,False,False,False,False
Jeddah,2026-06-21,1,0,0,0,1,False,False,False,False
Jeddah,2026-06-30,1,0,0,0,1,False,False,False,False
Jeddah,2026-07-01,1,0,0,0,1,False,False,False,False
Jeddah,2026-07-03,1,0,0,0,1,False,False,False,False
Jeddah,2026-07-05,4,0,0,0,3,False,False,False,False
Jeddah,2026-07-06,5,0,0,0,3,False,False,False,False
Karachi,2026-06-21,1,0,0,0,1,False,False,False,False
Karachi,2026-06-27,1,0,0,0,1,False,False,False,False
Karachi,2026-06-30,5,0,0,0,5,False,False,False,False
Karachi,2026-07-01,6,0,0,0,4,False,False,False,False
Karachi,2026-07-05,6,0,0,0,3,False,False,False,False
Karachi,2026-07-06,5,0,0,0,3,False,False,False,False
LA,2026-06-22,1,0,0,0,1,False,False,False,False
LA,2026-06-29,5,0,0,0,2,False,False,False,False
LA,2026-07-03,4,0,0,0,2,False,False,False,False
LA,2026-07-05,6,0,0,0,3,False,False,False,False
Lucknow,2026-06-20,1,0,0,0,1,False,False,False,True
Lucknow,2026-06-30,7,0,0,0,3,False,False,False,False
Lucknow,2026-07-01,2,0,0,0,1,True,False,False,False
Lucknow,2026-07-05,5,0,0,0,4,False,False,False,False
Lucknow,2026-07-06,7,0,0,0,4,False,False,False,False
Madrid,2026-06-29,1,0,0,0,1,False,False,False,False
Madrid,2026-06-30,4,0,0,0,3,False,False,False,False
Madrid,2026-07-01,3,0,0,0,2,False,False,False,False
Madrid,2026-07-03,2,0,0,0,2,False,False,False,False
Madrid,2026-07-05,4,0,0,0,3,False,False,False,False
Madrid,2026-07-06,2,0,0,0,2,False,False,False,False
Manila,2026-06-27,1,0,0,0,1,False,False,False,False
Manila,2026-06-30,6,0,0,0,2,False,False,False,False
Manila,2026-07-01,6,4,4,4,2,False,False,False,False
Manila,2026-07-05,5,0,0,0,3,False,False,False,False
Manila,2026-07-06,6,0,0,0,4,False,False,False,False
Miami,2026-06-29,5,0,0,0,2,False,False,False,False
Miami,2026-06-30,1,0,0,0,1,False,False,False,False
Miami,2026-07-01,2,0,0,0,1,True,False,False,False
Miami,2026-07-03,6,0,0,0,3,False,False,False,False
Miami,2026-07-05,3,0,0,0,2,False,False,False,False
Munich,2026-06-21,1,0,0,0,1,False,False,False,False
Munich,2026-06-30,6,0,0,0,2,False,False,False,False
Munich,2026-07-01,8,0,0,0,7,False,False,False,False
Munich,2026-07-03,2,0,0,0,1,True,False,False,False
Munich,2026-07-05,6,0,0,0,4,False,False,False,False
NYC,2026-06-22,1,0,0,0,1,False,False,False,False
NYC,2026-06-29,5,0,0,0,2,False,False,False,False
NYC,2026-06-30,2,0,0,0,2,False,False,False,False
NYC,2026-07-01,1,0,0,0,1,False,False,False,False
NYC,2026-07-03,5,0,0,0,3,False,False,False,False
NYC,2026-07-05,8,0,0,0,4,False,False,False,False
SanFrancisco,2026-06-22,1,0,0,0,1,False,False,False,False
SanFrancisco,2026-06-25,1,0,0,0,1,False,False,False,False
SanFrancisco,2026-06-29,5,0,0,0,4,False,False,False,False
SanFrancisco,2026-07-03,1,0,0,0,1,False,False,False,False
SanFrancisco,2026-07-05,1,0,0,0,1,False,False,False,False
SaoPaulo,2026-06-29,3,0,0,0,3,False,False,False,False
SaoPaulo,2026-06-30,3,1,1,0,3,False,False,False,False
SaoPaulo,2026-07-01,3,0,0,0,2,False,False,False,False
SaoPaulo,2026-07-03,1,0,0,0,1,False,False,False,False
Seattle,2026-06-22,1,0,0,0,1,False,False,False,False
Seattle,2026-06-25,1,0,0,0,1,False,False,False,False
Seattle,2026-06-29,5,0,0,0,4,False,False,False,False
Shanghai,2026-06-30,6,0,0,0,5,False,False,False,False
Shanghai,2026-07-01,4,0,0,0,4,False,False,False,False
Singapore,2026-06-30,9,0,0,0,3,False,False,False,False
Singapore,2026-07-01,4,0,0,0,3,False,False,False,False
Taipei,2026-06-27,1,0,0,0,1,False,False,False,False
Taipei,2026-06-30,4,0,0,0,1,True,False,False,False
Taipei,2026-07-01,4,0,0,0,3,False,False,False,False
TelAviv,2026-06-21,1,0,0,0,1,False,False,False,False
TelAviv,2026-06-30,5,0,0,0,4,False,False,False,False
TelAviv,2026-07-01,4,0,0,0,1,True,False,False,False
Tokyo,2026-06-27,1,0,0,0,1,False,False,False,False
Tokyo,2026-06-30,10,0,0,0,7,False,False,False,False
Tokyo,2026-07-01,5,0,0,0,2,False,False,False,False
Warsaw,2026-06-21,1,0,0,0,1,False,False,False,False
Warsaw,2026-06-30,5,0,0,0,2,False,False,False,False
Warsaw,2026-07-01,5,0,0,0,5,False,False,False,False
Wellington,2026-06-26,2,0,0,0,1,True,False,False,False
Wellington,2026-06-27,1,0,0,0,1,False,False,False,False
Wellington,2026-06-30,9,1,1,1,6,False,False,False,False
Wellington,2026-07-01,6,0,0,0,4,False,False,False,False
Wuhan,2026-06-27,1,0,0,0,1,False,False,False,False
Wuhan,2026-06-30,6,0,0,0,5,False,False,False,False
Wuhan,2026-07-01,6,2,2,2,5,False,False,False,False
