scope,method,edge_threshold,selected_rows,dates,cities,avg_rows_per_date,avg_ask,avg_edge,win_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_win_rate,losing_days,worst_day_pnl,worst_day_roi,current_yes_rows,current_no_rows,d1_no_rows,d2_no_rows
verified_forward,mkt_city_source_blend,0.0,1355,15,36,90.33333333333333,0.42183247232472315,0.02797989481469772,0.42583025830258303,571.5829999999999,5.4169999999999945,0.00947718878972957,-0.045915988863814365,0.07841982102418799,0.4666666666666667,8,-7.184,-0.1589943342776204,405,416,294,240
verified_forward,mkt_meteo_blend,0.0,1284,15,36,85.6,0.4044213395638629,0.025282046353055233,0.411214953271028,519.2769999999999,8.723,0.016798356175990854,-0.0516268605068684,0.08468593573466766,0.6,6,-10.915,-0.2277992277992278,380,413,267,224
verified_forward,mkt_path_core_blend,0.0,1171,15,36,78.06666666666666,0.4295619128949616,0.023652458148535567,0.42442356959863364,503.017,-6.016999999999998,-0.011961822363856485,-0.07003897933139841,0.049851759285973254,0.4666666666666667,8,-6.973,-0.14238457925795847,361,320,242,248
verified_forward,mkt_regime_blend,0.0,1329,15,36,88.6,0.4142874341610233,0.027118597534457636,0.41911211437170803,550.588,6.411999999999996,0.011645731472534811,-0.054219616391549236,0.0807827214306729,0.4666666666666667,8,-10.749,-0.22511466208716413,387,439,266,237
verified_forward,loo_no_city_source_blend,0.02,511,15,36,34.06666666666667,0.45298825831702544,0.059726989013424985,0.46966731898238745,231.477,8.523000000000003,0.03682007283661013,-0.10190946505443439,0.16265908859415606,0.6,6,-9.002,-0.37505207899341725,102,173,146,90
verified_forward,loo_no_regime_blend,0.02,494,15,36,32.93333333333333,0.4603623481781376,0.05885495149361278,0.4716599190283401,227.41899999999998,5.581,0.024540605666193243,-0.09606953192274396,0.15601550073379872,0.5333333333333333,7,-8.177,-0.426396203785785,106,132,159,97
verified_forward,market_local_norm,0.02,87,14,32,6.214285714285714,0.23157471264367815,0.11261725965363746,0.21839080459770116,20.147,-1.1470000000000002,-0.056931553084826544,-0.3900961487162546,0.4304161332506218,0.5714285714285714,6,-2.441,-0.7093868061609997,1,32,51,3
verified_forward,market_recal_blend,0.02,303,15,36,20.2,0.4967854785478548,0.060916429270999196,0.5214521452145214,150.526,7.473999999999999,0.04965255171863996,-0.0566472452288995,0.14802989865903013,0.4666666666666667,8,-2.535,-0.16317991631799164,54,53,96,100
verified_forward,mkt_boundary_blend,0.02,381,15,36,25.4,0.44327296587926507,0.05709275079493935,0.44881889763779526,168.887,2.113,0.012511324139809458,-0.1153792134000691,0.14045255581016403,0.5333333333333333,7,-7.2410000000000005,-0.35773924213230573,73,96,131,81
verified_forward,mkt_city_source_blend,0.02,541,15,36,36.06666666666667,0.46765619223659893,0.059570089144234555,0.4805914972273567,253.002,6.998000000000003,0.027659860396360512,-0.09250727199076049,0.152691968631586,0.4666666666666667,8,-7.607,-0.3691464065608774,116,157,170,98
verified_forward,mkt_meteo_blend,0.02,442,15,36,29.466666666666665,0.45631900452488683,0.060274992638798694,0.47737556561085975,201.69299999999998,9.307000000000002,0.04614438775763166,-0.07526599034875381,0.1814506945168306,0.6,6,-6.74,-0.2963940193491645,79,128,148,87
verified_forward,mkt_path_core_blend,0.02,385,15,36,25.666666666666668,0.4353610389610389,0.059151495742606065,0.45714285714285713,167.61399999999998,8.386,0.050031620270383145,-0.06209689185424797,0.16572160387241772,0.6,6,-3.1679999999999997,-0.44196428571428564,75,109,120,81
verified_forward,mkt_regime_blend,0.02,511,15,36,34.06666666666667,0.45298825831702544,0.059726989013424985,0.46966731898238745,231.477,8.523000000000003,0.03682007283661013,-0.10190946505443439,0.16265908859415606,0.6,6,-9.002,-0.37505207899341725,102,173,146,90
verified_forward,loo_no_city_source_blend,0.05,205,15,35,13.666666666666666,0.4152634146341463,0.09983289682942488,0.4634146341463415,85.12899999999999,9.871000000000002,0.11595343537454925,-0.06532222166164686,0.2776914290352937,0.6666666666666666,5,-3.563,-0.372581825786887,31,74,65,35
verified_forward,loo_no_regime_blend,0.05,189,15,35,12.6,0.3871216931216931,0.10270517408163148,0.4074074074074074,73.166,3.834000000000002,0.05240138862313099,-0.17255523078726331,0.28444253724441315,0.6,6,-4.485,-0.5991983967935872,29,63,66,31
verified_forward,market_local_norm,0.05,44,13,23,3.3846153846153846,0.18452272727272725,0.19227817217737916,0.11363636363636363,8.119,-3.1190000000000007,-0.38416061091267406,-0.8025154487914742,0.33004527694309893,0.3076923076923077,9,-1.443,-1.0,0,12,31,1
verified_forward,market_recal_blend,0.05,100,15,32,6.666666666666667,0.41453,0.12243442089243564,0.47,41.453,5.547,0.13381419921356716,-0.12609883023406085,0.3505446870142372,0.5333333333333333,7,-1.379,-0.5796553173602353,9,12,46,33
verified_forward,mkt_boundary_blend,0.05,123,15,34,8.2,0.38229268292682933,0.11240798029848192,0.4065040650406504,47.022000000000006,2.9779999999999993,0.06333205733486451,-0.1443858516506924,0.2916871858575078,0.6666666666666666,5,-2.432,-0.37810945273631835,14,31,54,24
verified_forward,mkt_city_source_blend,0.05,219,15,36,14.6,0.4094018264840183,0.09868043598365003,0.4703196347031963,89.659,13.341000000000001,0.1487971090464984,-0.06237554179345627,0.3329429429815405,0.6666666666666666,5,-4.215,-0.5130858186244674,39,72,70,38
verified_forward,mkt_meteo_blend,0.05,168,15,34,11.2,0.39298214285714284,0.10580578310877409,0.4107142857142857,66.021,2.979000000000001,0.045122006634252754,-0.15907963930565205,0.25280284187796453,0.6,6,-2.5649999999999995,-0.3907083015993907,28,50,63,27
