target_date,jma_observation_jst,jma_first_seen_jst,decision_jst,first_seen_latency_seconds,book_after_first_seen_seconds,current_bracket,evaluation_status,not_scorable_reason,captured_brackets,jma_temp_c,jma_running_max_c,jma_slope_60m_cph,minutes_since_jma_strict_high,prior_metar_temp_c,prior_metar_running_max_c,official_last_obs_utc,official_snapshot_fetched_at_utc,no_bid,no_ask,no_mid,fee_per_share,model_p_no_v2,edge_after_fee_v2,would_enter_v2,model_p_no_no_floor,edge_after_fee_no_floor,would_enter_no_floor,final_bracket,no_label,v2_prediction_correct_at_050,availability_clock_class,book_snapshot_id,capture_cycle_id,source_payload_hash
2026-08-01,2026-08-01T13:20:00+09:00,2026-08-01T13:27:12.610429+09:00,2026-08-01T13:28:08.198771+09:00,432.61,55.588,33,scored,,,32.6,33.1,0.8000000000000007,10.0,33.0,33.0,2026-08-01T04:00:00+00:00,2026-08-01T04:27:43.515110+00:00,0.9,0.95,0.925,0.00238,0.9074795347571578,-0.04490046524284214,0,0.9074795347571578,-0.04490046524284214,0,35,1,1,collector_exact_hash_verified,,,56b8e2a54000f861
2026-08-01,2026-08-01T13:30:00+09:00,2026-08-01T13:37:14.273288+09:00,2026-08-01T13:38:13.056718+09:00,434.273,58.783,33,scored,,,32.8,33.1,0.6999999999999957,20.0,33.0,33.0,2026-08-01T04:00:00+00:00,2026-08-01T04:33:05.887400+00:00,0.83,0.91,0.87,0.00409,0.8360400008010876,-0.07804999919891238,0,0.8360400008010876,-0.07804999919891238,0,35,1,1,collector_exact_hash_verified,,,65e274d8ce2b1a4d
2026-08-01,2026-08-01T13:40:00+09:00,2026-08-01T13:46:58.543925+09:00,2026-08-01T13:47:35.570825+09:00,418.544,37.027,33,scored,,,34.2,34.2,1.8000000000000043,0.0,33.0,33.0,2026-08-01T04:30:00+00:00,2026-08-01T04:43:49.285367+00:00,0.92,0.98,0.95,0.00098,0.9519466714979496,-0.029033328502050336,0,0.9519466714979496,-0.029033328502050336,0,35,1,1,collector_exact_hash_verified,,,b89bf9af5f041e62
2026-08-01,2026-08-01T13:50:00+09:00,2026-08-01T13:56:55.779745+09:00,2026-08-01T13:57:35.686107+09:00,415.78,39.906,33,not_scorable,anchor_capture_gap,34|35|36,,,,,,,,,,,,,,,,,,,35,1,,collector_exact_hash_verified,,,26a2bc21e46cbe1b
2026-08-01,2026-08-01T14:00:00+09:00,2026-08-01T14:07:17.774006+09:00,2026-08-01T14:10:36.720627+09:00,437.774,198.947,34,scored,,,34.0,34.7,1.0,10.0,34.0,34.0,2026-08-01T05:00:00+00:00,2026-08-01T05:10:20.419080+00:00,0.71,0.82,0.7649999999999999,0.00738,0.7485423742620956,-0.07883762573790437,0,0.7485423742620956,-0.07883762573790437,0,35,1,1,collector_exact_hash_verified,,,c5a6916315911d91
2026-08-01,2026-08-01T14:10:00+09:00,2026-08-01T14:17:22.808741+09:00,2026-08-01T14:17:36.534624+09:00,442.809,13.726,34,scored,,,33.6,34.7,0.5,20.0,34.0,34.0,2026-08-01T05:00:00+00:00,2026-08-01T05:15:57.054733+00:00,0.55,0.6,0.575,0.012,0.5117655602359182,-0.10023443976408174,0,0.5117655602359182,-0.10023443976408174,0,35,1,1,collector_exact_hash_verified,,,1bcd69568f3f0786
2026-08-01,2026-08-01T14:20:00+09:00,2026-08-01T14:27:03.006009+09:00,2026-08-01T14:27:36.790339+09:00,423.006,33.784,34,scored,,,33.7,34.7,1.1000000000000014,30.0,34.0,34.0,2026-08-01T05:00:00+00:00,2026-08-01T05:26:29.401844+00:00,0.56,0.66,0.6100000000000001,0.01122,0.5901036949978689,-0.08111630500213118,0,0.5901036949978689,-0.08111630500213118,0,35,1,1,collector_exact_hash_verified,,,4e6ffa51fd4f649e
2026-08-01,2026-08-01T14:30:00+09:00,2026-08-01T14:36:41.836472+09:00,2026-08-01T14:37:36.469994+09:00,401.836,54.634,34,scored,,,34.0,34.7,1.2000000000000028,40.0,34.0,34.0,2026-08-01T05:00:00+00:00,2026-08-01T05:36:55.128929+00:00,0.68,0.85,0.765,0.00638,0.7532456624247642,-0.10313433757523577,0,0.7532456624247642,-0.10313433757523577,0,35,1,1,collector_exact_hash_verified,,,79aa9b1f32fffd85
2026-08-01,2026-08-01T14:40:00+09:00,2026-08-01T14:47:14.745496+09:00,2026-08-01T14:47:36.568329+09:00,434.745,21.823,34,scored,,,34.1,34.7,-0.10000000000000142,50.0,34.0,34.0,2026-08-01T05:30:00+00:00,2026-08-01T05:42:16.319877+00:00,0.71,0.84,0.7749999999999999,0.00672,0.68153439957569,-0.16518560042431002,0,0.68153439957569,-0.16518560042431002,0,35,1,1,collector_exact_hash_verified,,,efd7f7d99b1b33ac
2026-08-01,2026-08-01T14:50:00+09:00,2026-08-01T14:56:57.751726+09:00,2026-08-01T14:57:36.444710+09:00,417.752,38.693,34,scored,,,34.3,34.7,-0.4000000000000057,60.0,34.0,34.0,2026-08-01T05:30:00+00:00,2026-08-01T05:52:44.179400+00:00,0.76,0.79,0.775,0.0083,0.6584794880667859,-0.13982051193321413,0,0.6584794880667859,-0.13982051193321413,0,35,1,1,collector_exact_hash_verified,,,45bcdd54b5afb581
