window,arm,tie_band,capacity,rows,dates,cities,wins,win_rate,avg_ask,avg_calibrated_p,cost_5,pnl_5,roi,roi_ci_low,roi_ci_high,losing_days,le_minus_50pct_days,max_daily_loss_5,daily_pnl_p10,daily_pnl_median,daily_pnl_p90
fresh_ge_2026_07_08,overshoot_tiebreak,0.01,1,4,4,3,0,0.0,0.10112499999999999,0.14423021113969003,2.0225,-2.1126896875,-1.0445931705809641,-1.0459663629160063,-1.0432697696737043,4,4,-0.7508159999999999,-0.68154118125,-0.49258484375,-0.40327372499999997
fresh_ge_2026_07_08,overshoot_tiebreak,0.02,1,4,4,3,0,0.0,0.10112499999999999,0.14423021113969003,2.0225,-2.1126896875,-1.0445931705809641,-1.0459663629160063,-1.0432697696737043,4,4,-0.7508159999999999,-0.68154118125,-0.49258484375,-0.40327372499999997
fresh_ge_2026_07_08,overshoot_tiebreak,0.05,1,4,4,3,0,0.0,0.10112499999999999,0.14423021113969003,2.0225,-2.1126896875,-1.0445931705809641,-1.0459663629160063,-1.0432697696737043,4,4,-0.7508159999999999,-0.68154118125,-0.49258484375,-0.40327372499999997
fresh_ge_2026_07_08,old,0.0,3,12,4,9,2,0.16666666666666666,0.10079166666666667,0.13741920853481726,6.047499999999999,3.6843915624999997,0.6092420938404299,-1.0445915654813531,2.11545868878357,2,2,-1.6936936875000002,-1.58078803125,0.8530618749999999,3.477412625
fresh_ge_2026_07_08,source_tiebreak,0.01,3,12,4,9,2,0.16666666666666666,0.10079166666666667,0.13741920853481726,6.047499999999999,3.6843915624999988,0.6092420938404298,-1.0445915654813531,2.11545868878357,2,2,-1.6936936875000002,-1.58078803125,0.8530618749999999,3.477412625
fresh_ge_2026_07_08,source_tiebreak,0.02,3,12,4,9,2,0.16666666666666666,0.10079166666666667,0.1374192085348173,6.047499999999999,3.6843915624999997,0.6092420938404299,-1.0445915654813533,2.11545868878357,2,2,-1.6936936875000002,-1.5807880312500002,0.8530618749999997,3.477412625
fresh_ge_2026_07_08,source_tiebreak,0.05,3,12,4,9,2,0.16666666666666666,0.10954166666666665,0.13723931423113364,6.5725,3.1395728124999986,0.47768319703309225,-1.0445915654813533,1.9129276134122288,2,2,-1.6936936875000002,-1.5807880312500002,0.5806524999999997,3.3139670000000003
fresh_ge_2026_07_08,overshoot_tiebreak,0.01,3,12,4,9,2,0.16666666666666666,0.10079166666666667,0.13741920853481726,6.047499999999999,3.6843915624999988,0.6092420938404298,-1.0445915654813531,2.11545868878357,2,2,-1.6936936875000002,-1.58078803125,0.8530618749999999,3.477412625
fresh_ge_2026_07_08,overshoot_tiebreak,0.02,3,12,4,9,2,0.16666666666666666,0.10079166666666667,0.1374192085348173,6.047499999999999,3.6843915624999997,0.6092420938404299,-1.0445915654813533,2.11545868878357,2,2,-1.6936936875000002,-1.5807880312500002,0.8530618749999997,3.477412625
fresh_ge_2026_07_08,overshoot_tiebreak,0.05,3,12,4,9,2,0.16666666666666666,0.10954166666666665,0.13723931423113364,6.5725,3.1395728124999986,0.47768319703309225,-1.0445915654813533,1.9129276134122288,2,2,-1.6936936875000002,-1.5807880312500002,0.5806524999999997,3.3139670000000003
fresh_ge_2026_07_08,old,0.0,5,20,4,15,2,0.1,0.1012,0.13287335485146085,10.120000000000001,-0.567910875000001,-0.05611767539525701,-1.0448090544871795,0.7944477022058822,2,2,-2.7878773750000003,-2.5820628625000004,-0.21695062500000017,2.35808575
fresh_ge_2026_07_08,source_tiebreak,0.01,5,20,4,15,2,0.1,0.1012,0.13287335485146085,10.12,-0.5679108750000001,-0.05611767539525694,-1.0448090544871795,0.7944477022058822,2,2,-2.7878773750000003,-2.5820628625000004,-0.21695062500000017,2.35808575
fresh_ge_2026_07_08,source_tiebreak,0.02,5,20,4,15,2,0.1,0.1012,0.13287335485146085,10.12,-0.5679108750000001,-0.05611767539525694,-1.0448090544871798,0.7944477022058822,2,2,-2.7878773750000003,-2.5820628625000004,-0.2169506250000004,2.35808575
fresh_ge_2026_07_08,source_tiebreak,0.05,5,20,4,15,2,0.1,0.10169999999999998,0.13269556188607592,10.17,-0.619960875000001,-0.06095977138643077,-1.0448090544871798,0.7777314207650271,2,2,-2.7878773750000003,-2.5820628625000004,-0.24297562500000036,2.34247075
fresh_ge_2026_07_08,overshoot_tiebreak,0.01,5,20,4,15,2,0.1,0.1012,0.13287335485146085,10.12,-0.5679108750000001,-0.05611767539525694,-1.0448090544871795,0.7944477022058822,2,2,-2.7878773750000003,-2.5820628625000004,-0.21695062500000017,2.35808575
fresh_ge_2026_07_08,overshoot_tiebreak,0.02,5,20,4,15,2,0.1,0.1012,0.13287335485146085,10.12,-0.5679108750000001,-0.05611767539525694,-1.0448090544871798,0.7944477022058822,2,2,-2.7878773750000003,-2.5820628625000004,-0.2169506250000004,2.35808575
