city,target_date,decision_hour_local,settled,steps,forecast_steps,temp_trend_1h_f,forecast_peak_delta_hours_local,minutes_since_running_max,forecast_gap_native,current_yes_ask,leg,leg_steps,leg_bracket,ask,ask_size,max_future_bid,min_future_ask,city_hot_tail_pct
Helsinki,2026-06-23,13,True,2.0,,0.0,,40.35,,0.048,d1_yes,1,19,0.19,2.93,0.162,0.29,0.5056179775280899
Helsinki,2026-06-23,13,True,2.0,,0.0,,40.35,,0.048,d2_yes,2,20,0.57,50.94,0.997,0.5,0.5056179775280899
Helsinki,2026-06-23,13,True,2.0,,0.0,,40.35,,0.048,tail_yes,6,24+,0.004,7.61,0.001,0.003,0.5056179775280899
Helsinki,2026-06-23,13,True,2.0,,0.0,,40.35,,0.048,current_bracket_no,-1,18,0.992,,0.997,0.999,0.5056179775280899
Istanbul,2026-06-23,13,True,1.0,0.0,0.0,9.02,40.35,-0.1999999999999993,0.139,d1_yes,1,26,0.77,17.0,0.992,0.48,0.4044943820224719
Istanbul,2026-06-23,13,True,1.0,0.0,0.0,9.02,40.35,-0.1999999999999993,0.139,d2_yes,2,27,0.09,43.15,0.021,0.002,0.4044943820224719
Istanbul,2026-06-23,13,True,1.0,0.0,0.0,9.02,40.35,-0.1999999999999993,0.139,tail_yes,5,31+,0.003,49.69,,0.003,0.4044943820224719
Istanbul,2026-06-23,13,True,1.0,0.0,0.0,9.02,40.35,-0.1999999999999993,0.139,current_bracket_no,-1,25,0.907,,0.51,0.543,0.4044943820224719
Guangzhou,2026-06-23,18,True,0.0,,-1.7999999999999972,,210.35,,0.999,current_bracket_no,-1,36,0.002,,0.001,0.004,0.7036516853932584
Warsaw,2026-06-23,13,True,,,1.7999999999999972,,0.8833333333333333,,0.22,current_bracket_no,-1,25,0.84,,,,0.41171088746569073
Helsinki,2026-06-23,14,True,,,0.0,,10.883333333333333,,0.003,current_bracket_no,-1,18,0.999,,,,0.5056179775280899
Karachi,2026-06-23,16,True,0.0,,0.0,,30.55,,0.989,d1_yes,1,35,0.019,30.0,0.001,0.003,0.5084269662921348
Karachi,2026-06-23,16,True,0.0,,0.0,,30.55,,0.989,d2_yes,2,36,0.002,146.56,0.001,0.002,0.5084269662921348
Karachi,2026-06-23,16,True,0.0,,0.0,,30.55,,0.989,current_bracket_no,-1,34,0.019,,0.001,0.002,0.5084269662921348
Jeddah,2026-06-23,14,True,0.0,,0.0,,30.55,,0.615,d1_yes,1,35,0.5,10.99,0.19,0.01,0.4410112359550562
Jeddah,2026-06-23,14,True,0.0,,0.0,,30.55,,0.615,d2_yes,2,36,0.09,40.32,0.07,0.006,0.4410112359550562
Jeddah,2026-06-23,14,True,0.0,,0.0,,30.55,,0.615,tail_yes,4,38+,0.005,14.0,0.001,0.005,0.4410112359550562
Jeddah,2026-06-23,14,True,0.0,,0.0,,30.55,,0.615,current_bracket_no,-1,34,0.522,,0.229,0.009,0.4410112359550562
Manila,2026-06-23,19,True,0.0,,0.0,,210.55,,0.999,d1_yes,1,33,0.002,40.0,0.001,0.002,0.8497191011235955
Manila,2026-06-23,19,True,0.0,,0.0,,210.55,,0.999,d2_yes,2,34,0.002,668.11,,0.002,0.8497191011235955
Manila,2026-06-23,19,True,0.0,,0.0,,210.55,,0.999,current_bracket_no,-1,32,0.008,,0.001,0.004,0.8497191011235955
Wuhan,2026-06-23,19,True,0.0,0.0,0.0,8.0,390.55,-0.1999999999999993,0.999,d1_yes,1,26,0.004,467.85,,0.004,0.4747191011235955
Wuhan,2026-06-23,19,True,0.0,0.0,0.0,8.0,390.55,-0.1999999999999993,0.999,current_bracket_no,-1,25,0.002,,0.001,0.002,0.4747191011235955
Shanghai,2026-06-23,19,True,0.0,,0.0,,240.55,,0.999,current_bracket_no,-1,24,0.002,,0.001,0.002,0.6806953339432754
Ankara,2026-06-23,14,True,2.0,1.0,1.7999999999999972,8.02,40.55,0.6000000000000014,0.09,d1_yes,1,26,0.241,4.19,0.474,0.561,0.6306179775280899
