rows,dates,cities,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,scope,model,p_col,shadow_variant
5,4,5,0.6,0.34199999999999997,0.33227551459072374,1.6613775729536187,0.9152925384222352,0.5509238557945719,-0.6574243373793967,2.4074024049033698,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,current_gate_size_min_score_p
5,3,4,0.4,0.354,0.45492040724214,2.2746020362107,0.4783273272297557,0.210290556156632,-1.0,0.9240879291916262,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,blend50_gate_size_blend50
4,3,4,0.5,0.31,0.42497810630447636,1.6999124252179054,0.9780801134812886,0.5753708832123585,-1.0,3.7619047619047623,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,blend70score_gate_size_blend70
2,2,2,1.0,0.45999999999999996,0.5513728000000002,1.1027456000000004,1.2992001210401898,1.17815035583927,,,0,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,diagnostic_current_gate_prob_disagrees
5,4,5,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702285,2.0358411617002425,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,baseline_current_score_gate_size_score
5,5,5,0.4,0.284,0.48230232563465414,2.4115116281732707,1.096362061361876,0.45463685455764297,-1.0,2.3396938414079735,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,prob_p_ge_ask_size_p
6,5,5,0.3333333333333333,0.325,0.311346,1.868076,-0.011664850174216479,-0.006244312423165053,-1.0,0.786499576966796,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,prob_p_ge_ask_size_current_score
4,4,4,0.25,0.2525,0.49694083709459463,1.9877633483783785,0.486577951413129,0.2447866602481026,-1.0,2.5160342377185327,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,prob_p_ge_ask_plus05_size_p
4,4,4,0.25,0.2525,0.49694083709459463,1.9877633483783785,0.486577951413129,0.2447866602481026,-1.0,2.5160342377185327,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,prob_ratio_ge125_size_p
3,3,3,0.3333333333333333,0.26333333333333336,0.35189999999999994,1.0556999999999999,0.2014428571428567,0.19081449004722623,-1.0,3.761904761904762,2,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,agreement_current_and_prob_size_score
5,4,5,0.6,0.34199999999999997,0.3528285942420804,1.764142971210402,1.0378475525566893,0.5883012712085395,-0.5967933032467403,2.3357649601509527,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,current_gate_size_min_score_p
5,3,4,0.4,0.354,0.48981179346652476,2.4490589673326237,0.5117911359314861,0.20897460729126502,-1.0,0.9304053184513745,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,blend50_gate_size_blend50
5,3,4,0.4,0.354,0.4665811560799149,2.3329057803995745,0.46983920219381237,0.2013965613790624,-1.0,0.8204143332443533,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,blend70score_gate_size_blend70
2,2,2,1.0,0.45999999999999996,0.5513728000000002,1.1027456000000004,1.2992001210401898,1.17815035583927,,,0,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,diagnostic_current_gate_prob_disagrees
5,4,5,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702285,2.0358411617002425,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,baseline_current_score_gate_size_score
