target_date,rows,cost,pnl,wins,roi,evidence_layer,scope,model,shadow_variant
2026-06-21,2,0.921671723608875,0.6574769753561531,1.0,0.7133526596451853,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-22,1,0.3792680814769536,-0.3792680814769536,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-23,1,0.4515242926406766,1.6985913866006408,1.0,3.7619047619047623,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-25,1,0.6749836224493092,-0.6749836224493092,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-26,1,0.5543113838585407,-0.5543113838585407,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_p_ge_ask_plus05_size_p
2026-06-07,1,0.651713337092145,0.6783138814632529,1.0,1.0408163265306123,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-08,1,0.4191290004371579,0.9329000332310933,1.0,2.225806451612903,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-09,2,0.9359283355897929,2.8137212251809345,2.0,3.006342599305763,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-10,1,0.6930209403200588,-0.6930209403200588,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-11,2,0.9801333507316717,1.9242625877149853,1.0,1.963266106880782,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-12,1,0.8083472235079429,3.446111847586493,1.0,4.263157894736842,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-14,2,0.9951679969151428,1.5516285342504166,1.0,1.559162411834193,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-15,1,0.8248334242015916,1.2901240737512074,1.0,1.5641025641025643,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-16,1,0.4857616655958354,-0.4857616655958354,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-17,1,0.4862235860693786,-0.4862235860693786,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-19,1,0.8141165075393354,0.43837042713656527,1.0,0.5384615384615385,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-20,1,0.6580163635037181,-0.6580163635037181,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-21,2,0.921671723608875,0.6574769753561531,1.0,0.7133526596451853,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-22,1,0.3792680814769536,-0.3792680814769536,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-23,1,0.4515242926406766,1.6985913866006408,1.0,3.7619047619047623,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-25,1,0.6749836224493092,-0.6749836224493092,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-26,1,0.5543113838585407,-0.5543113838585407,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,prob_ratio_ge125_size_p
2026-06-08,1,0.5120000000000001,1.1396129032258067,1.0,2.225806451612903,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-09,1,0.5120000000000001,2.3324444444444454,1.0,4.555555555555556,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-10,1,0.7296,-0.7296,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-11,1,0.5760000000000002,2.812235294117648,1.0,4.88235294117647,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-12,1,0.8,3.4105263157894736,1.0,4.263157894736842,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-13,1,0.5760000000000002,0.8640000000000002,1.0,1.5,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-14,2,0.7667500000000002,0.2895,1.0,0.3775676556895989,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-15,1,0.572,0.8946666666666666,1.0,1.564102564102564,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-16,1,0.6400000000000001,-0.6400000000000001,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-19,1,0.36,-0.36,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-20,2,0.6593600000000002,-0.6593600000000002,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-21,2,0.8429000000000002,0.9325838709677425,1.0,1.1063991825456665,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-23,1,0.2639999999999999,0.9931428571428568,1.0,3.761904761904762,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-25,1,0.5139456000000002,0.579555676595745,1.0,1.1276595744680853,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-26,1,0.4992000000000001,-0.4992000000000001,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,agreement_current_and_prob_size_score
2026-06-07,1,0.2875983652337062,-0.2875983652337062,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-08,2,0.808460645570205,0.5435683880980462,1.0,0.672349842971848,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-09,2,0.9359283355897929,2.8137212251809345,2.0,3.006342599305763,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-10,2,0.7711206899712494,-0.7711206899712494,0.0,-1.0,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-11,2,0.9801333507316717,1.9242625877149853,1.0,1.963266106880782,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
2026-06-12,1,0.8,3.4105263157894736,1.0,4.263157894736842,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,current_gate_size_min_score_p
