rows,active_dates,cities,avg_p,avg_entry,avg_edge,hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,model,edge_threshold,slice,leg
66,6,21,0.44994386208516696,0.2063030303030303,0.23820537723668211,0.18181818181818182,13.97474,-1.9747400000000002,-0.14130781681805887,-0.7193461044888485,0.3371278049041391,clean_expanding,0.01,by_leg,current_yes
65,6,21,0.4464857895113709,0.1994769230769231,0.24166471258829403,0.18461538461538463,13.31337,-1.3133699999999997,-0.09865045439283965,-0.6739569884059103,0.3371278049041391,clean_expanding,0.02,by_leg,current_yes
60,6,20,0.447962415792684,0.18331666666666666,0.25969041579268404,0.16666666666666666,11.296320000000001,-1.29632,-0.11475595592192854,-0.6995648196412503,0.412876390270368,clean_expanding,0.03,by_leg,current_yes
81,6,23,0.8541720418569242,0.6415432098765432,0.20317512827667716,0.7283950617283951,52.73075000000001,6.2692499999999995,0.11889172826102413,0.017866330092200167,0.25967429861335045,clean_expanding,0.0,by_leg,d1_no
80,6,23,0.8531535970633476,0.6380125000000001,0.20561309706334746,0.725,51.80324,6.196759999999999,0.11962108933726924,0.017866330092200167,0.25967429861335045,clean_expanding,0.01,by_leg,d1_no
77,6,23,0.8497871383438389,0.627,0.21302817730487797,0.7142857142857143,49.03044,5.9695599999999995,0.12175211970359637,0.012528188061521185,0.2634180309237026,clean_expanding,0.02,by_leg,d1_no
71,6,22,0.8430045915073255,0.6039014084507043,0.2288855774228185,0.6901408450704225,43.60245,5.397549999999999,0.12379006225567599,0.002361303359265391,0.27928428308642256,clean_expanding,0.03,by_leg,d1_no
57,6,21,0.8316600629406281,0.6865087719298245,0.1356516418879965,0.5964912280701754,39.67248,-5.67248,-0.1429827426972047,-0.28782184646739506,0.01448827597401247,clean_expanding,0.0,by_leg,d2_no
51,6,20,0.8239615670945066,0.6626078431372548,0.15126509650627126,0.5882352941176471,34.30752,-4.30752,-0.12555614629095896,-0.302637388692669,0.03267735372985847,clean_expanding,0.01,by_leg,d2_no
48,6,18,0.8144039173621834,0.6440416666666667,0.15976308402885006,0.6041666666666666,31.42276,-2.4227600000000007,-0.0771020750564241,-0.29321962022334264,0.14325931519324706,clean_expanding,0.02,by_leg,d2_no
46,6,17,0.8197099803547611,0.6433478260869565,0.16578954557215225,0.5869565217391305,30.080340000000003,-3.080340000000001,-0.10240376272342669,-0.3249446454609278,0.11818946893870198,clean_expanding,0.03,by_leg,d2_no
51,4,17,0.8663731391084512,0.7032941176470588,0.1541154920496276,0.6666666666666666,36.32513999999999,-2.3251399999999993,-0.06400911324773972,-0.15566391202017962,0.06686581495212436,clean_expanding,0.0,by_leg,d3_no
45,4,16,0.8642359147204034,0.6806222222222222,0.17413458138707,0.6444444444444445,31.054560000000002,-2.0545599999999995,-0.06615968798141077,-0.15314320163210474,0.05462881380144789,clean_expanding,0.01,by_leg,d3_no
