strategy,target_date,rows,cities,wins,avg_entry_raw,exec_fee_pnl,win_rate,exec_fee_roi
rich_current_b4_d1_yes,2026-05-26,1,1,1,0.32,1.9968030303030304,1.0,1.9968030303030304
rich_current_b4_d1_yes,2026-05-27,7,5,1,0.19685714285714287,-4.1526,0.14285714285714285,-0.5932285714285713
rich_current_b4_d1_yes,2026-05-28,2,1,1,0.14,1.4864285714285712,0.5,0.7432142857142856
rich_current_b4_d1_yes,2026-05-29,3,3,1,0.31,0.2313333333333334,0.3333333333333333,0.07711111111111113
rich_current_b4_d1_yes,2026-05-30,2,2,0,0.275,-2.0715000000000003,0.0,-1.0357500000000002
rich_current_b4_d1_yes,2026-05-31,1,1,0,0.34,-1.0325,0.0,-1.0325
rich_current_b4_d1_yes,2026-06-01,2,2,0,0.0595,-2.09305,0.0,-1.046525
rich_current_b4_d1_yes,2026-06-02,1,1,0,0.34,-1.0325,0.0,-1.0325
rich_current_b4_d1_yes,2026-06-03,2,2,0,0.097,-2.0892999999999997,0.0,-1.0446499999999999
rich_current_b4_d1_yes,2026-06-05,5,3,0,0.10880000000000001,-5.2203,0.0,-1.04406
rich_current_b4_d1_yes,2026-06-06,2,2,0,0.14,-2.085,0.0,-1.0425
rich_current_b4_d1_yes,2026-06-07,5,3,2,0.254,1.8879602977667496,0.4,0.3775920595533499
rich_current_b4_d1_yes,2026-06-08,1,1,0,0.07,-1.046,0.0,-1.046
rich_current_b4_d1_yes,2026-06-09,1,1,0,0.067,-1.04615,0.0,-1.04615
rich_current_b4_d1_yes,2026-06-10,5,4,0,0.269,-5.18025,0.0,-1.03605
rich_current_b4_d1_yes,2026-06-11,2,2,1,0.15500000000000003,4.583166666666665,0.5,2.2915833333333326
rich_current_b4_d1_yes,2026-06-12,2,2,0,0.26,-2.0730000000000004,0.0,-1.0365000000000002
rich_current_b4_d1_yes,2026-06-13,2,1,2,0.36,3.488387846961741,1.0,1.7441939234808705
rich_current_b4_d1_yes,2026-06-14,1,1,0,0.009,-1.04905,0.0,-1.04905
rich_current_b4_d1_yes,2026-06-15,3,1,2,0.33,2.5599147286821706,0.6666666666666666,0.8533049095607236
rich_current_b4_d1_yes,2026-06-16,5,4,5,0.358,14.984728093947606,1.0,2.996945618789521
rich_current_b4_d1_yes,2026-06-17,1,1,0,0.041,-1.04745,0.0,-1.04745
rich_current_b4_d1_yes,2026-06-19,2,2,0,0.0785,-2.09115,0.0,-1.045575
rich_current_b4_d1_yes,2026-06-20,2,1,2,0.3,4.5549316239316235,1.0,2.2774658119658118
