strategy,description,city,target_date,decision_hour_local,entry_raw,entry_stress,fee_usd_per_1_notional,win,raw_pnl_per_1,exec_no_fee_pnl_per_1,exec_fee_pnl_per_1,cash_roi_exec_fee,current_high_yes_ask,forecast_gap_native,temp_trend_1h_f,forecast_peak_delta_hours_local_x,current_yes_ask,forecast_steps,steps,leg_steps,leg,ask_size,relative_humidity_pct,wind_speed_kt,temp_trend_3h_f,minutes_since_running_max,forecast_source,forecast_peak_delta_hours_local_y,city_family,solar_window,day_regime,moisture_cloud_regime,wind_regime,running_max_state,intraday_state,current_no,tmax_p_current,tmax_p_not_d1,d2_no,scope,tmax_p_d1,current_yes_ref,trend3h_positive,no_trend3h_flat,day_open_runway,active_warming_or_reheat,tmax_d1_yes_edge_exec,tmax_current_overprice,tmax_d1_edge_pos,tmax_current_overprice_pos,tmax_both_pos,ask_band
rich_current_b4_d1_yes,"Broader HeadB shape: current YES rich, obs warming, forecast ladder at least one step hotter; buy d1 YES.",Singapore,2026-06-20,14,0.35,0.36,0.032,True,1.8571428571428572,1.7777777777777777,1.7457777777777777,1.6916451335055984,,0.7777777777777786,1.7999999999999972,-1.0,0.61,1.0,1.0,1.0,d1_yes,10.0,74.68,7.0,5.400000000000006,1.2833333333333334,open_meteo_live_gfs,9.9,humid_low_latitude,solar_peak_window,day_marginal_runway,mixed_moisture,light_wind,fresh_running_high,active_warming,0.4346039551166742,0.5653960448833257,0.6940681619804399,0.9071769162016918,dev_cv,0.30593183801956014,0.61,True,True,False,True,-0.054068161980439844,0.044603955116674254,False,True,False,30-40c
rich_current_b4_current_bracket_no,"Same B4 denominator, sibling expression: buy current bracket NO instead of d1 YES.",Shanghai,2026-05-20,12,0.41,0.42,0.029,True,1.4390243902439024,1.380952380952381,1.351952380952381,1.3138507103521682,,2.2222222222222214,3.5999999999999943,-1.0,0.6,2.0,1.0,-1.0,current_bracket_no,,100.0,5.83,0.0,1230.8833333333334,gfs_seamless,-1.0,humid_low_latitude,solar_peak_window,day_open_runway,humid_convective_risk,light_wind,mature_fade,reheating_after_dip,,,,,,,0.6,False,False,True,True,,,False,False,False,40c+
rich_current_b4_current_bracket_no,"Same B4 denominator, sibling expression: buy current bracket NO instead of d1 YES.",Lucknow,2026-05-20,14,0.15,0.16,0.042,True,5.666666666666667,5.25,5.208,4.998080614203455,,4.111111111111114,1.7999999999999972,-1.0,0.87,4.0,1.0,-1.0,current_bracket_no,,22.22,9.0,7.199999999999989,,gfs_seamless,-1.0,continental_dry_hot,solar_peak_window,day_open_runway,dry_heat_inertia,light_wind,running_max_clock_unknown,active_warming,,,,,,,0.87,True,True,True,True,,,False,False,False,10-20c
rich_current_b4_current_bracket_no,"Same B4 denominator, sibling expression: buy current bracket NO instead of d1 YES.",Houston,2026-05-20,16,0.19,0.2,0.04,True,4.2631578947368425,4.0,3.96,3.807692307692307,,2.299999999999997,2.0,-1.0,0.87,1.0,1.0,-1.0,current_bracket_no,,76.58,12.0,2.0,7.883333333333334,gfs_seamless,-1.0,humid_low_latitude,afternoon_decay_window,day_marginal_runway,humid_convective_risk,moderate_wind,fresh_running_high,active_warming,,,,,,,0.87,True,True,False,True,,,False,False,False,10-20c
rich_current_b4_current_bracket_no,"Same B4 denominator, sibling expression: buy current bracket NO instead of d1 YES.",CapeTown,2026-05-21,13,0.94,0.95,0.0025,False,-1.0,-1.0,-1.0025,-1.0,,4.888888888888889,1.7999999999999972,-1.0,0.69,5.0,0.0,-1.0,current_bracket_no,,77.15,12.0,3.5999999999999943,990.8833333333332,gfs_seamless,-1.0,southern_or_maritime,solar_peak_window,day_open_runway,humid_convective_risk,moderate_wind,stalled_high,active_warming,,,,,,,0.69,True,True,True,True,,,False,False,False,40c+
rich_current_b4_current_bracket_no,"Same B4 denominator, sibling expression: buy current bracket NO instead of d1 YES.",LA,2026-05-21,12,0.089,0.0989999999999999,0.04505,False,-1.0,-1.0,-1.04505,-1.0,,2.5,1.0,0.0,0.968,1.0,0.0,-1.0,current_bracket_no,,65.84,11.0,3.0,158.88333333333333,gfs_seamless,0.0,southern_or_maritime,solar_peak_window,day_marginal_runway,mixed_moisture,moderate_wind,mature_fade,active_warming,,,,,,,0.968,True,True,False,True,,,False,False,False,5-10c
rich_current_b4_current_bracket_no,"Same B4 denominator, sibling expression: buy current bracket NO instead of d1 YES.",Houston,2026-05-23,15,0.03,0.04,0.048,False,-1.0,-1.0,-1.048,-1.0,,8.700000000000003,1.0,-1.0,0.999,4.0,0.0,-1.0,current_bracket_no,,93.47,9.0,-7.0,218.88333333333333,gfs_seamless,-1.0,humid_low_latitude,afternoon_decay_window,day_open_runway,humid_convective_risk,light_wind,mature_fade,reheating_after_dip,,,,,,,0.999,False,True,True,True,,,False,False,False,0-5c
rich_current_b4_current_bracket_no,"Same B4 denominator, sibling expression: buy current bracket NO instead of d1 YES.",Dallas,2026-05-23,15,0.39,0.4,0.03,True,1.564102564102564,1.5,1.47,1.4271844660194175,,2.700000000000003,1.0,0.0,0.62,1.0,1.0,-1.0,current_bracket_no,,49.1,4.0,5.0,38.88333333333333,gfs_seamless,0.0,continental_dry_hot,afternoon_decay_window,day_marginal_runway,mixed_moisture,light_wind,fresh_running_high,active_warming,,,,,,,0.62,True,True,False,True,,,False,False,False,30-40c
rich_current_b4_current_bracket_no,"Same B4 denominator, sibling expression: buy current bracket NO instead of d1 YES.",Beijing,2026-05-24,14,0.18,0.19,0.0405,True,4.555555555555555,4.2631578947368425,4.222657894736843,4.058296871443385,,2.666666666666668,1.7999999999999972,0.0,0.86,3.0,1.0,-1.0,current_bracket_no,,58.4,7.78,3.6000000000000085,0.8833333333333333,gfs_seamless,0.0,continental_dry_hot,solar_peak_window,day_open_runway,mixed_moisture,light_wind,pullback_from_high,false_fade_risk,,,,,,,0.86,True,True,True,False,,,False,False,False,10-20c
rich_current_b4_current_bracket_no,"Same B4 denominator, sibling expression: buy current bracket NO instead of d1 YES.",Ankara,2026-05-24,13,0.21,0.22,0.039,False,-1.0,-1.0,-1.039,-1.0,,1.5555555555555536,1.7999999999999972,0.0,0.83,1.0,0.0,-1.0,current_bracket_no,,63.16,6.0,-1.8000000000000045,130.88333333333333,gfs_seamless,0.0,continental_dry_hot,solar_peak_window,day_open_runway,mixed_moisture,light_wind,mature_fade,reheating_after_dip,,,,,,,0.83,False,True,True,True,,,False,False,False,20-30c
