policy,friction,period,rows,dates,cities,win_rate_final,avg_entry,tp_hit_rate,tp_then_final_lost,tp_then_final_won,roi,delta_vs_hold,delta_ci_low,delta_ci_high,roi_ci_low,roi_ci_high,top5_removed_roi,daily_win_rate,losing_days,le_minus50pct_days,max_daily_loss_roi,path_coverage
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_2c,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.11851351351351351,0.25675675675675674,7,12,0.39785594678866654,0.09093254544765941,0.04116991413888837,0.14568541623584016,-0.349173101682639,1.3527257485889663,-0.28686070079684434,0.5,3,1,-0.5692396992294638,1.0
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_2c,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.10963157894736841,0.15789473684210525,1,2,0.47609930943476253,0.008614079351548214,-0.13581367211131287,0.0889590491224812,-0.4196404594770274,6.692307692307691,-0.9999999999999999,0.6666666666666666,1,0,-0.4196404594770274,0.8947368421052632
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_2c,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.11669892473118279,0.23655913978494625,8,14,0.41384114990991194,0.07411479430974423,-0.006125439342770272,0.11038896860000469,-0.17020620253447644,2.641750138846119,-0.1984210778449832,0.5555555555555556,4,1,-0.5692396992294638,0.978494623655914
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c_fee1pct,full,476,53,48,0.13655462184873948,0.1150997899159664,0.15756302521008403,27,48,0.18205198540543185,0.053119607518768604,0.02309312074846173,0.060937288267675464,-0.08807466068770417,0.6131719528629843,0.044106398434568934,0.4716981132075472,28,15,-1.01,0.8319327731092437
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c_fee1pct,train_le_2026_06_20,383,44,48,0.13054830287206268,0.11471148825065274,0.13838120104438642,19,34,0.12783721465973588,0.04766159898549024,0.020027616811524342,0.05775406448181802,-0.19926329950394409,0.39116754234818496,-0.036778614785715015,0.45454545454545453,24,14,-1.01,0.7963446475195822
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c_fee1pct,holdout_2026_06_21_26,74,6,32,0.16216216216216217,0.11851351351351351,0.25675675675675674,7,12,0.38919981090304545,0.09227640956203834,0.042230473729311,0.1466691014143966,-0.35842085386400535,1.3448231360431944,-0.29610056986888655,0.5,3,1,-0.5784878603665838,1.0
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c_fee1pct,closed_forward_2026_06_27_30,19,3,17,0.15789473684210525,0.10963157894736841,0.15789473684210525,1,2,0.468121359551649,0.010636129468434641,-0.13065686571598314,0.0896388776541961,-0.4289606309453125,6.682307692307692,-1.01,0.6666666666666666,1,0,-0.4289606309453125,0.8947368421052632
recover_stake_bid_ge_0p40,entry_plus_1c_sell_minus_1c_fee1pct,recent_ge_2026_06_21,93,9,35,0.16129032258064516,0.11669892473118279,0.23655913978494625,8,14,0.40532356815383536,0.07559721255366769,-0.003570095237347288,0.11141062091402204,-0.17938721715637612,2.6336496636606417,-0.20728347139926864,0.5555555555555556,4,1,-0.5784878603665838,0.978494623655914
recover_stake_bid_ge_3x,quoted_bidask,full,476,53,48,0.13655462184873948,0.1050997899159664,0.20168067226890757,48,48,0.3568814899110328,0.09782463835108769,0.050555091378363254,0.10997980144454594,0.04817939298412895,0.8487791334217082,0.1956493454838729,0.5283018867924528,25,14,-1.0,0.8319327731092437
recover_stake_bid_ge_3x,quoted_bidask,train_le_2026_06_20,383,44,48,0.13054830287206268,0.10471148825065274,0.17493472584856398,33,34,0.28908889279020766,0.08471841898575641,0.043056381245587916,0.10339923348771711,-0.07887916213409646,0.5739770955614707,0.09811019458533633,0.5227272727272727,21,14,-1.0,0.7963446475195822
