policy,friction,period,rows,dates,cities,win_rate_final,avg_entry,tp_hit_rate,tp_then_final_lost,tp_then_final_won,roi,delta_vs_hold,delta_ci_low,delta_ci_high,roi_ci_low,roi_ci_high,top5_removed_roi,daily_win_rate,losing_days,le_minus50pct_days,max_daily_loss_roi,path_coverage,slice,slice_value
adaptive_entry_2x_floor20_cap30_full,entry_plus_1c_sell_minus_1c,full,289,53,47,0.17301038062283736,0.12441695501730106,0.3079584775086505,52,37,0.8997448122844558,0.5222099745768923,0.2743081074084613,0.6281746903361297,0.48102713048517837,1.3985239648517873,0.6899578550156272,0.6415094339622641,19,11,-1.0,0.8269896193771626,source_aware_bucket,source_aware_true
adaptive_entry_le10c_full20_else30,entry_plus_1c_sell_minus_1c,full,289,53,47,0.17301038062283736,0.12441695501730106,0.2698961937716263,42,36,0.8481480088436925,0.47061317113612877,0.2498812465948508,0.5631695188607617,0.43413396103159896,1.3599926899503076,0.63745265714809,0.6037735849056604,21,13,-1.0,0.8269896193771626,source_aware_bucket,source_aware_true
adaptive_model_high_full30_else20,entry_plus_1c_sell_minus_1c,full,289,53,47,0.17301038062283736,0.12441695501730106,0.2698961937716263,42,36,0.8250634069436297,0.447528569236066,0.22883112430035651,0.5351018040896739,0.4140583383425684,1.3459377359979312,0.6139616362004908,0.6037735849056604,21,13,-1.0,0.8269896193771626,source_aware_bucket,source_aware_true
adaptive_model_high_recover30_else_full20,entry_plus_1c_sell_minus_1c,full,289,53,47,0.17301038062283736,0.12441695501730106,0.2698961937716263,42,36,0.5931604986487572,0.21562566094119354,0.09657882429335835,0.2669433709372733,0.21790411686219419,1.145550607367518,0.3763338786537495,0.5660377358490566,23,18,-1.0,0.8269896193771626,source_aware_bucket,source_aware_true
adaptive_path_high_full30_else20,entry_plus_1c_sell_minus_1c,full,289,53,47,0.17301038062283736,0.12441695501730106,0.3079584775086505,54,35,0.9066348277546101,0.5290999900470464,0.27147997497362963,0.6268287177499738,0.47326476404216483,1.4070718888842162,0.6969691735750448,0.6792452830188679,17,12,-1.0,0.8269896193771626,source_aware_bucket,source_aware_true
hold_to_settlement,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,54,9,27,0.2037037037037037,0.12500925925925926,0.0,0,0,0.6536331352197331,0.0,0.0,0.0,-0.35751114130874095,2.643056533950922,-0.2541995578523981,0.5555555555555556,4,2,-1.0,0.9629629629629629,source_aware_bucket,source_aware_true
full_sell_bid_ge_0p20,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,54,9,27,0.2037037037037037,0.12500925925925926,0.4444444444444444,14,10,1.3068701463280143,0.6532370111082811,0.0034638395956411456,1.004140295917828,0.10378503114339457,3.019603041170854,0.47520040400921865,0.6666666666666666,3,1,-1.0,0.9629629629629629,source_aware_bucket,source_aware_true
full_sell_bid_ge_0p30,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,54,9,27,0.2037037037037037,0.12500925925925926,0.3148148148148148,7,10,1.0933474699458965,0.4397143347261633,-0.11459994147231681,0.7716428740243652,-0.06958255376279718,2.885409023048248,0.2398896994248439,0.5555555555555556,4,1,-1.0,0.9629629629629629,source_aware_bucket,source_aware_true
recover_stake_bid_ge_0p30,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,54,9,27,0.2037037037037037,0.12500925925925926,0.3148148148148148,7,10,0.7667470396124707,0.11311390439273762,-0.020482820497004416,0.18909919760660368,-0.24262042307982623,2.688953890876133,-0.12851002995172764,0.5555555555555556,4,2,-1.0,0.9629629629629629,source_aware_bucket,source_aware_true
adaptive_entry_2x_floor20_cap30_full,entry_plus_1c_sell_minus_1c,recent_ge_2026_06_21,54,9,27,0.2037037037037037,0.12500925925925926,0.37037037037037035,10,10,1.2071769598131223,0.5535438245933891,-0.040482523293817935,0.9111206573471312,0.047532636900828575,2.951490396028506,0.3653344433601541,0.6666666666666666,3,1,-1.0,0.9629629629629629,source_aware_bucket,source_aware_true
