target_date,knmi_obs_ts_utc,knmi_ta_c,knmi_tx_c,knmi_ta_round_c,knmi_tx_round_c,next_metar_report_ts_utc,next_metar_detect_ts_utc,next_metar_temp_c,lead_to_next_metar_min,ta_minus_next_metar_c,tx_minus_next_metar_c,ta_exact_next_metar,tx_exact_next_metar,ta_within1_next_metar,tx_within1_next_metar,raw_metar
2026-07-22,2026-07-22T05:40:00+00:00,15.5,15.5,16,16,2026-07-22T05:55:00+00:00,2026-07-22T05:58:45.955872+00:00,16.0,15.0,0,0,1,1,1,1,METAR EHAM 220555Z 26003KT 9999 FEW018 BKN035 16/14 Q1023 NOSIG
2026-07-22,2026-07-22T05:50:00+00:00,15.7,15.7,16,16,2026-07-22T05:55:00+00:00,2026-07-22T05:58:45.955872+00:00,16.0,5.0,0,0,1,1,1,1,METAR EHAM 220555Z 26003KT 9999 FEW018 BKN035 16/14 Q1023 NOSIG
2026-07-22,2026-07-22T06:00:00+00:00,15.9,15.9,16,16,2026-07-22T06:25:00+00:00,2026-07-22T06:29:24.433044+00:00,16.0,25.0,0,0,1,1,1,1,METAR EHAM 220625Z 28004KT 9999 -RADZ FEW025 SCT030 BKN040 16/14 Q1023 NOSIG
2026-07-22,2026-07-22T06:10:00+00:00,15.9,16.0,16,16,2026-07-22T06:25:00+00:00,2026-07-22T06:29:24.433044+00:00,16.0,15.0,0,0,1,1,1,1,METAR EHAM 220625Z 28004KT 9999 -RADZ FEW025 SCT030 BKN040 16/14 Q1023 NOSIG
2026-07-22,2026-07-22T06:20:00+00:00,16.0,16.0,16,16,2026-07-22T06:25:00+00:00,2026-07-22T06:29:24.433044+00:00,16.0,5.0,0,0,1,1,1,1,METAR EHAM 220625Z 28004KT 9999 -RADZ FEW025 SCT030 BKN040 16/14 Q1023 NOSIG
2026-07-22,2026-07-22T06:30:00+00:00,16.2,16.2,16,16,2026-07-22T06:55:00+00:00,2026-07-22T06:58:56.245900+00:00,17.0,25.0,-1,-1,0,0,1,1,METAR EHAM 220655Z 29005KT 260V320 9999 FEW025 BKN041 17/13 Q1023 NOSIG
2026-07-22,2026-07-22T06:40:00+00:00,16.5,16.5,17,17,2026-07-22T06:55:00+00:00,2026-07-22T06:58:56.245900+00:00,17.0,15.0,0,0,1,1,1,1,METAR EHAM 220655Z 29005KT 260V320 9999 FEW025 BKN041 17/13 Q1023 NOSIG
2026-07-22,2026-07-22T06:50:00+00:00,16.8,16.8,17,17,2026-07-22T06:55:00+00:00,2026-07-22T06:58:56.245900+00:00,17.0,5.0,0,0,1,1,1,1,METAR EHAM 220655Z 29005KT 260V320 9999 FEW025 BKN041 17/13 Q1023 NOSIG
2026-07-22,2026-07-22T07:00:00+00:00,16.7,16.8,17,17,2026-07-22T07:25:00+00:00,2026-07-22T07:31:01.601509+00:00,16.0,25.0,1,1,0,0,1,1,METAR EHAM 220725Z 33009KT 9999 -RADZ SCT017 BKN027 16/13 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T07:10:00+00:00,16.6,16.7,17,17,2026-07-22T07:25:00+00:00,2026-07-22T07:31:01.601509+00:00,16.0,15.0,1,1,0,0,1,1,METAR EHAM 220725Z 33009KT 9999 -RADZ SCT017 BKN027 16/13 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T07:20:00+00:00,16.5,16.6,17,17,2026-07-22T07:25:00+00:00,2026-07-22T07:31:01.601509+00:00,16.0,5.0,1,1,0,0,1,1,METAR EHAM 220725Z 33009KT 9999 -RADZ SCT017 BKN027 16/13 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T07:30:00+00:00,15.9,16.5,16,17,2026-07-22T07:55:00+00:00,2026-07-22T08:04:02.435814+00:00,17.0,25.0,-1,0,0,1,1,1,METAR EHAM 220755Z 33006KT 300V360 9999 FEW012 SCT027 BKN044 17/14 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T07:40:00+00:00,15.7,15.9,16,16,2026-07-22T07:55:00+00:00,2026-07-22T08:04:02.435814+00:00,17.0,15.0,-1,-1,0,0,1,1,METAR EHAM 220755Z 33006KT 300V360 9999 FEW012 SCT027 BKN044 17/14 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T07:50:00+00:00,16.5,16.5,17,17,2026-07-22T07:55:00+00:00,2026-07-22T08:04:02.435814+00:00,17.0,5.0,0,0,1,1,1,1,METAR EHAM 220755Z 33006KT 300V360 9999 FEW012 SCT027 BKN044 17/14 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T08:00:00+00:00,17.2,17.2,17,17,2026-07-22T08:25:00+00:00,2026-07-22T08:29:49.717464+00:00,16.0,25.0,1,1,0,0,1,1,METAR EHAM 220825Z 32010KT 290V010 5000 DZRA FEW014 SCT017 BKN029 16/14 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T08:10:00+00:00,17.0,17.2,17,17,2026-07-22T08:25:00+00:00,2026-07-22T08:29:49.717464+00:00,16.0,15.0,1,1,0,0,1,1,METAR EHAM 220825Z 32010KT 290V010 5000 DZRA FEW014 SCT017 BKN029 16/14 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T08:20:00+00:00,16.4,17.0,16,17,2026-07-22T08:25:00+00:00,2026-07-22T08:29:49.717464+00:00,16.0,5.0,0,1,1,0,1,1,METAR EHAM 220825Z 32010KT 290V010 5000 DZRA FEW014 SCT017 BKN029 16/14 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T08:30:00+00:00,16.2,16.3,16,16,2026-07-22T08:55:00+00:00,2026-07-22T08:57:54.879860+00:00,17.0,25.0,-1,-1,0,0,1,1,METAR EHAM 220855Z 31012KT 280V340 9999 -DZRA FEW009 SCT017 BKN044 17/14 Q1023 REDZRA NOSIG
2026-07-22,2026-07-22T08:40:00+00:00,16.8,16.8,17,17,2026-07-22T08:55:00+00:00,2026-07-22T08:57:54.879860+00:00,17.0,15.0,0,0,1,1,1,1,METAR EHAM 220855Z 31012KT 280V340 9999 -DZRA FEW009 SCT017 BKN044 17/14 Q1023 REDZRA NOSIG
2026-07-22,2026-07-22T08:50:00+00:00,16.5,16.8,17,17,2026-07-22T08:55:00+00:00,2026-07-22T08:57:54.879860+00:00,17.0,5.0,0,0,1,1,1,1,METAR EHAM 220855Z 31012KT 280V340 9999 -DZRA FEW009 SCT017 BKN044 17/14 Q1023 REDZRA NOSIG
2026-07-22,2026-07-22T09:00:00+00:00,17.4,17.4,17,17,2026-07-22T09:25:00+00:00,2026-07-22T09:29:48.339509+00:00,18.0,25.0,-1,-1,0,0,1,1,METAR EHAM 220925Z 30012KT 9999 -DZRA FEW016 SCT024 BKN029 18/14 Q1023 NOSIG
2026-07-22,2026-07-22T09:10:00+00:00,17.8,18.0,18,18,2026-07-22T09:25:00+00:00,2026-07-22T09:29:48.339509+00:00,18.0,15.0,0,0,1,1,1,1,METAR EHAM 220925Z 30012KT 9999 -DZRA FEW016 SCT024 BKN029 18/14 Q1023 NOSIG
2026-07-22,2026-07-22T09:20:00+00:00,17.7,18.0,18,18,2026-07-22T09:25:00+00:00,2026-07-22T09:29:48.339509+00:00,18.0,5.0,0,0,1,1,1,1,METAR EHAM 220925Z 30012KT 9999 -DZRA FEW016 SCT024 BKN029 18/14 Q1023 NOSIG
2026-07-22,2026-07-22T09:30:00+00:00,18.4,18.5,18,19,2026-07-22T09:55:00+00:00,2026-07-22T09:59:38.636266+00:00,17.0,25.0,1,2,0,0,1,0,METAR EHAM 220955Z 31010KT 5000 DZRA FEW009 SCT017 BKN025 17/15 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T09:40:00+00:00,17.9,18.4,18,18,2026-07-22T09:55:00+00:00,2026-07-22T09:59:38.636266+00:00,17.0,15.0,1,1,0,0,1,1,METAR EHAM 220955Z 31010KT 5000 DZRA FEW009 SCT017 BKN025 17/15 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T09:50:00+00:00,16.7,17.9,17,18,2026-07-22T09:55:00+00:00,2026-07-22T09:59:38.636266+00:00,17.0,5.0,0,1,1,0,1,1,METAR EHAM 220955Z 31010KT 5000 DZRA FEW009 SCT017 BKN025 17/15 Q1023 TEMPO BKN017
2026-07-22,2026-07-22T10:00:00+00:00,17.3,17.3,17,17,2026-07-22T10:25:00+00:00,2026-07-22T10:33:05.030067+00:00,16.0,25.0,1,1,0,0,1,1,METAR EHAM 221025Z 32009KT 9999 4500SE -DZRA FEW013 SCT017 BKN029 16/15 Q1023 REDZRA TEMPO 7000
2026-07-22,2026-07-22T10:10:00+00:00,15.6,17.3,16,17,2026-07-22T10:25:00+00:00,2026-07-22T10:33:05.030067+00:00,16.0,15.0,0,1,1,0,1,1,METAR EHAM 221025Z 32009KT 9999 4500SE -DZRA FEW013 SCT017 BKN029 16/15 Q1023 REDZRA TEMPO 7000
2026-07-22,2026-07-22T10:20:00+00:00,15.7,15.7,16,16,2026-07-22T10:25:00+00:00,2026-07-22T10:33:05.030067+00:00,16.0,5.0,0,0,1,1,1,1,METAR EHAM 221025Z 32009KT 9999 4500SE -DZRA FEW013 SCT017 BKN029 16/15 Q1023 REDZRA TEMPO 7000
2026-07-22,2026-07-22T10:30:00+00:00,16.3,16.3,16,16,2026-07-22T10:55:00+00:00,2026-07-22T10:59:14.283365+00:00,18.0,25.0,-2,-2,0,0,0,0,METAR EHAM 221055Z 31012KT 270V340 9999 FEW013 SCT017 BKN035 18/15 Q1023 TEMPO 7000 -DZRA
2026-07-22,2026-07-22T10:40:00+00:00,16.9,16.9,17,17,2026-07-22T10:55:00+00:00,2026-07-22T10:59:14.283365+00:00,18.0,15.0,-1,-1,0,0,1,1,METAR EHAM 221055Z 31012KT 270V340 9999 FEW013 SCT017 BKN035 18/15 Q1023 TEMPO 7000 -DZRA
2026-07-22,2026-07-22T10:50:00+00:00,17.2,17.2,17,17,2026-07-22T10:55:00+00:00,2026-07-22T10:59:14.283365+00:00,18.0,5.0,-1,-1,0,0,1,1,METAR EHAM 221055Z 31012KT 270V340 9999 FEW013 SCT017 BKN035 18/15 Q1023 TEMPO 7000 -DZRA
2026-07-22,2026-07-22T11:00:00+00:00,18.3,18.3,18,18,2026-07-22T11:25:00+00:00,2026-07-22T11:28:58.024016+00:00,19.0,25.0,-1,-1,0,0,1,1,METAR EHAM 221125Z 31018KT 280V340 9999 SCT018 SCT032 19/14 Q1023 TEMPO 7000 -RADZ
2026-07-22,2026-07-22T11:10:00+00:00,18.5,18.5,19,19,2026-07-22T11:25:00+00:00,2026-07-22T11:28:58.024016+00:00,19.0,15.0,0,0,1,1,1,1,METAR EHAM 221125Z 31018KT 280V340 9999 SCT018 SCT032 19/14 Q1023 TEMPO 7000 -RADZ
2026-07-22,2026-07-22T11:20:00+00:00,18.9,18.9,19,19,2026-07-22T11:25:00+00:00,2026-07-22T11:28:58.024016+00:00,19.0,5.0,0,0,1,1,1,1,METAR EHAM 221125Z 31018KT 280V340 9999 SCT018 SCT032 19/14 Q1023 TEMPO 7000 -RADZ
2026-07-22,2026-07-22T11:30:00+00:00,18.1,19.1,18,19,2026-07-22T11:55:00+00:00,2026-07-22T11:57:41.361430+00:00,17.0,25.0,1,2,0,0,1,0,METAR EHAM 221155Z 32014KT 9999 -RADZ SCT018 SCT032 17/13 Q1023 TEMPO 7000
2026-07-22,2026-07-22T11:40:00+00:00,17.6,18.2,18,18,2026-07-22T11:55:00+00:00,2026-07-22T11:57:41.361430+00:00,17.0,15.0,1,1,0,0,1,1,METAR EHAM 221155Z 32014KT 9999 -RADZ SCT018 SCT032 17/13 Q1023 TEMPO 7000
2026-07-22,2026-07-22T11:50:00+00:00,17.2,17.5,17,18,2026-07-22T11:55:00+00:00,2026-07-22T11:57:41.361430+00:00,17.0,5.0,0,1,1,0,1,1,METAR EHAM 221155Z 32014KT 9999 -RADZ SCT018 SCT032 17/13 Q1023 TEMPO 7000
