target_date,knmi_filename,interval_end_utc,created_at_utc,last_modified_at_utc,created_delay_sec,last_modified_delay_sec,revision_lag_after_created_sec
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221440.nc,2026-07-22T14:40:00+00:00,2026-07-22T14:43:42+00:00,2026-07-22T14:53:41+00:00,222.0,821.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221450.nc,2026-07-22T14:50:00+00:00,2026-07-22T14:53:44+00:00,2026-07-22T15:03:38+00:00,224.0,818.0,594.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221500.nc,2026-07-22T15:00:00+00:00,2026-07-22T15:03:40+00:00,2026-07-22T15:13:40+00:00,220.0,820.0,600.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221510.nc,2026-07-22T15:10:00+00:00,2026-07-22T15:13:42+00:00,2026-07-22T15:23:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221520.nc,2026-07-22T15:20:00+00:00,2026-07-22T15:23:42+00:00,2026-07-22T15:33:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221530.nc,2026-07-22T15:30:00+00:00,2026-07-22T15:33:42+00:00,2026-07-22T15:43:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221540.nc,2026-07-22T15:40:00+00:00,2026-07-22T15:43:42+00:00,2026-07-22T15:53:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221550.nc,2026-07-22T15:50:00+00:00,2026-07-22T15:53:41+00:00,2026-07-22T16:03:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221600.nc,2026-07-22T16:00:00+00:00,2026-07-22T16:03:42+00:00,2026-07-22T16:13:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221610.nc,2026-07-22T16:10:00+00:00,2026-07-22T16:13:41+00:00,2026-07-22T16:23:40+00:00,221.0,820.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221620.nc,2026-07-22T16:20:00+00:00,2026-07-22T16:23:42+00:00,2026-07-22T16:33:41+00:00,222.0,821.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221630.nc,2026-07-22T16:30:00+00:00,2026-07-22T16:33:44+00:00,2026-07-22T16:43:40+00:00,224.0,820.0,596.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221640.nc,2026-07-22T16:40:00+00:00,2026-07-22T16:43:43+00:00,2026-07-22T16:53:40+00:00,223.0,820.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221650.nc,2026-07-22T16:50:00+00:00,2026-07-22T16:53:43+00:00,2026-07-22T17:03:42+00:00,223.0,822.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221700.nc,2026-07-22T17:00:00+00:00,2026-07-22T17:03:44+00:00,2026-07-22T17:13:39+00:00,224.0,819.0,595.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221710.nc,2026-07-22T17:10:00+00:00,2026-07-22T17:13:41+00:00,2026-07-22T17:23:45+00:00,221.0,825.0,604.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221720.nc,2026-07-22T17:20:00+00:00,2026-07-22T17:23:47+00:00,2026-07-22T17:33:42+00:00,227.0,822.0,595.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221730.nc,2026-07-22T17:30:00+00:00,2026-07-22T17:33:45+00:00,2026-07-22T17:43:40+00:00,225.0,820.0,595.0
