schema_version,source,source_kind,city,station,station_label,icao,target_date,observation_time_utc,local_detect_ts_utc,fetched_at_utc,temp_c,temp_f,temp_round_f,raw_payload_hash,source_note,wigos_station_id,knmi_station_code,max_temp_c_past_10m,measurement_interval_end_utc,knmi_filename,knmi_file_created_at_utc,knmi_file_last_modified_at_utc,payload_hash,collection_mode,historical_retrieved_at_utc
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T14:20:00+00:00,2026-07-27T16:11:38.897680+00:00,2026-07-27T16:11:38.897680+00:00,24.1,75.38,75,6e7b7cd9232c8371,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.3,2026-07-25T14:20:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251420.nc,2026-07-25T14:23:42+00:00,2026-07-25T14:33:38+00:00,6a19e2865fcc1599,historical_backfill_not_pit,2026-07-27T16:11:38.897680+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T14:30:00+00:00,2026-07-27T16:11:38.905728+00:00,2026-07-27T16:11:38.905728+00:00,24.3,75.74,76,d04b9f36d02e9bdf,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.4,2026-07-25T14:30:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251430.nc,2026-07-25T14:33:40+00:00,2026-07-25T14:43:38+00:00,94955b2199ed32fb,historical_backfill_not_pit,2026-07-27T16:11:38.905728+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T14:40:00+00:00,2026-07-27T16:11:38.913346+00:00,2026-07-27T16:11:38.913346+00:00,24.2,75.56,76,7dadea0753e56815,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.2,2026-07-25T14:40:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251440.nc,2026-07-25T14:43:41+00:00,2026-07-25T14:53:38+00:00,339e555e80e2b486,historical_backfill_not_pit,2026-07-27T16:11:38.913346+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T14:50:00+00:00,2026-07-27T16:11:38.921370+00:00,2026-07-27T16:11:38.921370+00:00,23.6,74.48,74,9cf28a09a2612771,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.3,2026-07-25T14:50:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251450.nc,2026-07-25T14:53:40+00:00,2026-07-25T15:03:38+00:00,6ed4b7493772081e,historical_backfill_not_pit,2026-07-27T16:11:38.921370+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T15:00:00+00:00,2026-07-27T16:11:38.928999+00:00,2026-07-27T16:11:38.928999+00:00,23.7,74.66,75,7f601481d95c9225,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,23.9,2026-07-25T15:00:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251500.nc,2026-07-25T15:03:40+00:00,2026-07-25T15:13:38+00:00,82e28ae462a1e34c,historical_backfill_not_pit,2026-07-27T16:11:38.928999+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T15:10:00+00:00,2026-07-27T16:11:38.937035+00:00,2026-07-27T16:11:38.937035+00:00,23.4,74.12,74,4a2b53ff5939f245,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.0,2026-07-25T15:10:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251510.nc,2026-07-25T15:13:40+00:00,2026-07-25T15:23:38+00:00,f3f4f4271ab387b8,historical_backfill_not_pit,2026-07-27T16:11:38.937035+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T15:20:00+00:00,2026-07-27T16:11:38.944720+00:00,2026-07-27T16:11:38.944720+00:00,23.7,74.66,75,0ee536ae0ce9d7f3,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,24.1,2026-07-25T15:20:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251520.nc,2026-07-25T15:23:40+00:00,2026-07-25T15:33:38+00:00,8f7b33c16761d3fd,historical_backfill_not_pit,2026-07-27T16:11:38.944720+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T15:30:00+00:00,2026-07-27T16:11:38.952956+00:00,2026-07-27T16:11:38.952956+00:00,22.8,73.04,73,9eefe519ea2ac5e1,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,23.7,2026-07-25T15:30:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251530.nc,2026-07-25T15:33:40+00:00,2026-07-25T15:43:38+00:00,438e15d959502faa,historical_backfill_not_pit,2026-07-27T16:11:38.952956+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T15:40:00+00:00,2026-07-27T16:11:38.960750+00:00,2026-07-27T16:11:38.960750+00:00,22.8,73.04,73,4e305f86ac0cd142,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,22.9,2026-07-25T15:40:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251540.nc,2026-07-25T15:43:40+00:00,2026-07-25T15:53:38+00:00,c58056b49b55b5eb,historical_backfill_not_pit,2026-07-27T16:11:38.960750+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T15:50:00+00:00,2026-07-27T16:11:38.968672+00:00,2026-07-27T16:11:38.968672+00:00,22.4,72.32,72,53aa93ed23c67576,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,23.6,2026-07-25T15:50:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251550.nc,2026-07-25T15:53:40+00:00,2026-07-25T16:03:39+00:00,0122401090858965,historical_backfill_not_pit,2026-07-27T16:11:38.968672+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T16:00:00+00:00,2026-07-27T16:11:38.976381+00:00,2026-07-27T16:11:38.976381+00:00,22.7,72.86,73,660845f0fa6edd99,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,22.8,2026-07-25T16:00:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251600.nc,2026-07-25T16:03:41+00:00,2026-07-25T16:13:38+00:00,8d5e67e7f922948f,historical_backfill_not_pit,2026-07-27T16:11:38.976381+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T16:10:00+00:00,2026-07-27T16:11:38.983951+00:00,2026-07-27T16:11:38.983951+00:00,22.9,73.22,73,0618947db05463fe,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,22.9,2026-07-25T16:10:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251610.nc,2026-07-25T16:13:40+00:00,2026-07-25T16:23:38+00:00,f3134ddfa72256bf,historical_backfill_not_pit,2026-07-27T16:11:38.983951+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T16:20:00+00:00,2026-07-27T16:11:38.991919+00:00,2026-07-27T16:11:38.991919+00:00,22.7,72.86,73,e0419ca00be66c9e,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,23.3,2026-07-25T16:20:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251620.nc,2026-07-25T16:23:40+00:00,2026-07-25T16:33:39+00:00,8e90167ad2e06bed,historical_backfill_not_pit,2026-07-27T16:11:38.991919+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T16:30:00+00:00,2026-07-27T16:11:38.999676+00:00,2026-07-27T16:11:38.999676+00:00,23.0,73.4,73,514a69c78ab28cd9,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,23.2,2026-07-25T16:30:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251630.nc,2026-07-25T16:33:41+00:00,2026-07-25T16:43:39+00:00,6e34d61306e392f6,historical_backfill_not_pit,2026-07-27T16:11:38.999676+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T16:40:00+00:00,2026-07-27T16:11:39.007662+00:00,2026-07-27T16:11:39.007662+00:00,22.7,72.86,73,f28fb8ad70c8ca85,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,23.1,2026-07-25T16:40:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251640.nc,2026-07-25T16:43:40+00:00,2026-07-25T16:53:38+00:00,c5c0d66ba35acfa3,historical_backfill_not_pit,2026-07-27T16:11:39.007662+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T16:50:00+00:00,2026-07-27T16:11:39.015269+00:00,2026-07-27T16:11:39.015269+00:00,22.5,72.5,73,8d7494cf6202d66c,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,23.1,2026-07-25T16:50:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251650.nc,2026-07-25T16:53:40+00:00,2026-07-25T17:03:40+00:00,b2ba703ee6c95919,historical_backfill_not_pit,2026-07-27T16:11:39.015269+00:00
weather_high_frequency_observation_v1,knmi,official_airport_station,Amsterdam,0-20000-0-06240,Schiphol KNMI 10min,EHAM,2026-07-25,2026-07-25T17:00:00+00:00,2026-07-27T16:11:39.023451+00:00,2026-07-27T16:11:39.023451+00:00,22.1,71.78,72,b7d4d84268f12675,"KNMI Schiphol station 240 10-minute AWS/synoptic file; ta is the final 1-minute mean and tx is the 10-minute maximum; research enrichment, not METAR or WU settlement truth",0-20000-0-06240,06240,22.6,2026-07-25T17:00:00+00:00,KMDS__OPER_P___10M_OBS_L2_202607251700.nc,2026-07-25T17:03:42+00:00,2026-07-25T17:13:42+00:00,d42a3575dbe7f031,historical_backfill_not_pit,2026-07-27T16:11:39.023451+00:00
