city,icao,decision_hour_local,city_days,rows,p50_residual_c,p75_residual_c,p90_residual_c,p95_residual_c,p99_residual_c,max_residual_c,residual_ge_0_5c_rate,residual_ge_1_0c_rate,residual_ge_1_5c_rate,bucket_delta_ge_1_rate,avg_obs_count_day,avg_obs_count_to_decision,physical_candidate_v0
Denver,KBKF,18,766,766,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0039164490861618795,0.0026109660574412533,0.0013054830287206266,0.0026109660574412533,25.640992167101828,19.071801566579634,True
Denver,KBKF,19,766,766,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0026109660574412533,0.0026109660574412533,0.0013054830287206266,0.0026109660574412533,25.640992167101828,20.233681462140993,True
Lagos,DNMM,20,732,732,0.0,0.0,0.0,0.0,0.0,5.0,0.00273224043715847,0.00273224043715847,0.001366120218579235,0.00273224043715847,21.647540983606557,18.918032786885245,True
Lagos,DNMM,21,732,732,0.0,0.0,0.0,0.0,0.0,5.0,0.00273224043715847,0.00273224043715847,0.001366120218579235,0.00273224043715847,21.647540983606557,19.84153005464481,True
HongKong,VHHH,20,772,772,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0038860103626943004,0.0038860103626943004,0.0,0.0038860103626943004,51.31217616580311,43.96373056994819,True
HongKong,VHHH,21,772,772,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0038860103626943004,0.0038860103626943004,0.0,0.0038860103626943004,51.31217616580311,46.06217616580311,True
Shanghai,ZSPD,20,772,772,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.0038860103626943004,0.0038860103626943004,0.0012953367875647669,0.0038860103626943004,48.968911917098445,41.851036269430054,True
Ankara,LTAC,18,771,771,0.0,0.0,0.0,0.0,0.0,3.888888888888889,0.0038910505836575876,0.0038910505836575876,0.0012970168612191958,0.0038910505836575876,48.86640726329442,36.670557717250325,True
Ankara,LTAC,19,771,771,0.0,0.0,0.0,0.0,0.0,3.888888888888889,0.0038910505836575876,0.0038910505836575876,0.0012970168612191958,0.0038910505836575876,48.86640726329442,38.71465629053178,True
Ankara,LTAC,20,771,771,0.0,0.0,0.0,0.0,0.0,3.888888888888889,0.0038910505836575876,0.0038910505836575876,0.0012970168612191958,0.0038910505836575876,48.86640726329442,40.747081712062254,True
Ankara,LTAC,21,771,771,0.0,0.0,0.0,0.0,0.0,3.888888888888889,0.0038910505836575876,0.0038910505836575876,0.0012970168612191958,0.0038910505836575876,48.86640726329442,42.769130998702984,True
Dallas,KDAL,19,771,771,0.0,0.0,0.0,0.0,0.0,0.5555555555555571,0.009079118028534372,0.0,0.0,0.0038910505836575876,27.738002594033723,22.32166018158236,True
Dallas,KDAL,20,771,771,0.0,0.0,0.0,0.0,0.0,0.5555555555555571,0.007782101167315175,0.0,0.0,0.0038910505836575876,27.738002594033723,23.387808041504538,True
Madrid,LEMD,20,771,771,0.0,0.0,0.0,0.0,0.0,1.1111111111111116,0.0038910505836575876,0.0038910505836575876,0.0,0.0038910505836575876,48.673151750972764,41.57328145265888,True
Milan,LIML,19,771,771,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.005188067444876783,0.0038910505836575876,0.0012970168612191958,0.0038910505836575876,47.715953307392994,37.753566796368354,True
SanFrancisco,KSFO,20,771,771,0.0,0.0,0.0,0.0,0.0,3.333333333333334,0.005188067444876783,0.0025940337224383916,0.0012970168612191958,0.0038910505836575876,27.154345006485084,22.77561608300908,True
SanFrancisco,KSFO,21,771,771,0.0,0.0,0.0,0.0,0.0,3.333333333333334,0.0038910505836575876,0.0025940337224383916,0.0012970168612191958,0.0038910505836575876,27.154345006485084,23.85603112840467,True
Taipei,RCSS,18,642,642,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.00778816199376947,0.004672897196261682,0.001557632398753894,0.004672897196261682,46.5404984423676,34.94704049844237,True
Taipei,RCSS,19,642,642,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.00778816199376947,0.004672897196261682,0.0,0.004672897196261682,46.5404984423676,37.11682242990654,True
Taipei,RCSS,20,642,642,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.006230529595015576,0.004672897196261682,0.0,0.004672897196261682,46.5404984423676,39.228971962616825,True
Taipei,RCSS,21,642,642,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.006230529595015576,0.004672897196261682,0.0,0.004672897196261682,46.5404984423676,41.32710280373832,True
HongKong,VHHH,18,772,772,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0051813471502590676,0.0051813471502590676,0.0,0.0051813471502590676,51.31217616580311,39.76813471502591,True
HongKong,VHHH,19,772,772,0.0,0.0,0.0,0.0,0.0,1.1111111111111107,0.0051813471502590676,0.0051813471502590676,0.0,0.0051813471502590676,51.31217616580311,41.865284974093264,True
Shanghai,ZSPD,18,772,772,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.0051813471502590676,0.0051813471502590676,0.0025906735751295338,0.0051813471502590676,48.968911917098445,37.78626943005181,True
Shanghai,ZSPD,19,772,772,0.0,0.0,0.0,0.0,0.0,2.2222222222222214,0.0051813471502590676,0.0051813471502590676,0.0012953367875647669,0.0051813471502590676,48.968911917098445,39.825129533678755,True
