city,decision_snapshot_ts_utc,expression,history_delay_min,history_point_ts_utc,history_price,status,target_date,token_id
Tokyo,2026-07-09T07:38:31Z,d1_no,0.55,2026-07-09T07:39:04Z,0.9975,ok,2026-07-09,5801828239819768588596863960151150594607760058937032728567329925951027407198
Warsaw,2026-07-09T13:12:46Z,current_yes,0.3,2026-07-09T13:13:04Z,0.7165,ok,2026-07-09,40785714698419219875185574283791571124084459262825861736157163369540398429260
Warsaw,2026-07-09T13:12:46Z,d1_no,0.31666666666666665,2026-07-09T13:13:05Z,0.79,ok,2026-07-09,14222527257926215610302647101967518326253758078828696049539910520071321443944
Wellington,2026-07-09T01:06:17Z,current_yes,0.7833333333333333,2026-07-09T01:07:04Z,0.985,ok,2026-07-09,19297452639465290561339710705856902245780212508407153693765963380054844657823
Wellington,2026-07-09T01:06:17Z,d1_no,0.7833333333333333,2026-07-09T01:07:04Z,0.984,ok,2026-07-09,13237439854039602418487449252064045159179281134093336994119980549417116544960
Atlanta,2026-07-10T20:58:26Z,current_yes,0.65,2026-07-10T20:59:05Z,0.997,ok,2026-07-10,42829101633431515688664241119762068456629420636197230409530835741798273208597
Atlanta,2026-07-10T20:58:26Z,d1_no,0.65,2026-07-10T20:59:05Z,0.997,ok,2026-07-10,54733241518595409402136402994719347376892221423688838108261112236146409489620
Beijing,2026-07-10T08:07:40Z,current_yes,0.4,2026-07-10T08:08:04Z,0.996,ok,2026-07-10,86018233340433213187213926201442374837800177722482607054761432623861433614833
Beijing,2026-07-10T08:07:40Z,d1_no,0.4,2026-07-10T08:08:04Z,0.9945,ok,2026-07-10,80864015802271729893890766358036814070101933196538266050114892627708930501899
Busan,2026-07-10T07:08:37Z,current_yes,0.45,2026-07-10T07:09:04Z,0.9835,ok,2026-07-10,69071485213024614797794297502570208219069722667185560224552282702095878935548
Busan,2026-07-10T07:08:37Z,d1_no,0.45,2026-07-10T07:09:04Z,0.9845,ok,2026-07-10,16446615565263155150245074695815659306238288572640291441212396679363334716906
CapeTown,2026-07-10T13:10:10Z,current_yes,0.9333333333333333,2026-07-10T13:11:06Z,0.989,ok,2026-07-10,26528038839038370177703809884925578968380854778063730915245757709054865901498
CapeTown,2026-07-10T13:10:10Z,d1_no,0.95,2026-07-10T13:11:07Z,0.989,ok,2026-07-10,4411179156374672229491876944810477264288075633373624239637176841079921586059
Chengdu,2026-07-10T08:07:40Z,current_yes,0.4,2026-07-10T08:08:04Z,0.9865,ok,2026-07-10,87636571548936896470855810188407840674517686729783127661456851414538219340943
Chengdu,2026-07-10T08:07:40Z,d1_no,0.4166666666666667,2026-07-10T08:08:05Z,0.99,ok,2026-07-10,67578437617168760699097405142040468926319062620370240787349914819895996551543
Chicago,2026-07-10T20:58:26Z,current_yes,0.65,2026-07-10T20:59:05Z,0.9655,ok,2026-07-10,88504434198290365222731237156430119434171196681078153096413558678031678042124
Chicago,2026-07-10T20:58:26Z,d1_no,0.65,2026-07-10T20:59:05Z,0.96,ok,2026-07-10,20774899101567123844840185099216989650241756465845569289068974255209026796534
Denver,2026-07-10T22:42:26Z,current_yes,4.766666666666667,2026-07-10T22:47:12Z,0.993,ok,2026-07-10,85682261556318588156362205181467018870491355859005890289213875934255242861858
Denver,2026-07-10T22:42:26Z,d1_no,4.75,2026-07-10T22:47:11Z,0.9925,ok,2026-07-10,27582140328676526809994288594497641568543752386162355566175489771705813533791
Istanbul,2026-07-10T12:38:38Z,current_yes,0.43333333333333335,2026-07-10T12:39:04Z,0.95,ok,2026-07-10,82197427809870891329869937526561571746086238657340680683785405329234899842481
Istanbul,2026-07-10T12:38:38Z,d1_no,0.43333333333333335,2026-07-10T12:39:04Z,0.9725,ok,2026-07-10,41567765399931321021200611937853467150840138212316632610379849188745387059014
Karachi,2026-07-10T11:37:11Z,current_yes,0.8833333333333333,2026-07-10T11:38:04Z,0.9955,ok,2026-07-10,18272536682422148785668011922901424880706289887553146644883532169453550570757
Karachi,2026-07-10T11:37:11Z,d1_no,0.8833333333333333,2026-07-10T11:38:04Z,0.996,ok,2026-07-10,44422107364481227969044060815474281468091347290073759366408467509539034101313
LA,2026-07-10T21:57:47Z,current_yes,,,,no_point_within_30m,2026-07-10,50130257260644129194950165733327899106963187855743080222326422325502781627964
LA,2026-07-10T21:57:47Z,d1_no,,,,no_point_within_30m,2026-07-10,112728952551336718414984575363631650788078172325730264714492102107347714906271
London,2026-07-10T14:57:30Z,current_yes,0.5666666666666667,2026-07-10T14:58:04Z,0.96,ok,2026-07-10,92739643049866568081743643481393320119170498149149566030938881747562063837014
London,2026-07-10T14:57:30Z,d1_no,0.6,2026-07-10T14:58:06Z,0.963,ok,2026-07-10,65905464492214652991608038629502449078536038016028101552287831940022351776570
Manila,2026-07-10T05:20:28Z,current_yes,0.6,2026-07-10T05:21:04Z,0.971,ok,2026-07-10,77428154166431364917810221943518467874495962398661484961681542519636926239157
Manila,2026-07-10T05:20:28Z,d1_no,0.6,2026-07-10T05:21:04Z,0.9785,ok,2026-07-10,101960846064372474670245437420862204829579437288299302846151061854584049458524
NYC,2026-07-10T20:58:26Z,current_yes,0.65,2026-07-10T20:59:05Z,0.9205,ok,2026-07-10,78197115599958846794978742716007269621575735945360221784244449925261388530767
NYC,2026-07-10T20:58:26Z,d1_no,0.65,2026-07-10T20:59:05Z,0.9585,ok,2026-07-10,111660997199905115000600765491228288686328062976926409161357075430597676151733
SanFrancisco,2026-07-10T23:12:45Z,current_yes,0.5333333333333333,2026-07-10T23:13:17Z,0.985,ok,2026-07-10,100427105125398254419463532193606344922380088671686010843232754575032937567039
SanFrancisco,2026-07-10T23:12:45Z,d1_no,0.5333333333333333,2026-07-10T23:13:17Z,0.981,ok,2026-07-10,82603225386375398925370410303921914116375373326779140029196690032150235767172
Shanghai,2026-07-10T05:20:28Z,current_yes,0.6,2026-07-10T05:21:04Z,0.785,ok,2026-07-10,72394176188037637541030949012995138361824568716473864850651527259763079742707
