period,selector,sizing,target_date,rows,wins,cost,pnl,roi
historical,base_edge20_ask01_25,payout25_cap5,2026-05-17,7,0,9.8625,-9.8625,-1.0
historical,base_edge20_ask01_25,payout25_cap5,2026-05-20,11,1,30.6875,-5.6875,-0.18533604887983707
historical,base_edge20_ask01_25,payout25_cap5,2026-05-21,10,0,20.6625,-20.6625,-1.0
historical,base_edge20_ask01_25,payout25_cap5,2026-05-22,17,2,39.3,10.7,0.272264631043257
historical,base_edge20_ask01_25,payout25_cap5,2026-05-23,15,3,30.0625,41.21409574468085,1.3709470517981155
historical,base_edge20_ask01_25,payout25_cap5,2026-05-24,11,2,24.3875,25.6125,1.0502306509482318
historical,base_edge20_ask01_25,payout25_cap5,2026-05-25,9,0,21.975,-21.975,-1.0
historical,base_edge20_ask01_25,payout25_cap5,2026-05-26,10,3,28.1375,38.60163043478261,1.3718926853765476
historical,base_edge20_ask01_25,payout25_cap5,2026-05-27,10,1,16.35,8.65,0.5290519877675841
historical,base_edge20_ask01_25,payout25_cap5,2026-05-28,19,1,43.125,-18.125,-0.42028985507246375
historical,base_edge20_ask01_25,payout25_cap5,2026-05-29,16,1,32.6625,-7.6625,-0.23459624952162264
historical,base_edge20_ask01_25,payout25_cap5,2026-05-30,11,2,25.7,17.798817966903073,0.6925610103853336
historical,base_edge20_ask01_25,payout25_cap5,2026-05-31,9,2,12.1,37.9,3.1322314049586777
historical,base_edge20_ask01_25,payout25_cap5,2026-06-01,12,2,29.975,18.834523809523812,0.6283410778823624
historical,base_edge20_ask01_25,payout25_cap5,2026-06-02,12,1,18.0375,6.962499999999999,0.3860013860013859
historical,base_edge20_ask01_25,payout25_cap5,2026-06-03,8,1,11.975000000000001,13.025,1.0876826722338204
historical,base_edge20_ask01_25,payout25_cap5,2026-06-04,16,3,37.45,33.67937433722164,0.8993157366414322
historical,base_edge20_ask01_25,payout25_cap5,2026-06-05,13,1,29.15,-4.150000000000002,-0.14236706689536885
historical,base_edge20_ask01_25,payout25_cap5,2026-06-06,13,0,21.8125,-21.8125,-1.0
historical,base_edge20_ask01_25,payout25_cap5,2026-06-07,14,1,19.1625,5.8374999999999995,0.3046314416177429
historical,base_edge20_ask01_25,payout25_cap5,2026-06-08,16,0,37.1,-37.1,-1.0
