trades,dates,cities,wins,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,target_date,evidence_layer,model,dropped_numeric_all_missing_in_train
1,1,1,0,0.0,0.6,0.6524153012666012,0.6524153012666012,-0.6524153012666012,-1.0,,,1,2026-06-13,historical_best_ask_diagnostic,logit_market_route,
3,1,3,2,0.6666666666666666,0.15,0.30778270957250803,0.9233481287175241,3.4279972193982307,3.7125728777503624,,,0,2026-06-14,historical_best_ask_diagnostic,logit_market_route,
2,1,2,1,0.5,0.27,0.4528809796132314,0.9057619592264629,0.7842159474150459,0.8658079967111674,,,0,2026-06-15,historical_best_ask_diagnostic,logit_market_route,
2,1,2,1,0.5,0.335,0.44481326645456803,0.8896265329091361,0.3064751907535511,0.3444987075097204,,,0,2026-06-16,historical_best_ask_diagnostic,logit_market_route,
1,1,1,0,0.0,0.38,0.5315737489205105,0.5315737489205105,-0.5315737489205105,-1.0,,,1,2026-06-17,historical_best_ask_diagnostic,logit_market_route,
1,1,1,1,1.0,0.65,0.6621677214820573,0.6621677214820573,0.35655185002879997,0.5384615384615383,,,0,2026-06-18,historical_best_ask_diagnostic,logit_market_route,
2,1,2,1,0.5,0.33,0.4681494747290179,0.9362989494580358,0.38873216449716835,0.4151795371789969,,,0,2026-06-19,historical_best_ask_diagnostic,logit_market_route,
2,1,2,0,0.0,0.14,0.3957063594736701,0.7914127189473402,-0.7914127189473402,-1.0,,,1,2026-06-20,historical_best_ask_diagnostic,logit_market_route,
2,1,2,1,0.5,0.3,0.4439186499302729,0.8878372998605458,0.4342747799547021,0.4891377958809732,,,0,2026-06-21,historical_best_ask_diagnostic,logit_market_route,
1,1,1,0,0.0,0.22,0.42251378344131146,0.42251378344131146,-0.42251378344131146,-1.0,,,1,2026-06-22,historical_best_ask_diagnostic,logit_market_route,
1,1,1,1,1.0,0.21,0.38710084568936654,0.38710084568936654,1.4562365147361884,3.761904761904762,,,0,2026-06-23,historical_best_ask_diagnostic,logit_market_route,
