trades,dates,cities,wins,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,scope,model,prob_col,trade_variant
32,18,20,13,0.40625,0.335625,0.346498959375,11.0879667,7.411915225402425,0.6684647804184355,-0.16856891052641196,1.4993962436027848,8,historical_best_ask_diagnostic,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,model_p_ge_ask_plus_05_size_current_score
26,18,18,11,0.4230769230769231,0.29692307692307696,0.4805408307692308,12.494061600000002,8.777341897618303,0.7025210999134422,-0.04749572666720888,1.5605500053539036,7,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,current_heuristic_score_over_ask_ge_1_size_score
29,20,18,15,0.5172413793103449,0.3385862068965518,0.5134844306734979,14.89104848953144,9.597354984306552,0.64450498506224,0.0038089450109644496,1.2689816726649237,8,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,model_p_ge_ask_size_probability
52,20,24,29,0.5576923076923077,0.47740384615384623,0.3058300107692308,15.903160560000002,8.449668653513537,0.531320087075417,-0.06074989902799494,1.1575001044156374,3,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,model_p_ge_ask_size_current_score
26,19,17,13,0.5,0.33380769230769225,0.5255414860755333,13.664078637963867,8.67508714067219,0.6348827001455911,-0.07634620927660546,1.3435562448697504,9,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,model_p_ge_ask_plus_05_size_probability
42,19,23,24,0.5714285714285714,0.45011904761904764,0.3318908942857143,13.93941756,8.490806714420373,0.6091220582117616,-0.06269719595544797,1.2931769083345526,4,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,model_p_ge_ask_plus_05_size_current_score
26,18,18,11,0.4230769230769231,0.29692307692307696,0.4805408307692308,12.494061600000002,8.777341897618303,0.7025210999134422,-0.04749572666720888,1.5605500053539036,7,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,current_heuristic_score_over_ask_ge_1_size_score
26,20,19,14,0.5384615384615384,0.3334615384615385,0.5268390559582811,13.697815454915307,10.89394825485792,0.7953055208484904,0.09091951124129018,1.4681803920062624,8,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,model_p_ge_ask_size_probability
49,20,23,28,0.5714285714285714,0.4736734693877552,0.312136064489796,15.294667160000003,10.416556905919613,0.6810580967176543,0.05736353067088989,1.2959756902844912,3,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,model_p_ge_ask_size_current_score
24,19,17,13,0.5416666666666666,0.31958333333333333,0.5264025303759553,12.633660729022928,10.784009987810537,0.8535934452503348,0.13506901755516146,1.5304083067319283,7,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,model_p_ge_ask_plus_05_size_probability
41,19,22,24,0.5853658536585366,0.4392682926829268,0.3326273209756098,13.637720160000002,11.015983782879958,0.8077584562257183,0.1268191875256639,1.4919232794749284,3,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,model_p_ge_ask_plus_05_size_current_score
26,18,18,11,0.4230769230769231,0.29692307692307696,0.4805408307692308,12.494061600000002,8.777341897618303,0.7025210999134422,-0.04749572666720888,1.5605500053539036,7,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,current_heuristic_score_over_ask_ge_1_size_score
25,20,18,14,0.56,0.35039999999999993,0.570826960875675,14.270674021891875,12.29132293818541,0.8612993975848618,0.17130573646620825,1.5394225267482238,8,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,model_p_ge_ask_size_probability
50,20,24,29,0.58,0.47556,0.30770182,15.385091000000001,10.53520380795556,0.6847670779428967,0.0636559278899078,1.292655122279778,3,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,model_p_ge_ask_size_current_score
23,19,16,13,0.5652173913043478,0.32652173913043475,0.5657575841001731,13.01242443430398,12.548323715667998,0.9643340316034805,0.19282483420358004,1.6767297351389117,7,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,model_p_ge_ask_plus_05_size_probability
40,19,21,23,0.575,0.44420000000000004,0.33658335000000006,13.463334000000001,10.143103728394165,0.7533872165983674,0.03835241755908194,1.4439129375478175,3,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,model_p_ge_ask_plus_05_size_current_score
