grain,evidence,metric,challenger,baseline,delta,ci_low,ci_high,probability_challenger_better
state_entry,all,logloss,p_structural_margin_transition_r16,market_probability,-0.05627313385248234,-0.10312989508111137,-0.008617674973560214,0.9904
state_entry,all,brier,p_structural_margin_transition_r16,p_frozen_old,-0.000345306887819202,-0.025285500867856792,0.02446642085520723,0.5218
state_entry,all,logloss,p_structural_margin_transition_r16,p_frozen_old,0.008348326379002362,-0.059268861839816375,0.07768620436643628,0.4146
state_entry,all,brier,p_structural_margin_transition_r16,p_v2_compact_r16,-0.0008781669052409478,-0.00431815931171137,0.0024556797967869135,0.6978
state_entry,all,logloss,p_structural_margin_transition_r16,p_v2_compact_r16,-0.0019198999919296511,-0.011334090459421305,0.007984475526899194,0.65
state_entry,all,brier,p_structural_margin_transition_hgb,market_probability,-0.02367502545300696,-0.05923296884969214,0.010575612448152288,0.9118
state_entry,all,logloss,p_structural_margin_transition_hgb,market_probability,-0.04939095295955308,-0.14632408299399569,0.053063111590215546,0.822
state_entry,all,brier,p_structural_margin_transition_hgb,p_frozen_old,0.0005270460689973,-0.03870457937538552,0.030838219226987963,0.4654
state_entry,all,logloss,p_structural_margin_transition_hgb,p_frozen_old,0.015230507271931612,-0.08365319753919494,0.09296220107023187,0.3328
state_entry,all,brier,p_structural_margin_transition_hgb,p_v2_compact_r16,-5.813948424445614e-06,-0.023470198329650086,0.020531407486644056,0.492
state_entry,all,logloss,p_structural_margin_transition_hgb,p_v2_compact_r16,0.004962280900999604,-0.06758162513980286,0.07532998659644191,0.4244
date_x_entry,all,brier,p_v2_compact_r16,market_probability,-0.01510699695156594,-0.050453430815347866,0.026728106168057753,0.7794
date_x_entry,all,logloss,p_v2_compact_r16,market_probability,-0.042405065515143926,-0.1322088497224232,0.06066201801615542,0.8084
date_x_entry,all,brier,p_v2_compact_r16,p_frozen_old,-0.00515458346124879,-0.03702203833658928,0.02302362717219241,0.5976
date_x_entry,all,logloss,p_v2_compact_r16,p_frozen_old,-0.038734907477916955,-0.2048798147003659,0.06970098450511206,0.6702
date_x_entry,all,brier,p_structural_margin_r16,market_probability,-0.017545001761402928,-0.05216341503866257,0.023041826636355713,0.8164
date_x_entry,all,logloss,p_structural_margin_r16,market_probability,-0.04732803144078471,-0.13324693610352026,0.050533941611985225,0.8462
date_x_entry,all,brier,p_structural_margin_r16,p_frozen_old,-0.00759258827108578,-0.04109316258615289,0.02164417957106957,0.6514
date_x_entry,all,logloss,p_structural_margin_r16,p_frozen_old,-0.043657873403557715,-0.2152403311674943,0.06735522654397111,0.6834
date_x_entry,all,brier,p_structural_margin_r16,p_v2_compact_r16,-0.0024380048098369884,-0.004813147593416183,6.11388135118653e-05,0.9702
date_x_entry,all,logloss,p_structural_margin_r16,p_v2_compact_r16,-0.004922965925640766,-0.012275930400594149,0.002483118483079042,0.9084
date_x_entry,all,brier,p_structural_margin_transition_r16,market_probability,-0.01791486619899326,-0.05562852962639647,0.02699316535442831,0.8026
date_x_entry,all,logloss,p_structural_margin_transition_r16,market_probability,-0.04801955049548088,-0.13835997332500047,0.05881305664334273,0.8288
date_x_entry,all,brier,p_structural_margin_transition_r16,p_frozen_old,-0.007962452708676111,-0.03894341379264369,0.018494352562973916,0.6848
date_x_entry,all,logloss,p_structural_margin_transition_r16,p_frozen_old,-0.044349392458253915,-0.2091415785717157,0.06177830619233389,0.6988
date_x_entry,all,brier,p_structural_margin_transition_r16,p_v2_compact_r16,-0.0028078692474273223,-0.007925365919477668,0.0021099185531881994,0.8708
date_x_entry,all,logloss,p_structural_margin_transition_r16,p_v2_compact_r16,-0.005614484980336958,-0.01822619000748144,0.0073582330657471435,0.7952
date_x_entry,all,brier,p_structural_margin_transition_hgb,market_probability,0.001432184632581615,-0.055312453164121846,0.06662106137085087,0.5176
date_x_entry,all,logloss,p_structural_margin_transition_hgb,market_probability,0.0034860323361731063,-0.1596951480234905,0.219117489674254,0.5074
date_x_entry,all,brier,p_structural_margin_transition_hgb,p_frozen_old,0.011384598122898762,-0.02596967222462003,0.05717690202957796,0.3146
date_x_entry,all,logloss,p_structural_margin_transition_hgb,p_frozen_old,0.007156190373400105,-0.10711062643319967,0.13491262353553873,0.4724
date_x_entry,all,brier,p_structural_margin_transition_hgb,p_v2_compact_r16,0.016539181584147553,-0.029059187332990604,0.06473066901515762,0.2532
date_x_entry,all,logloss,p_structural_margin_transition_hgb,p_v2_compact_r16,0.04589109785131706,-0.09043817024214588,0.19935566741253066,0.2608
date_x_entry,active_first_after_source,brier,p_v2_compact_r16,market_probability,0.017206331577307422,-0.05117419822577035,0.0873283973511207,0.365
date_x_entry,active_first_after_source,logloss,p_v2_compact_r16,market_probability,0.04365026191566316,-0.0970329776736318,0.18999674802503985,0.2792
date_x_entry,active_first_after_source,brier,p_v2_compact_r16,p_frozen_old,-0.023079776644491217,-0.08381502615400178,0.03625624905636445,0.7422
date_x_entry,active_first_after_source,logloss,p_v2_compact_r16,p_frozen_old,-0.14113338948736648,-0.48414900772188035,0.09095530226099763,0.7626
date_x_entry,active_first_after_source,brier,p_structural_margin_r16,market_probability,0.01400999255732726,-0.05211438169819364,0.08196558661325638,0.365
date_x_entry,active_first_after_source,logloss,p_structural_margin_r16,market_probability,0.03540976529120378,-0.09990063414053392,0.17482863341018784,0.3242
date_x_entry,active_first_after_source,brier,p_structural_margin_r16,p_frozen_old,-0.026276115664471373,-0.09056560045323604,0.03713351689082143,0.7422
date_x_entry,active_first_after_source,logloss,p_structural_margin_r16,p_frozen_old,-0.14937388611182587,-0.5015685221806221,0.09102378300104261,0.8162
date_x_entry,active_first_after_source,brier,p_structural_margin_r16,p_v2_compact_r16,-0.0031963390199801585,-0.006750574299234259,0.0008772678344569721,0.9534
date_x_entry,active_first_after_source,logloss,p_structural_margin_r16,p_v2_compact_r16,-0.008240496624459387,-0.017419514458741694,6.84807400450027e-05,0.9644
date_x_entry,active_first_after_source,brier,p_structural_margin_transition_r16,market_probability,0.014880415754013863,-0.06296319056292321,0.09272402207095094,0.365
date_x_entry,active_first_after_source,logloss,p_structural_margin_transition_r16,market_probability,0.03759297704406886,-0.12314598078233052,0.19833193487046824,0.3678
