city,target_date,decision_snapshot_dt,label,market_mid,route,p_market_raw,p_market_cal,p_market_plus_clock,p_core,p_core_no_obs_age,p_core_no_clock,p_core_no_wind,p_no_path,p_path_added,p_cc_added,decision_snapshot_ts_utc,decision_hour_local,current_bracket,current_yes_bid,current_yes_ask,current_yes_ask_size,taker_cost,orderbook_file,front,five_share_executable,five_share_cost_per_share,five_share_principal_vwap,five_share_best_ask,five_share_cost_source,five_share_slippage_per_share,model_probability,model_edge_after_fee_and_depth,ten_share_executable,ten_share_cost_per_share,ten_share_max_ask_price,ten_share_positive_ev
NYC,2026-06-15,2026-06-15 19:30:42+00:00,1,0.8005,False,0.8005,0.790044600507209,0.7846420364230428,0.8699533460174562,0.8776007632239924,0.8727217769094624,0.7645485585467567,0.8572783614952437,0.8734791991375365,0.8404378997708383,2026-06-15T19:30:42+00:00,15,74-75,0.791,0.81,5.26,0.8177000000000001,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-16/orderbook_snapshot_20260616_0330.jsonl.gz,True,True,0.8176900000000001,0.8100000000000002,0.81,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.8776007632239924,0.0599107632239922,True,0.8222830600000002,0.82,True
SanFrancisco,2026-06-15,2026-06-15 21:30:53+00:00,1,0.855,False,0.855,0.8424298138084518,0.8437379649878546,0.9213362501080417,0.9211415668081968,0.9261233060536072,0.8529077295819267,0.9268570298994604,0.930834502170974,0.9303733619571736,2026-06-15T21:30:53+00:00,14,68-69,0.85,0.86,25.36,0.86602,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-16/orderbook_snapshot_20260616_0530.jsonl.gz,True,True,0.86602,0.86,0.86,feature_top_ask_covers_quantity,0.0,0.9211415668081968,0.0551215668081969,True,0.86602,0.86,True
Shanghai,2026-06-15,2026-06-15 05:30:17+00:00,1,0.825,False,0.825,0.8133992585374997,0.8897929000614865,0.9445082634266652,0.9408389767614824,0.9181629333617612,0.912889808119804,0.9374049491743668,0.9220685734358256,0.9310307216550432,2026-06-15T05:30:17+00:00,13,24,0.8,0.85,42.84,0.85638,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-15/orderbook_snapshot_20260615_1330.jsonl.gz,True,True,0.85638,0.85,0.85,feature_top_ask_covers_quantity,0.0,0.9408389767614824,0.0844589767614822,True,0.85638,0.85,True
Singapore,2026-06-15,2026-06-15 07:30:53+00:00,1,0.93,False,0.93,0.9181583409327896,0.94515115395848,0.947490966862681,0.9449954924479724,0.9213631494230604,0.952065707126956,0.9506888818807688,0.9546515479434876,0.9534297923337433,2026-06-15T07:30:53+00:00,15,31,0.92,0.94,21.75,0.94282,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-15/orderbook_snapshot_20260615_1530.jsonl.gz,True,True,0.94282,0.9399999999999998,0.94,feature_top_ask_covers_quantity,-1.1102230246251563e-16,0.9449954924479724,0.0021754924479726,True,0.9428199999999999,0.94,True
Tokyo,2026-06-15,2026-06-15 05:30:17+00:00,1,0.9095,False,0.9095,0.8968673239174719,0.9901864242554892,0.9935082779336086,0.993062036461822,0.9465731621881796,0.9914158097440864,0.9934941637966388,0.9933053020287934,0.9930336926313486,2026-06-15T05:30:17+00:00,14,22,0.876,0.943,13.0,0.94569,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-15/orderbook_snapshot_20260615_1330.jsonl.gz,True,True,0.94569,0.943,0.943,feature_top_ask_covers_quantity,0.0,0.993062036461822,0.0473720364618219,True,0.9456899999999999,0.943,True
Wellington,2026-06-15,2026-06-15 01:30:44+00:00,1,0.975,False,0.975,0.9677084171626212,0.9666402092197584,0.982998591054387,0.9819984055029606,0.986131374331614,0.9705888083859326,0.9822490094682924,0.984226233042544,0.9845951267896136,2026-06-15T01:30:44+00:00,13,17,0.97,0.98,28.53,0.98098,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-15/orderbook_snapshot_20260615_0930.jsonl.gz,True,True,0.98098,0.98,0.98,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.9819984055029606,0.0010184055029605,True,0.9809800000000001,0.98,True
Istanbul,2026-06-16,2026-06-16 11:30:53+00:00,0,0.8205,False,0.8205,0.808747132479549,0.8580726994302267,0.9060260009990504,0.9131144126464352,0.8810113834762464,0.8609543047107493,0.9006405423527426,0.8949046842750317,0.877620608180361,2026-06-16T11:30:53+00:00,14,23,0.808,0.833,15.0,0.8399599999999999,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-16/orderbook_snapshot_20260616_1930.jsonl.gz,True,True,0.8399599999999999,0.833,0.833,feature_top_ask_covers_quantity,0.0,0.9131144126464352,0.0731544126464351,True,0.8399599999999999,0.833,True
Karachi,2026-06-16,2026-06-16 10:30:53+00:00,1,0.945,False,0.945,0.9340469985663862,0.9374253617745596,0.9649351255905124,0.9630167369217048,0.9627670211487525,0.9378235580614624,0.9662271661240428,0.9607282158886628,0.9592620386460358,2026-06-16T10:30:53+00:00,15,34,0.93,0.96,63.74,0.96192,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-16/orderbook_snapshot_20260616_1830.jsonl.gz,True,True,0.96192,0.96,0.96,feature_top_ask_covers_quantity,-1.1102230246251563e-16,0.9630167369217048,0.0010967369217049,True,0.9619199999999999,0.96,True
LA,2026-06-16,2026-06-16 23:30:53+00:00,1,0.855,False,0.855,0.8421514312543467,0.9056554316017252,0.934285605975989,0.9365414893986236,0.8810754017974719,0.9163923961214024,0.9390825473681664,0.9361631797241076,0.9376397344777256,2026-06-16T23:30:53+00:00,16,68-69,0.82,0.89,36.0,0.8949,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-17/orderbook_snapshot_20260617_0730.jsonl.gz,True,True,0.8949,0.89,0.89,feature_top_ask_covers_quantity,0.0,0.9365414893986236,0.0416414893986234,True,0.8949,0.89,True
Atlanta,2026-06-17,2026-06-17 21:30:53+00:00,1,0.835,False,0.835,0.8187725190526371,0.8616970909827688,0.8929701459968286,0.8984849791537289,0.8358938852521238,0.8733057611397842,0.8989412066744269,0.8962280275117526,0.9274814216916408,2026-06-17T21:30:53+00:00,17,84-85,0.8,0.87,21.89,0.87566,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-18/orderbook_snapshot_20260618_0530.jsonl.gz,True,True,0.8756599999999999,0.8699999999999999,0.87,feature_top_ask_covers_quantity,-1.1102230246251563e-16,0.8984849791537289,0.022824979153729,True,0.8756599999999999,0.87,True
Houston,2026-06-17,2026-06-17 21:30:53+00:00,1,0.8049999999999999,False,0.8049999999999999,0.7895072119065842,0.7701664516215427,0.8524615381495653,0.8576278308844113,0.8514716907364853,0.7863557683676318,0.8302874637140465,0.822224895109505,0.8491940570838569,2026-06-17T21:30:53+00:00,16,88-89,0.78,0.83,24.04,0.8370599999999999,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-18/orderbook_snapshot_20260618_0530.jsonl.gz,True,True,0.8370599999999999,0.8299999999999998,0.83,feature_top_ask_covers_quantity,0.0,0.8576278308844113,0.0205678308844113,True,0.8370599999999999,0.83,True
Istanbul,2026-06-17,2026-06-17 12:30:29+00:00,1,0.86,False,0.86,0.8435861952486131,0.8946024371428792,0.9287495837989757,0.9344714768379818,0.8952196363706951,0.9018918828047924,0.9338541360823468,0.935164578278882,0.9310264730093714,2026-06-17T12:30:29+00:00,15,23,0.83,0.89,29.62,0.8949,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-17/orderbook_snapshot_20260617_2030.jsonl.gz,True,True,0.8949,0.89,0.89,feature_top_ask_covers_quantity,0.0,0.9344714768379818,0.0395714768379817,True,0.8949,0.89,True
Karachi,2026-06-17,2026-06-17 09:30:53+00:00,1,0.935,False,0.935,0.9214857594686482,0.9305900151727992,0.9649525319461488,0.9628192188058348,0.9643674909861786,0.9249044013331532,0.961166279046592,0.955836037426057,0.9611224240407016,2026-06-17T09:30:53+00:00,14,35,0.93,0.94,66.66,0.94282,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-17/orderbook_snapshot_20260617_1730.jsonl.gz,True,True,0.94282,0.9399999999999998,0.94,feature_top_ask_covers_quantity,-1.1102230246251563e-16,0.9628192188058348,0.0199992188058349,True,0.9428199999999999,0.94,True
Miami,2026-06-17,2026-06-17 20:30:40+00:00,1,0.9795,True,0.9795,0.9723401160712348,0.9820159832185784,0.9874699872604606,0.9879837780160312,0.9801600482211104,0.9817812120272664,0.9878982130873668,0.9885121529124296,0.9929476093781844,2026-06-17T20:30:40+00:00,16,92-93,0.979,0.98,126.25,0.98098,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-18/orderbook_snapshot_20260618_0430.jsonl.gz,True,True,0.98098,0.98,0.98,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.9879837780160312,0.0070037780160312,True,0.9809800000000001,0.98,True
