window,mode,arm,capacity,rows,dates,cities,wins,win_rate,avg_ask,cost,pnl,roi,top5_removed_roi,losing_days,max_daily_loss
fresh_ge_2026_07_08,rank_all,source,5,20,4,14,0,0.0,0.09444999999999999,1.8889999999999998,-1.972885725,-1.0444074775013237,-1.0439257103150092,4,-0.65174375
fresh_ge_2026_07_08,rank_all,overshoot,5,20,4,14,0,0.0,0.09889999999999999,1.9779999999999998,-2.065450175,-1.0442114130434783,-1.0437221289752652,4,-0.7443082
fresh_ge_2026_07_08,rank_all,hybrid,5,20,4,15,2,0.1,0.1012,2.024,-0.11358217499999994,-0.05611767539525689,-1.044115350061958,2,-0.557575475
fresh_ge_2026_07_08,policy,old,1,4,4,3,0,0.0,0.09937499999999999,0.39749999999999996,-0.41523588750000007,-1.0446185849056606,,4,-0.1501632
fresh_ge_2026_07_08,policy,source,1,3,3,3,0,0.0,0.09866666666666667,0.296,-0.3088997,-1.0435800675675677,,3,-0.18221874999999998
fresh_ge_2026_07_08,policy,overshoot,1,3,3,2,0,0.0,0.10833333333333332,0.32499999999999996,-0.33911625,-1.0434346153846155,,3,-0.18221874999999998
fresh_ge_2026_07_08,policy,hybrid,1,4,4,3,0,0.0,0.09937499999999999,0.39749999999999996,-0.41523588750000007,-1.0446185849056606,,4,-0.1501632
fresh_ge_2026_07_08,policy,old,3,12,4,9,0,0.0,0.08979166666666666,1.0775,-1.1259333875000002,-1.0449497795823668,-1.0441737947882737,4,-0.33873873750000005
fresh_ge_2026_07_08,policy,source,3,9,3,6,0,0.0,0.0951111111111111,0.856,-0.8941063,-1.0445167056074767,-1.0432496101364521,3,-0.40160625
fresh_ge_2026_07_08,policy,overshoot,3,9,3,6,0,0.0,0.0951111111111111,0.856,-0.8941063,-1.0445167056074767,-1.0432496101364521,3,-0.40160625
fresh_ge_2026_07_08,policy,hybrid,3,12,4,9,0,0.0,0.08979166666666666,1.0775,-1.1259333875000002,-1.0449497795823668,-1.0441737947882737,4,-0.33873873750000005
fresh_ge_2026_07_08,policy,old,5,18,4,12,0,0.0,0.08983333333333332,1.6169999999999998,-1.6897074749999998,-1.0449644248608534,-1.044500392964072,4,-0.52130445
fresh_ge_2026_07_08,policy,source,5,15,3,10,0,0.0,0.09033333333333333,1.355,-1.4153102499999997,-1.0445094095940957,-1.0438158986175115,3,-0.65174375
fresh_ge_2026_07_08,policy,overshoot,5,15,3,10,0,0.0,0.09626666666666667,1.444,-1.5078746999999997,-1.0442345567867035,-1.0435263745704468,3,-0.7443082
fresh_ge_2026_07_08,policy,hybrid,5,18,4,12,0,0.0,0.08983333333333332,1.6169999999999998,-1.6897074749999998,-1.0449644248608534,-1.044500392964072,4,-0.52130445
