evidence_layer,target_date,city,router_route,router_ask,router_payoff,base_weight,city_bias_soft_weight,city_bias_soft_shares,city_bias_effect,forecast_source,row_forecast_model,city_source_bias_regime,city_source_bias,city_source_hot_underforecast_rate
historical_best_ask_diagnostic,2026-06-18,Taipei,capped_d2_no,0.65,1.0,0.2268,0.15875999999999998,1.2212307692307691,downweight,gfs_seamless,gfs,two_sided_noisy,-0.0708,0.3624
historical_best_ask_diagnostic,2026-06-19,BuenosAires,capped_d2_no,0.56,0.0,0.34109999999999996,0.25582499999999997,2.2841517857142852,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747
historical_best_ask_diagnostic,2026-06-19,Helsinki,capped_d2_no,0.51,1.0,0.3906,0.35154,3.446470588235294,downweight,gfs_seamless,gfs,mild_or_mixed,0.2863,0.2556
historical_best_ask_diagnostic,2026-06-19,Karachi,capped_d2_no,0.62,0.0,0.24226200000000003,0.15747030000000004,1.2699217741935487,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-19,Taipei,capped_d2_no,0.669,0.0,0.1958796,0.13711571999999997,1.0247811659192823,downweight,gfs_seamless,gfs,two_sided_noisy,-0.0708,0.3624
historical_best_ask_diagnostic,2026-06-20,Beijing,capped_d2_no,0.64,1.0,0.26189999999999997,0.170235,1.3299609375,downweight,open_meteo_live_ecmwf,ecmwf,hot_underforecast_clean,1.2279,0.5815
historical_best_ask_diagnostic,2026-06-20,Manila,capped_d2_no,0.679,0.0,0.20096099999999995,0.13062464999999998,0.9618899116347568,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
historical_best_ask_diagnostic,2026-06-20,Munich,capped_d2_no,0.63,1.0,0.2718,0.20384999999999998,1.6178571428571429,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-06-21,Beijing,capped_d2_no,0.29,0.0,0.45,0.29250000000000004,5.043103448275863,downweight,open_meteo_live_ecmwf,ecmwf,hot_underforecast_clean,1.2279,0.5815
historical_best_ask_diagnostic,2026-06-21,BuenosAires,capped_d2_no,0.69,1.0,0.21240000000000003,0.13806000000000002,1.000434782608696,downweight,open_meteo_live_ecmwf,ecmwf,hot_underforecast_clean,0.9777,0.4803
