target_date,current_x,probability,scenario,decision_ts_utc,p_win,midpoint,entry_price_proxy,effective_cost_per_share,won,cash_cost,pnl
2026-07-18,25,p_r16_final_descriptive,midpoint,2026-07-18T12:03:32.900779+00:00,0.39194879476080796,0.235,0.235,0.24398874999999998,True,1.2199437499999999,3.7800562500000003
2026-07-18,26,p_r16_final_descriptive,midpoint,2026-07-18T13:03:23.807856+00:00,0.06551487274405966,0.055,0.055,0.05759875,False,0.28799375,-0.28799375
2026-07-19,20,p_r16_final_descriptive,midpoint,2026-07-19T10:42:30.988944+00:00,0.32864636992165946,0.255,0.255,0.26449875,False,1.32249375,-1.32249375
2026-07-20,16,p_r16_final_descriptive,midpoint,2026-07-20T06:32:39.894113+00:00,0.9992819500568776,0.9985,0.9985,0.9985748875,True,4.9928744375,0.007125562499999738
2026-07-20,17,p_r16_final_descriptive,midpoint,2026-07-20T07:31:14.125164+00:00,0.9991895495814094,0.9975,0.9975,0.9976246875,True,4.9881234375,0.011876562500000354
2026-07-20,18,p_r16_final_descriptive,midpoint,2026-07-20T09:03:24.349246+00:00,0.9975971182798212,0.99,0.99,0.990495,True,4.952475,0.04752500000000026
2026-07-20,19,p_r16_final_descriptive,midpoint,2026-07-20T10:03:26.141561+00:00,0.9738412162997486,0.935,0.935,0.93803875,True,4.690193750000001,0.3098062499999994
2026-07-20,20,p_r16_final_descriptive,midpoint,2026-07-20T11:02:18.062112+00:00,0.7955582987626361,0.445,0.445,0.45734875,True,2.2867437500000003,2.7132562499999997
2026-07-20,21,p_r16_final_descriptive,midpoint,2026-07-20T12:33:02.578212+00:00,0.10399508926688886,0.05,0.05,0.052375000000000005,False,0.261875,-0.261875
2026-07-21,14,p_r16_final_descriptive,midpoint,2026-07-21T09:12:03.043982+00:00,0.33830874107047937,0.305,0.305,0.31559875,False,1.5779937499999999,-1.5779937499999999
2026-07-22,11,p_r16_final_descriptive,midpoint,2026-07-22T03:00:10.940121+00:00,0.9996680176146431,0.9995,0.9995,0.9995249875000001,True,4.9976249375,0.002375062499999636
2026-07-22,12,p_r16_final_descriptive,midpoint,2026-07-22T05:02:46.040586+00:00,0.9998077279041898,0.9995,0.9995,0.9995249875000001,True,4.9976249375,0.002375062499999636
2026-07-22,13,p_r16_final_descriptive,midpoint,2026-07-22T06:32:22.173340+00:00,0.998757324588563,0.996,0.996,0.9961992,True,4.980995999999999,0.019004000000000687
2026-07-22,14,p_r16_final_descriptive,midpoint,2026-07-22T07:31:41.126622+00:00,0.9959608304659652,0.987,0.987,0.98764155,True,4.93820775,0.06179224999999988
2026-07-22,15,p_r16_final_descriptive,midpoint,2026-07-22T08:31:49.929190+00:00,0.9959322176107736,0.985,0.985,0.98573875,True,4.92869375,0.07130625000000013
2026-07-22,16,p_r16_final_descriptive,midpoint,2026-07-22T09:32:38.042029+00:00,0.9943715416363614,0.9805,0.9805,0.9814559875000001,True,4.9072799375,0.09272006249999976
2026-07-22,17,p_r16_final_descriptive,midpoint,2026-07-22T10:32:29.949029+00:00,0.9606227538363213,0.845,0.845,0.85154875,True,4.2577437499999995,0.7422562500000005
2026-07-22,18,p_r16_final_descriptive,midpoint,2026-07-22T11:32:55.361067+00:00,0.3532419540872278,0.27,0.27,0.279855,True,1.399275,3.6007249999999997
2026-07-22,19,p_r16_final_descriptive,midpoint,2026-07-22T13:32:41.812173+00:00,0.14300488501253708,0.09,0.09,0.094095,False,0.470475,-0.470475
