any_fill,bracket,city,cost_usd,fill_fraction,filled_shares,final_yes,first_fill_wait_min,full_fill,intended_shares,last_fill_wait_min,missed_winner_cost_usd,order_id,pnl_usd,posted_price,scenario_model,scenario_notional_usd,settled,sizing_mode,target_date,unfilled_shares
True,98-99,Dallas,3.0,1.0,27.027027027027028,0.0,83.96666666666667,True,27.027027027027028,83.96666666666667,0.0,0xaaf91a51880202ba9a0d8e6b020123a9d834e7dcc177c89a3851fb5d1ea3816b,-3.0,0.111,proportional_fill_fraction,3.0,True,notional,2026-07-03,0.0
True,98-99,Dallas,0.80031,0.160062,7.21,0.0,83.96666666666667,False,45.04504504504504,83.96666666666667,0.0,0xaaf91a51880202ba9a0d8e6b020123a9d834e7dcc177c89a3851fb5d1ea3816b,-0.80031,0.111,absolute_fill_cap,5.0,True,notional,2026-07-03,37.83504504504504
True,98-99,Dallas,5.0,1.0,45.04504504504504,0.0,83.96666666666667,True,45.04504504504504,83.96666666666667,0.0,0xaaf91a51880202ba9a0d8e6b020123a9d834e7dcc177c89a3851fb5d1ea3816b,-5.0,0.111,proportional_fill_fraction,5.0,True,notional,2026-07-03,0.0
True,96-97,Houston,0.8008000000000001,0.8008000000000001,8.8,1.0,4.55,False,10.989010989010989,4.55,1.9898109890109885,0x5dd06cebf456afc4c57a0fde3782b20f46eea65982aebdd23a49ff32a56bc937,7.999200000000001,0.091,absolute_fill_cap,1.0,True,notional,2026-07-03,2.1890109890109883
True,96-97,Houston,1.0,1.0,10.989010989010989,1.0,4.55,True,10.989010989010989,4.55,0.0,0x5dd06cebf456afc4c57a0fde3782b20f46eea65982aebdd23a49ff32a56bc937,9.989010989010989,0.091,proportional_fill_fraction,1.0,True,notional,2026-07-03,0.0
True,96-97,Houston,0.8008000000000001,0.2669333333333333,8.8,1.0,4.55,False,32.96703296703297,4.55,21.96783296703297,0x5dd06cebf456afc4c57a0fde3782b20f46eea65982aebdd23a49ff32a56bc937,7.999200000000001,0.091,absolute_fill_cap,3.0,True,notional,2026-07-03,24.16703296703297
True,96-97,Houston,3.0000000000000004,1.0,32.96703296703297,1.0,4.55,True,32.96703296703297,4.55,0.0,0x5dd06cebf456afc4c57a0fde3782b20f46eea65982aebdd23a49ff32a56bc937,29.96703296703297,0.091,proportional_fill_fraction,3.0,True,notional,2026-07-03,0.0
True,96-97,Houston,0.8008000000000001,0.16016,8.8,1.0,4.55,False,54.94505494505495,4.55,41.945854945054954,0x5dd06cebf456afc4c57a0fde3782b20f46eea65982aebdd23a49ff32a56bc937,7.999200000000001,0.091,absolute_fill_cap,5.0,True,notional,2026-07-03,46.14505494505495
True,96-97,Houston,5.0,1.0,54.94505494505495,1.0,4.55,True,54.94505494505495,4.55,0.0,0x5dd06cebf456afc4c57a0fde3782b20f46eea65982aebdd23a49ff32a56bc937,49.94505494505495,0.091,proportional_fill_fraction,5.0,True,notional,2026-07-03,0.0
True,94-95,Chicago,0.80004,0.80004,13.56,0.0,101.61666666666666,False,16.949152542372882,101.61666666666666,0.0,0x719a23a4fe47ffc472d01da99c98d8a37b24f01328d56d94dcdea61cb191e35e,-0.80004,0.059,absolute_fill_cap,1.0,True,notional,2026-07-03,3.389152542372882
True,94-95,Chicago,1.0,1.0,16.949152542372882,0.0,101.61666666666666,True,16.949152542372882,101.61666666666666,0.0,0x719a23a4fe47ffc472d01da99c98d8a37b24f01328d56d94dcdea61cb191e35e,-1.0,0.059,proportional_fill_fraction,1.0,True,notional,2026-07-03,0.0
True,94-95,Chicago,0.80004,0.26668000000000003,13.56,0.0,101.61666666666666,False,50.847457627118644,101.61666666666666,0.0,0x719a23a4fe47ffc472d01da99c98d8a37b24f01328d56d94dcdea61cb191e35e,-0.80004,0.059,absolute_fill_cap,3.0,True,notional,2026-07-03,37.28745762711864
True,94-95,Chicago,3.0,1.0,50.847457627118644,0.0,101.61666666666666,True,50.847457627118644,101.61666666666666,0.0,0x719a23a4fe47ffc472d01da99c98d8a37b24f01328d56d94dcdea61cb191e35e,-3.0,0.059,proportional_fill_fraction,3.0,True,notional,2026-07-03,0.0
True,94-95,Chicago,0.80004,0.16000799999999998,13.56,0.0,101.61666666666666,False,84.74576271186442,101.61666666666666,0.0,0x719a23a4fe47ffc472d01da99c98d8a37b24f01328d56d94dcdea61cb191e35e,-0.80004,0.059,absolute_fill_cap,5.0,True,notional,2026-07-03,71.18576271186441
True,94-95,Chicago,5.0,1.0,84.74576271186442,0.0,101.61666666666666,True,84.74576271186442,101.61666666666666,0.0,0x719a23a4fe47ffc472d01da99c98d8a37b24f01328d56d94dcdea61cb191e35e,-5.0,0.059,proportional_fill_fraction,5.0,True,notional,2026-07-03,0.0
True,104-105,NYC,0.80015,0.8001500000000001,12.31,0.0,5.0,False,15.384615384615383,5.0,0.0,0x2808b7bf20165839404c7aff6f35bee421bb55b40285c2dbfc3b1f82e6d23cc8,-0.80015,0.065,absolute_fill_cap,1.0,True,notional,2026-07-03,3.0746153846153828
True,104-105,NYC,1.0,1.0,15.384615384615383,0.0,5.0,True,15.384615384615383,5.0,0.0,0x2808b7bf20165839404c7aff6f35bee421bb55b40285c2dbfc3b1f82e6d23cc8,-1.0,0.065,proportional_fill_fraction,1.0,True,notional,2026-07-03,0.0
True,104-105,NYC,0.80015,0.26671666666666666,12.31,0.0,5.0,False,46.15384615384615,5.0,0.0,0x2808b7bf20165839404c7aff6f35bee421bb55b40285c2dbfc3b1f82e6d23cc8,-0.80015,0.065,absolute_fill_cap,3.0,True,notional,2026-07-03,33.84384615384615
True,104-105,NYC,3.0,1.0,46.15384615384615,0.0,5.0,True,46.15384615384615,5.0,0.0,0x2808b7bf20165839404c7aff6f35bee421bb55b40285c2dbfc3b1f82e6d23cc8,-3.0,0.065,proportional_fill_fraction,3.0,True,notional,2026-07-03,0.0
True,104-105,NYC,0.80015,0.16003,12.31,0.0,5.0,False,76.92307692307692,5.0,0.0,0x2808b7bf20165839404c7aff6f35bee421bb55b40285c2dbfc3b1f82e6d23cc8,-0.80015,0.065,absolute_fill_cap,5.0,True,notional,2026-07-03,64.61307692307692
True,104-105,NYC,5.0,1.0,76.92307692307692,0.0,5.0,True,76.92307692307692,5.0,0.0,0x2808b7bf20165839404c7aff6f35bee421bb55b40285c2dbfc3b1f82e6d23cc8,-5.0,0.065,proportional_fill_fraction,5.0,True,notional,2026-07-03,0.0
True,70-71,LA,0.8008799999999999,0.8008799999999999,5.68,0.0,13.933333333333334,False,7.092198581560284,13.933333333333334,0.0,0x79c29d21724397b0a03ee39d39e59b6182fc1f37b5ab2b4da418b57254504cf6,-0.8008799999999999,0.141,absolute_fill_cap,1.0,True,notional,2026-07-03,1.4121985815602844
True,70-71,LA,1.0,1.0,7.092198581560284,0.0,13.933333333333334,True,7.092198581560284,13.933333333333334,0.0,0x79c29d21724397b0a03ee39d39e59b6182fc1f37b5ab2b4da418b57254504cf6,-1.0,0.141,proportional_fill_fraction,1.0,True,notional,2026-07-03,0.0
True,70-71,LA,0.8008799999999999,0.2669599999999999,5.68,0.0,13.933333333333334,False,21.276595744680854,13.933333333333334,0.0,0x79c29d21724397b0a03ee39d39e59b6182fc1f37b5ab2b4da418b57254504cf6,-0.8008799999999999,0.141,absolute_fill_cap,3.0,True,notional,2026-07-03,15.596595744680855
True,70-71,LA,3.0,1.0,21.276595744680854,0.0,13.933333333333334,True,21.276595744680854,13.933333333333334,0.0,0x79c29d21724397b0a03ee39d39e59b6182fc1f37b5ab2b4da418b57254504cf6,-3.0,0.141,proportional_fill_fraction,3.0,True,notional,2026-07-03,0.0
True,70-71,LA,0.8008799999999999,0.16017599999999999,5.68,0.0,13.933333333333334,False,35.46099290780142,13.933333333333334,0.0,0x79c29d21724397b0a03ee39d39e59b6182fc1f37b5ab2b4da418b57254504cf6,-0.8008799999999999,0.141,absolute_fill_cap,5.0,True,notional,2026-07-03,29.78099290780142
True,70-71,LA,5.0,1.0,35.46099290780142,0.0,13.933333333333334,True,35.46099290780142,13.933333333333334,0.0,0x79c29d21724397b0a03ee39d39e59b6182fc1f37b5ab2b4da418b57254504cf6,-5.0,0.141,proportional_fill_fraction,5.0,True,notional,2026-07-03,0.0
True,36+,Manila,0.80024,0.80024,14.29,0.0,21.116666666666667,False,17.857142857142858,702.3666666666667,0.0,0x00c19d68529b6b18c7031bd5258783aaa0c05edb2eace4ba4ea6bef9f50c77ec,-0.80024,0.056,absolute_fill_cap,1.0,True,notional,2026-07-04,3.5671428571428585
True,36+,Manila,1.0,1.0,17.857142857142858,0.0,21.116666666666667,True,17.857142857142858,702.3666666666667,0.0,0x00c19d68529b6b18c7031bd5258783aaa0c05edb2eace4ba4ea6bef9f50c77ec,-1.0,0.056,proportional_fill_fraction,1.0,True,notional,2026-07-04,0.0
True,36+,Manila,0.80024,0.2667466666666667,14.29,0.0,21.116666666666667,False,53.57142857142857,702.3666666666667,0.0,0x00c19d68529b6b18c7031bd5258783aaa0c05edb2eace4ba4ea6bef9f50c77ec,-0.80024,0.056,absolute_fill_cap,3.0,True,notional,2026-07-04,39.28142857142857
True,36+,Manila,3.0,1.0,53.57142857142857,0.0,21.116666666666667,True,53.57142857142857,702.3666666666667,0.0,0x00c19d68529b6b18c7031bd5258783aaa0c05edb2eace4ba4ea6bef9f50c77ec,-3.0,0.056,proportional_fill_fraction,3.0,True,notional,2026-07-04,0.0
True,36+,Manila,0.80024,0.160048,14.29,0.0,21.116666666666667,False,89.28571428571428,702.3666666666667,0.0,0x00c19d68529b6b18c7031bd5258783aaa0c05edb2eace4ba4ea6bef9f50c77ec,-0.80024,0.056,absolute_fill_cap,5.0,True,notional,2026-07-04,74.99571428571429
True,36+,Manila,5.0,1.0,89.28571428571428,0.0,21.116666666666667,True,89.28571428571428,702.3666666666667,0.0,0x00c19d68529b6b18c7031bd5258783aaa0c05edb2eace4ba4ea6bef9f50c77ec,-5.0,0.056,proportional_fill_fraction,5.0,True,notional,2026-07-04,0.0
True,24,Busan,0.8001600000000001,0.8001600000000001,16.67,0.0,6.216666666666667,False,20.833333333333332,6.85,0.0,0x44119bd5fe6c460f3b99715b4a4baa63a952a19283f66ebd32c795ce53a0d390,-0.8001600000000001,0.048,absolute_fill_cap,1.0,True,notional,2026-07-04,4.16333333333333
True,24,Busan,1.0,1.0,20.833333333333332,0.0,6.216666666666667,True,20.833333333333332,6.85,0.0,0x44119bd5fe6c460f3b99715b4a4baa63a952a19283f66ebd32c795ce53a0d390,-1.0,0.048,proportional_fill_fraction,1.0,True,notional,2026-07-04,0.0
True,24,Busan,0.8001600000000001,0.26672,16.67,0.0,6.216666666666667,False,62.5,6.85,0.0,0x44119bd5fe6c460f3b99715b4a4baa63a952a19283f66ebd32c795ce53a0d390,-0.8001600000000001,0.048,absolute_fill_cap,3.0,True,notional,2026-07-04,45.83
True,24,Busan,3.0,1.0,62.5,0.0,6.216666666666667,True,62.5,6.85,0.0,0x44119bd5fe6c460f3b99715b4a4baa63a952a19283f66ebd32c795ce53a0d390,-3.0,0.048,proportional_fill_fraction,3.0,True,notional,2026-07-04,0.0
True,24,Busan,0.8001600000000001,0.160032,16.67,0.0,6.216666666666667,False,104.16666666666667,6.85,0.0,0x44119bd5fe6c460f3b99715b4a4baa63a952a19283f66ebd32c795ce53a0d390,-0.8001600000000001,0.048,absolute_fill_cap,5.0,True,notional,2026-07-04,87.49666666666667
True,24,Busan,5.0,1.0,104.16666666666667,0.0,6.216666666666667,True,104.16666666666667,6.85,0.0,0x44119bd5fe6c460f3b99715b4a4baa63a952a19283f66ebd32c795ce53a0d390,-5.0,0.048,proportional_fill_fraction,5.0,True,notional,2026-07-04,0.0
True,21,Helsinki,0.8003000000000001,0.8003000000000001,5.300000000000001,0.0,109.25,False,6.622516556291391,110.9,0.0,0x0136a9958988c0ba8c53bac6f200a30f226ad7a035ee483ffb63852c7a34bf98,-0.8003000000000001,0.151,absolute_fill_cap,1.0,True,notional,2026-07-04,1.32251655629139
True,21,Helsinki,1.0,1.0,6.622516556291391,0.0,109.25,True,6.622516556291391,110.9,0.0,0x0136a9958988c0ba8c53bac6f200a30f226ad7a035ee483ffb63852c7a34bf98,-1.0,0.151,proportional_fill_fraction,1.0,True,notional,2026-07-04,0.0
True,21,Helsinki,0.8003000000000001,0.2667666666666667,5.300000000000001,0.0,109.25,False,19.867549668874172,110.9,0.0,0x0136a9958988c0ba8c53bac6f200a30f226ad7a035ee483ffb63852c7a34bf98,-0.8003000000000001,0.151,absolute_fill_cap,3.0,True,notional,2026-07-04,14.567549668874172
True,21,Helsinki,3.0,1.0,19.867549668874172,0.0,109.25,True,19.867549668874172,110.9,0.0,0x0136a9958988c0ba8c53bac6f200a30f226ad7a035ee483ffb63852c7a34bf98,-3.0,0.151,proportional_fill_fraction,3.0,True,notional,2026-07-04,0.0
